date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/2/25,Fort Collins,422 Lake Dr,NE,Aedes increpitus,4,CDC Light Trap,FC-072
6/2/25,Fort Collins,422 Lake Dr,NE,Culiseta inornata,1,CDC Light Trap,FC-072
6/2/25,Fort Collins,Hemlock,NW,Aedes increpitus,7,CDC Light Trap,FC-036 
6/2/25,Fort Collins,N. Linden,NE,Aedes vexans,7,CDC Light Trap,FC-006
6/2/25,Fort Collins,N. Linden,NE,Aedes increpitus,4,CDC Light Trap,FC-006
6/2/25,Fort Collins,Udall Natural Gravid,NE,No Mosquitoes,0,Gravid Trap,FC-092gr
6/2/25,Fort Collins,Lochside Lane,NE,Aedes dorsalis,4,CDC Light Trap,FC-038
6/2/25,Fort Collins,Lochside Lane,NE,Aedes vexans,6,CDC Light Trap,FC-038
6/2/25,Fort Collins,Lochside Lane,NE,Aedes melanimon,1,CDC Light Trap,FC-038
6/2/25,Fort Collins,Lochside Lane,NE,Aedes increpitus,2,CDC Light Trap,FC-038
6/2/25,Fort Collins,Lochside Lane,NE,Culex tarsalis,3,CDC Light Trap,FC-038
6/2/25,Fort Collins,Lochside Lane,NE,Culex pipiens,2,CDC Light Trap,FC-038
6/2/25,Fort Collins,Country Club,NE,Culex tarsalis,7,CDC Light Trap,FC-034
6/2/25,Fort Collins,Country Club,NE,Aedes vexans,8,CDC Light Trap,FC-034
6/2/25,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,2,Gravid Trap,FC-066gr
6/2/25,Fort Collins,Prospect Ponds Gravid,NE,Anopheles freeborni,1,Gravid Trap,FC-066gr
6/2/25,Fort Collins,Prospect Ponds,NE,Aedes increpitus,57,CDC Light Trap,FC-066
6/2/25,Fort Collins,422 Lake Dr,NE,Aedes vexans,18,CDC Light Trap,FC-072
6/2/25,Fort Collins,422 Lake Dr,NE,Culex tarsalis,10,CDC Light Trap,FC-072
6/2/25,Fort Collins,Prospect Ponds,NE,Aedes vexans,6,CDC Light Trap,FC-066
6/2/25,Fort Collins,Prospect Ponds,NE,Culex pipiens,5,CDC Light Trap,FC-066
6/2/25,Fort Collins,Poudre River Trail,NE,Aedes vexans,8,CDC Light Trap,FC-067
6/2/25,Fort Collins,Poudre River Trail,NE,Aedes increpitus,72,CDC Light Trap,FC-067
6/2/25,Fort Collins,Poudre River Trail,NE,Culex tarsalis,4,CDC Light Trap,FC-067
6/2/25,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,1,CDC Light Trap,FC-069
6/2/25,Fort Collins,Linden Lake Rd,NE,Aedes dorsalis,1,CDC Light Trap,FC-069
6/2/25,Fort Collins,Linden Lake Rd,NE,Aedes vexans,2,CDC Light Trap,FC-069
6/2/25,Fort Collins,Hemlock,NW,Anopheles freeborni,2,CDC Light Trap,FC-036 
6/2/25,Fort Collins,Hemlock,NW,Aedes dorsalis,2,CDC Light Trap,FC-036 
6/2/25,Fort Collins,Prospect Ponds,NE,Culex tarsalis,11,CDC Light Trap,FC-066
6/2/25,Fort Collins,Edora Park,NE,Aedes vexans,2,CDC Light Trap,FC-019
6/2/25,Fort Collins,Edora Park,NE,Aedes increpitus,17,CDC Light Trap,FC-019
6/2/25,Fort Collins,PVH Gravid,NE,Culex pipiens,3,Gravid Trap,FC-091gr
6/2/25,Fort Collins,Hemlock,NW,Aedes vexans,5,CDC Light Trap,FC-036 
6/2/25,Fort Collins,Redwood,NE,Aedes vexans,3,CDC Light Trap,FC-040
6/2/25,Fort Collins,Redwood,NE,Aedes dorsalis,1,CDC Light Trap,FC-040
6/2/25,Fort Collins,Redwood,NE,Culex tarsalis,7,CDC Light Trap,FC-040
6/2/25,Fort Collins,Hemlock,NW,Culex tarsalis,3,CDC Light Trap,FC-036 
6/2/25,Fort Collins,Prospect Ponds,NE,Anopheles freeborni,7,CDC Light Trap,FC-066
6/2/25,Fort Collins,Redwood Gravid,NE,Aedes vexans,1,Gravid Trap,FC-040gr
6/3/25,Fort Collins,3001 San Luis,SE,Aedes increpitus,5,CDC Light Trap,FC-027
6/3/25,Fort Collins,3001 San Luis,SE,Culex tarsalis,3,CDC Light Trap,FC-027
6/3/25,Fort Collins,3001 San Luis,SE,Aedes vexans,1,CDC Light Trap,FC-027
6/3/25,Fort Collins,Rock Creek,SE,Aedes dorsalis,1,CDC Light Trap,FC-074
6/3/25,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,1,CDC Light Trap,FC-059
6/3/25,Fort Collins,Sage Creek North,SE,Culex tarsalis,1,CDC Light Trap,FC-075
6/3/25,Fort Collins,Big Horn,SE,Culex tarsalis,2,CDC Light Trap,FC-004
6/3/25,Fort Collins,Fossil Creek South,SE,Aedes dorsalis,2,CDC Light Trap,FC-039
6/3/25,Fort Collins,Fossil Creek South,SE,Culiseta inornata,1,CDC Light Trap,FC-039
6/3/25,Fort Collins,Sage Creek North,SE,Aedes vexans,1,CDC Light Trap,FC-075
6/3/25,Fort Collins,West Chase,SE,Culex tarsalis,5,CDC Light Trap,FC-064
6/3/25,Fort Collins,Springwood and Lochwood,SE,Aedes vexans,1,CDC Light Trap,FC-059
6/3/25,Fort Collins,Willow Springs,SE,No Mosquitoes,0,CDC Light Trap,FC-031
6/3/25,Fort Collins,Egret and Rookery,SE,Aedes vexans,1,CDC Light Trap,FC-053
6/3/25,Fort Collins,Keeneland And Twin Oak,SE,Aedes vexans,1,CDC Light Trap,FC-047
6/3/25,Fort Collins,Westshore Ct,SE,No Mosquitoes,0,CDC Light Trap,FC-046
6/3/25,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,1,CDC Light Trap,FC-050
6/3/25,Fort Collins,West Chase,SE,Aedes vexans,23,CDC Light Trap,FC-064
6/3/25,Fort Collins,Boltz,SE,No Mosquitoes,0,CDC Light Trap,FC-023
6/3/25,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,2,Gravid Trap,FC-075gr
6/3/25,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,1,Gravid Trap,FC-088gr
6/4/25,Fort Collins,Golden Current,NW,Aedes vexans,2,CDC Light Trap,FC-011
6/4/25,Fort Collins,603 Gilgalad Way,NW,Aedes vexans,70,CDC Light Trap,FC-052
6/4/25,Fort Collins,603 Gilgalad Way,NW,Aedes increpitus,1,CDC Light Trap,FC-052
6/4/25,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,6,CDC Light Trap,FC-052
6/4/25,Fort Collins,603 Gilgalad Way,NW,Aedes flavescens,1,CDC Light Trap,FC-052
6/4/25,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,1,CDC Light Trap,FC-049
6/4/25,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,1,CDC Light Trap,FC-049
6/4/25,Fort Collins,Casa Grande and Downing,SW,Aedes vexans,5,CDC Light Trap,FC-049
6/4/25,Fort Collins,Casa Grande and Downing,SW,Aedes dorsalis,1,CDC Light Trap,FC-049
6/4/25,Fort Collins,Mountain Grandview Cemetery Gravid,NW,No Mosquitoes,0,Gravid Trap,FC-090gr
6/4/25,Fort Collins,Red Fox Meadows Gravid,NW,Aedes vexans,1,Gravid Trap,FC-063gr
6/4/25,Fort Collins,Stuart and Dorset,NW,Aedes vexans,5,CDC Light Trap,FC-015
6/4/25,Fort Collins,Stuart and Dorset,NW,Culiseta inornata,1,CDC Light Trap,FC-015
6/4/25,Fort Collins,Fishback,NW,No Mosquitoes,0,CDC Light Trap,FC-041
6/4/25,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,2,CDC Light Trap,FC-061
6/4/25,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,4,CDC Light Trap,FC-061
6/4/25,Fort Collins,Holley Plant Research Center,NW,Aedes vexans,18,CDC Light Trap,FC-061
6/4/25,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Aedes vexans,29,CDC Light Trap,FC-058
6/4/25,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Aedes increpitus,6,CDC Light Trap,FC-058
6/4/25,Fort Collins,118 S Grant ,NW,Culex tarsalis,1,CDC Light Trap,FC-073
6/4/25,Fort Collins,Red Fox Meadows,NW,Aedes increpitus,4,CDC Light Trap,FC-063
6/4/25,Fort Collins,Red Fox Meadows,NW,Aedes vexans,83,CDC Light Trap,FC-063
6/4/25,Fort Collins,Red Fox Meadows,NW,Culex tarsalis,1,CDC Light Trap,FC-063
6/4/25,Fort Collins,Red Fox Meadows,NW,Aedes melanimon,1,CDC Light Trap,FC-063
6/4/25,Fort Collins,808 Ponderosa,NW,No Mosquitoes,0,CDC Light Trap,FC-060
6/5/25,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,2,CDC Light Trap,FC-062
6/5/25,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,No Mosquitoes,0,Gravid Trap,FC-089gr
6/5/25,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,2,Gravid Trap,FC-029gr
6/5/25,Fort Collins,Magic Carpet,SW,No Mosquitoes,0,CDC Light Trap,FC-001
6/5/25,Fort Collins,Chelsea Ridge,SW,Aedes increpitus,2,CDC Light Trap,FC-037
6/5/25,Fort Collins,5029 Crest Dr,SW,Aedes vexans,3,CDC Light Trap,FC-068
6/5/25,Fort Collins,5029 Crest Dr,SW,Aedes dorsalis,2,CDC Light Trap,FC-068
6/5/25,Fort Collins,Lopez Elementary,SW,Aedes vexans,28,CDC Light Trap,FC-093
6/5/25,Fort Collins,Lopez Elementary,SW,Culex pipiens,1,CDC Light Trap,FC-093
6/5/25,Fort Collins,Registry Ridge,SW,Culex tarsalis,1,CDC Light Trap,FC-057
6/5/25,Fort Collins,Chelsea Ridge,SW,Aedes vexans,37,CDC Light Trap,FC-037
6/5/25,Fort Collins,Silvergate Rd,SW,Culex pipiens,1,CDC Light Trap,FC-071
6/5/25,Fort Collins,Silvergate Rd,SW,Aedes vexans,18,CDC Light Trap,FC-071
6/5/25,Fort Collins,Silvergate Rd,SW,Culex tarsalis,1,CDC Light Trap,FC-071
6/5/25,Fort Collins,Registry Ridge,SW,Aedes dorsalis,2,CDC Light Trap,FC-057
6/5/25,Fort Collins,Registry Ridge,SW,Aedes vexans,1,CDC Light Trap,FC-057
6/5/25,Fort Collins,737 Parliament,SE,Aedes vexans,93,CDC Light Trap,FC-054
6/5/25,Fort Collins,737 Parliament,SE,Culex tarsalis,2,CDC Light Trap,FC-054
6/5/25,Fort Collins,737 Parliament,SE,Aedes dorsalis,3,CDC Light Trap,FC-054
6/5/25,Fort Collins,Ben's Park,SE,Aedes vexans,3,CDC Light Trap,FC-029
6/5/25,Fort Collins,Ben's Park,SE,Aedes dorsalis,1,CDC Light Trap,FC-029
6/5/25,Fort Collins,Water's Edge at Blue Mesa,SW,Aedes vexans,16,CDC Light Trap,FC-062
6/2/25,Loveland,Horseshoe Peninsula,LV ,Culex tarsalis,1,CDC Light Trap,LV-069
6/2/25,Loveland,Centerra,LV ,Culex tarsalis,1,CDC Light Trap,LV-117
6/2/25,Loveland,Centerra,LV ,Aedes vexans,10,CDC Light Trap,LV-117
6/2/25,Loveland,Centerra,LV ,Aedes dorsalis,2,CDC Light Trap,LV-117
6/2/25,Loveland,7 Lakes Park,LV ,Culex tarsalis,1,CDC Light Trap,LV-078
6/2/25,Loveland,7 Lakes Park,LV ,Aedes increpitus,4,CDC Light Trap,LV-078
6/2/25,Loveland,7 Lakes Park,LV ,Aedes vexans,41,CDC Light Trap,LV-078
6/2/25,Loveland,7 Lakes Park,LV ,Culiseta inornata,1,CDC Light Trap,LV-078
6/2/25,Loveland,Sundisk and 13E,LV ,Aedes vexans,4,CDC Light Trap,LV-116
6/2/25,Loveland,Sundisk and 13E,LV ,Culex pipiens,1,CDC Light Trap,LV-116
6/2/25,Loveland,Sundisk and 13E,LV ,Culex tarsalis,2,CDC Light Trap,LV-116
6/2/25,Loveland,2229 Arikaree,LV ,Culex pipiens,1,CDC Light Trap,LV-088
6/2/25,Loveland,2229 Arikaree,LV ,Culex tarsalis,4,CDC Light Trap,LV-088
6/2/25,Loveland,2229 Arikaree,LV ,Aedes increpitus,1,CDC Light Trap,LV-088
6/2/25,Loveland,2229 Arikaree,LV ,Aedes vexans,5,CDC Light Trap,LV-088
6/2/25,Loveland,Outlet Mall Apartments,LV ,Culex tarsalis,20,CDC Light Trap,LV-066
6/2/25,Loveland,Outlet Mall Apartments,LV ,Aedes vexans,776,CDC Light Trap,LV-066
6/2/25,Loveland,Outlet Mall Apartments,LV ,Culiseta inornata,4,CDC Light Trap,LV-066
6/2/25,Loveland,Boyd Lake,LV ,Culiseta inornata,3,CDC Light Trap,LV-095
6/2/25,Loveland,Boyd Lake,LV ,Aedes melanimon,2,CDC Light Trap,LV-095
6/2/25,Loveland,Boyd Lake,LV ,Aedes dorsalis,4,CDC Light Trap,LV-095
6/2/25,Loveland,Boyd Lake,LV ,Culex tarsalis,9,CDC Light Trap,LV-095
6/2/25,Loveland,Boyd Lake,LV ,Aedes increpitus,3,CDC Light Trap,LV-095
6/2/25,Loveland,Boyd Lake,LV ,Aedes vexans,150,CDC Light Trap,LV-095
6/2/25,Loveland,Harding and Reagan,LV ,Aedes vexans,37,CDC Light Trap,LV-080
6/2/25,Loveland,Harding and Reagan,LV ,Culex tarsalis,3,CDC Light Trap,LV-080
6/2/25,Loveland,Harding and Reagan,LV ,Aedes increpitus,9,CDC Light Trap,LV-080
6/2/25,Loveland,Harding and Reagan,LV ,Culex pipiens,4,CDC Light Trap,LV-080
6/2/25,Loveland,7 Lakes Gravid,LV ,Culex pipiens,2,Gravid Trap,LV-079gr
6/2/25,Loveland,7 Lakes Gravid,LV ,Culiseta inornata,2,Gravid Trap,LV-079gr
6/2/25,Loveland,29th and Madison,LV ,Culex tarsalis,3,CDC Light Trap,LV-004
6/2/25,Loveland,29th and Madison,LV ,Aedes vexans,6,CDC Light Trap,LV-004
6/2/25,Loveland,Pond at Silver Lake,LV ,Aedes vexans,9,CDC Light Trap,LV-093
6/2/25,Loveland,Pond at Silver Lake,LV ,Aedes increpitus,1,CDC Light Trap,LV-093
6/2/25,Loveland,Pond at Silver Lake,LV ,Culex pipiens,1,CDC Light Trap,LV-093
6/2/25,Loveland,Horseshoe Peninsula,LV ,Aedes vexans,3,CDC Light Trap,LV-069
6/3/25,Loveland,Cr 20 and 9,LV ,Culex tarsalis,2,CDC Light Trap,LV-104
6/3/25,Loveland,1105 East 1st Street,LV ,No Mosquitoes,0,CDC Light Trap,LV-077
6/3/25,Loveland,8th And No Name,LV ,Aedes vexans,2,CDC Light Trap,LV-125
6/3/25,Loveland,8th And No Name,LV ,Culex tarsalis,2,CDC Light Trap,LV-125
6/3/25,Loveland,Springs at Marianna,LV ,Aedes increpitus,1,CDC Light Trap,LV-113
6/3/25,Loveland,Keysight Technologies,LV ,No Mosquitoes,0,CDC Light Trap,LV-124
6/3/25,Loveland,Big Thompson ,LV ,Aedes increpitus,2,CDC Light Trap,LV-110
6/3/25,Loveland,Jefferson And 11th Gravid,LV ,Culex pipiens,1,Gravid Trap,LV-074gr
6/3/25,Loveland,Downtown Loveland ,LV ,No Mosquitoes,0,CDC Light Trap,LV-100
6/3/25,Loveland,Cr 20 and 9,LV ,Culiseta inornata,2,CDC Light Trap,LV-104
6/3/25,Loveland,Springs at Marianna,LV ,Aedes vexans,174,CDC Light Trap,LV-113
6/3/25,Loveland,Springs at Marianna,LV ,Culiseta inornata,1,CDC Light Trap,LV-113
6/3/25,Loveland,9th and DesMoines,LV ,No Mosquitoes,0,CDC Light Trap,LV-089
6/3/25,Loveland,Golf Vista,LV ,No Mosquitoes,0,CDC Light Trap,LV-118
6/3/25,Loveland,8th And No Name,LV ,Culex pipiens,1,CDC Light Trap,LV-125
6/3/25,Loveland,Springs at Marianna,LV ,Aedes melanimon,1,CDC Light Trap,LV-113
6/3/25,Loveland,Jefferson and 11th,LV ,No Mosquitoes,0,CDC Light Trap,LV-074
6/3/25,Loveland,Cr 20 and 9,LV ,Anopheles freeborni,4,CDC Light Trap,LV-104
6/3/25,Loveland,915 S Boise,LV ,Aedes vexans,1,CDC Light Trap,LV-112
6/3/25,Loveland,Cr 20 and 9,LV ,Aedes vexans,3,CDC Light Trap,LV-104
6/4/25,Loveland,Linda and 26th ,LV ,Culex tarsalis,1,CDC Light Trap,LV-021
6/4/25,Loveland,2001 S Douglas,LV ,Aedes vexans,2,CDC Light Trap,LV-042
6/4/25,Loveland,2001 S Douglas,LV ,Culex pipiens,1,CDC Light Trap,LV-042
6/4/25,Loveland,End of City Limits North,LV ,Aedes flavescens,3,CDC Light Trap,LV-120
6/4/25,Loveland,End of City Limits North,LV ,Aedes increpitus,1,CDC Light Trap,LV-120
6/4/25,Loveland,End of City Limits North,LV ,Aedes vexans,8,CDC Light Trap,LV-120
6/4/25,Loveland,End of City Limits North,LV ,Anopheles freeborni,4,CDC Light Trap,LV-120
6/4/25,Loveland,Jill Drive Pond,LV ,Aedes trivittatus,1,CDC Light Trap,LV-114
6/4/25,Loveland,Jill Drive Pond,LV ,Culex tarsalis,2,CDC Light Trap,LV-114
6/4/25,Loveland,Jill Drive Pond,LV ,Aedes increpitus,31,CDC Light Trap,LV-114
6/4/25,Loveland,Jill Drive Pond,LV ,Aedes cinereus,1,CDC Light Trap,LV-114
6/4/25,Loveland,Jill Drive Pond,LV ,Aedes vexans,25,CDC Light Trap,LV-114
6/4/25,Loveland,Del Norte Private Park,LV ,Culex tarsalis,4,CDC Light Trap,LV-067
6/4/25,Loveland,Del Norte Private Park,LV ,Aedes vexans,13,CDC Light Trap,LV-067
6/4/25,Loveland,Del Norte Private Park,LV ,Aedes increpitus,32,CDC Light Trap,LV-067
6/4/25,Loveland,Derby Hill,LV ,Aedes increpitus,1,CDC Light Trap,LV-087
6/4/25,Loveland,Derby Hill,LV ,Aedes vexans,3,CDC Light Trap,LV-087
6/4/25,Loveland,Derby Hill,LV ,Culex pipiens,1,CDC Light Trap,LV-087
6/4/25,Loveland,Derby Hill,LV ,Culiseta inornata,1,CDC Light Trap,LV-087
6/4/25,Loveland,Derby Hill,LV ,Culex tarsalis,8,CDC Light Trap,LV-087
6/4/25,Loveland,Linda and 26th ,LV ,Aedes vexans,1,CDC Light Trap,LV-021
6/4/25,Loveland,Cattail Pond,LV ,Culex tarsalis,2,CDC Light Trap,LV-020
6/4/25,Loveland,Cattail Pond,LV ,Aedes increpitus,16,CDC Light Trap,LV-020
6/4/25,Loveland,Cattail Pond,LV ,Aedes melanimon,2,CDC Light Trap,LV-020
6/4/25,Loveland,Cattail Pond,LV ,Aedes vexans,11,CDC Light Trap,LV-020
6/4/25,Loveland,Jocelyn and Eagle,LV ,Aedes vexans,9,CDC Light Trap,LV-019
6/4/25,Loveland,Jocelyn and Eagle,LV ,Aedes increpitus,2,CDC Light Trap,LV-019
6/4/25,Loveland,Jocelyn and Eagle,LV ,Culiseta inornata,1,CDC Light Trap,LV-019
6/5/25,Loveland,Farasita at Rist Benson,LV ,Aedes vexans,1,CDC Light Trap,LV-097
6/5/25,Loveland,West 43rd Railroad,LV ,Aedes dorsalis,1,CDC Light Trap,LV-105
6/5/25,Loveland,Cattails Golfcourse,LV ,Aedes vexans,1,CDC Light Trap,LV-099
6/5/25,Loveland,Hendler Gravid,LV ,Culex pipiens,3,Gravid Trap,LV-010gr
6/5/25,Loveland,Benson Sculpture Park,LV ,Aedes vexans,1,CDC Light Trap,LV-098
6/5/25,Loveland,Benson Sculpture Park,LV ,Aedes increpitus,5,CDC Light Trap,LV-098
6/5/25,Loveland,Benson Sculpture Park,LV ,Anopheles freeborni,1,CDC Light Trap,LV-098
6/5/25,Loveland,Benson Sculpture Park,LV ,Culex pipiens,1,CDC Light Trap,LV-098
6/5/25,Loveland,Benson Sculpture Park,LV ,Culex tarsalis,1,CDC Light Trap,LV-098
6/5/25,Loveland,Fallgold,LV ,No Mosquitoes,0,CDC Light Trap,LV-122
6/5/25,Loveland,Estrella Park,LV ,Culex pipiens,1,CDC Light Trap,LV-014
6/5/25,Loveland,Estrella Park,LV ,Culex tarsalis,1,CDC Light Trap,LV-014
6/5/25,Loveland,Glen Isle Ditch,LV ,Aedes vexans,1,CDC Light Trap,LV-102
6/5/25,Loveland,Glen Isle Ditch,LV ,Culex pipiens,1,CDC Light Trap,LV-102
6/5/25,Loveland,Hendler Gravid,LV ,Culex tarsalis,1,Gravid Trap,LV-010gr
6/5/25,Loveland,Farasita at Rist Benson,LV ,Aedes increpitus,19,CDC Light Trap,LV-097
6/5/25,Loveland,Bayfield and Windsor,LV ,Culex pipiens,1,CDC Light Trap,LV-121
6/4/25,Berthoud,Berthoud North,BE,No Mosquitoes,0,CDC Light Trap,LC-049 
6/4/25,Berthoud,Berthoud West,BE,Culex tarsalis,16,CDC Light Trap,LC-053 
6/4/25,Berthoud,Berthoud West,BE,Aedes vexans,2,CDC Light Trap,LC-053 
6/4/25,Berthoud,Berthoud Point,BE,No Mosquitoes,0,CDC Light Trap,LC-054 
6/4/25,Berthoud,Berthoud Park,BE,Culex tarsalis,2,CDC Light Trap,LC-001 
6/4/25,Berthoud,Berthoud East,BE,No Mosquitoes,0,CDC Light Trap,WC-055
6/4/25,Berthoud,Berthoud Reservoir,BE,Anopheles freeborni,4,CDC Light Trap,LC-061
6/4/25,Berthoud,Berthoud Reservoir,BE,Culex tarsalis,10,CDC Light Trap,LC-061
6/4/25,Berthoud,Berthoud Gateway,BE,No Mosquitoes,0,CDC Light Trap,LC-058
6/4/25,Berthoud,Berthoud Golf Course,BE,Aedes increpitus,5,CDC Light Trap,LC-062
6/4/25,Berthoud,Berthoud Golf Course,BE,Aedes vexans,7,CDC Light Trap,LC-062
6/4/25,Berthoud,Berthoud Golf Course,BE,Aedes melanimon,25,CDC Light Trap,LC-062
6/4/25,Berthoud,Berthoud Hillsdale,BE,Aedes vexans,4,CDC Light Trap,LC-059
6/4/25,Berthoud,Berthoud Hillsdale,BE,Culex tarsalis,3,CDC Light Trap,LC-059
6/4/25,Berthoud,Berthoud Pioneer,BE,No Mosquitoes,0,CDC Light Trap,LC-060
