date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/14/2025,Fort Collins,N. Linden,NE,Aedes vexans,2,CDC Light Trap,FC-006
7/14/2025,Fort Collins,N. Linden,NE,Culex tarsalis,7,CDC Light Trap,FC-006
7/14/2025,Fort Collins,N. Linden,NE,Culex pipiens,1,CDC Light Trap,FC-006
7/14/2025,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,37,Gravid Trap,FC-092gr
7/14/2025,Fort Collins,Hemlock,NW,Aedes increpitus,2,CDC Light Trap,FC-036 
7/14/2025,Fort Collins,Prospect Ponds,NE,Aedes increpitus,129,CDC Light Trap,FC-066
7/14/2025,Fort Collins,Prospect Ponds,NE,Aedes melanimon,22,CDC Light Trap,FC-066
7/14/2025,Fort Collins,Hemlock,NW,Coquillettidia perturbans,10,CDC Light Trap,FC-036 
7/14/2025,Fort Collins,Hemlock,NW,Anopheles freeborni,4,CDC Light Trap,FC-036 
7/14/2025,Fort Collins,Hemlock,NW,Culex pipiens,12,CDC Light Trap,FC-036 
7/14/2025,Fort Collins,PVH Gravid,NE,Culex tarsalis,1,Gravid Trap,FC-091gr
7/14/2025,Fort Collins,PVH Gravid,NE,Culex pipiens,55,Gravid Trap,FC-091gr
7/14/2025,Fort Collins,Hemlock,NW,Culiseta inornata,1,CDC Light Trap,FC-036 
7/14/2025,Fort Collins,Lochside Lane,NE,Culex pipiens,1,CDC Light Trap,FC-038
7/14/2025,Fort Collins,Lochside Lane,NE,Culiseta inornata,2,CDC Light Trap,FC-038
7/14/2025,Fort Collins,Lochside Lane,NE,Culex tarsalis,38,CDC Light Trap,FC-038
7/14/2025,Fort Collins,Lochside Lane,NE,Aedes vexans,7,CDC Light Trap,FC-038
7/14/2025,Fort Collins,Poudre River Trail,NE,Anopheles freeborni,1,CDC Light Trap,FC-067
7/14/2025,Fort Collins,Poudre River Trail,NE,Aedes melanimon,6,CDC Light Trap,FC-067
7/14/2025,Fort Collins,Linden Lake Rd,NE,Aedes dorsalis,2,CDC Light Trap,FC-069
7/14/2025,Fort Collins,Country Club,NE,Culex tarsalis,82,CDC Light Trap,FC-034
7/14/2025,Fort Collins,Country Club,NE,Aedes vexans,30,CDC Light Trap,FC-034
7/14/2025,Fort Collins,Country Club,NE,Anopheles freeborni,18,CDC Light Trap,FC-034
7/14/2025,Fort Collins,Country Club,NE,Aedes melanimon,36,CDC Light Trap,FC-034
7/14/2025,Fort Collins,FC Visitor Center,NE,Aedes dorsalis,3,CDC Light Trap,FC-014
7/14/2025,Fort Collins,FC Visitor Center,NE,Aedes melanimon,3,CDC Light Trap,FC-014
7/14/2025,Fort Collins,FC Visitor Center,NE,Culex tarsalis,144,CDC Light Trap,FC-014
7/14/2025,Fort Collins,FC Visitor Center,NE,Aedes vexans,11,CDC Light Trap,FC-014
7/14/2025,Fort Collins,FC Visitor Center,NE,Culex pipiens,87,CDC Light Trap,FC-014
7/14/2025,Fort Collins,FC Visitor Center,NE,Aedes flavescens,1,CDC Light Trap,FC-014
7/14/2025,Fort Collins,FC Visitor Center,NE,Coquillettidia perturbans,4,CDC Light Trap,FC-014
7/14/2025,Fort Collins,Prospect Ponds Gravid,NE,Anopheles freeborni,9,Gravid Trap,FC-066gr
7/14/2025,Fort Collins,Prospect Ponds Gravid,NE,Aedes vexans,4,Gravid Trap,FC-066gr
7/14/2025,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,5,Gravid Trap,FC-066gr
7/14/2025,Fort Collins,Prospect Ponds Gravid,NE,Aedes melanimon,4,Gravid Trap,FC-066gr
7/14/2025,Fort Collins,Poudre River Trail,NE,Coquillettidia perturbans,2,CDC Light Trap,FC-067
7/14/2025,Fort Collins,Poudre River Trail,NE,Culex tarsalis,22,CDC Light Trap,FC-067
7/14/2025,Fort Collins,422 Lake Dr,NE,Culex tarsalis,49,CDC Light Trap,FC-072
7/14/2025,Fort Collins,422 Lake Dr,NE,Aedes vexans,3,CDC Light Trap,FC-072
7/14/2025,Fort Collins,422 Lake Dr,NE,Culex pipiens,13,CDC Light Trap,FC-072
7/14/2025,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,5,CDC Light Trap,FC-069
7/14/2025,Fort Collins,Linden Lake Rd,NE,Aedes vexans,33,CDC Light Trap,FC-069
7/14/2025,Fort Collins,Linden Lake Rd,NE,Culex pipiens,1,CDC Light Trap,FC-069
7/14/2025,Fort Collins,Linden Lake Rd,NE,Coquillettidia perturbans,7,CDC Light Trap,FC-069
7/14/2025,Fort Collins,Redwood,NE,Culex tarsalis,93,CDC Light Trap,FC-040
7/14/2025,Fort Collins,Redwood,NE,Culex pipiens,3,CDC Light Trap,FC-040
7/14/2025,Fort Collins,Redwood,NE,Aedes melanimon,4,CDC Light Trap,FC-040
7/14/2025,Fort Collins,Redwood,NE,Aedes vexans,25,CDC Light Trap,FC-040
7/14/2025,Fort Collins,Redwood,NE,Coquillettidia perturbans,11,CDC Light Trap,FC-040
7/14/2025,Fort Collins,Redwood,NE,Aedes dorsalis,5,CDC Light Trap,FC-040
7/14/2025,Fort Collins,Linden Lake Rd,NE,Aedes melanimon,2,CDC Light Trap,FC-069
7/14/2025,Fort Collins,Prospect Ponds,NE,Aedes vexans,236,CDC Light Trap,FC-066
7/14/2025,Fort Collins,Prospect Ponds,NE,Culiseta inornata,4,CDC Light Trap,FC-066
7/14/2025,Fort Collins,Poudre River Trail,NE,Culex pipiens,4,CDC Light Trap,FC-067
7/14/2025,Fort Collins,Prospect Ponds,NE,Culex pipiens,70,CDC Light Trap,FC-066
7/14/2025,Fort Collins,Prospect Ponds,NE,Aedes dorsalis,3,CDC Light Trap,FC-066
7/14/2025,Fort Collins,Prospect Ponds,NE,Anopheles freeborni,8,CDC Light Trap,FC-066
7/14/2025,Fort Collins,Prospect Ponds,NE,Culex tarsalis,88,CDC Light Trap,FC-066
7/14/2025,Fort Collins,Prospect Ponds,NE,Coquillettidia perturbans,73,CDC Light Trap,FC-066
7/14/2025,Fort Collins,Edora Park,NE,Aedes increpitus,22,CDC Light Trap,FC-019
7/14/2025,Fort Collins,Edora Park,NE,Culex pipiens,10,CDC Light Trap,FC-019
7/14/2025,Fort Collins,Edora Park,NE,Culiseta inornata,3,CDC Light Trap,FC-019
7/14/2025,Fort Collins,Edora Park,NE,Aedes vexans,19,CDC Light Trap,FC-019
