"csu_id","trap_id","zone","zone2","trap_date","year","week","spp","method","trap_status","total","test_code","copies","cq","seq","notes"
"CSU24108","FC-068","SW","FC",2025-07-24,2025,30,"Tarsalis","L","culex",12,0,0,55.55,0,
"CSU24109","FC-068","SW","FC",2025-07-24,2025,30,"Pipiens","L","culex",4,0,0,55.55,0,
"CSU24110","FC-054","SE","FC",2025-07-24,2025,30,"Tarsalis","L","culex",13,0,0,55.55,0,
"CSU24111","FC-029GR","SE","FC",2025-07-24,2025,30,"Pipiens","G","culex",49,0,0,55.55,0,
"CSU24112","FC-093","SW","FC",2025-07-24,2025,30,"Tarsalis","L","culex",5,0,0,55.55,0,
"CSU24113","FC-093","SW","FC",2025-07-24,2025,30,"Pipiens","L","culex",1,0,0,55.55,0,
"CSU24114","FC-062","SW","FC",2025-07-24,2025,30,"Tarsalis","L","culex",12,0,0,55.55,0,
"CSU24115","FC-089GR","SW","FC",2025-07-24,2025,30,"Pipiens","G","culex",26,0,0,55.55,0,
"CSU24116","FC-071","SW","FC",2025-07-24,2025,30,"Tarsalis","L","culex",4,0,0,55.55,0,
"CSU24117","FC-071","SW","FC",2025-07-24,2025,30,"Pipiens","L","culex",3,0,0,55.55,0,
"CSU24118","FC-001","SW","FC",2025-07-24,2025,30,"Tarsalis","L","culex",11,0,0,55.55,0,
"CSU24119","FC-001","SW","FC",2025-07-24,2025,30,"Pipiens","L","culex",1,0,0,55.55,0,
"CSU24120","FC-057","SW","FC",2025-07-24,2025,30,"Tarsalis","L","culex",4,0,0,55.55,0,
"CSU24121","FC-037","SW","FC",2025-07-24,2025,30,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU24122","FC-037","SW","FC",2025-07-24,2025,30,"Tarsalis","L","culex",31,0,0,55.55,0,
"CSU24123","FC-037","SW","FC",2025-07-24,2025,30,"Pipiens","L","culex",15,0,0,55.55,0,
"CSU24063","LC-059","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",8,0,0,55.55,0,
"CSU24064","LC-059","BE","BE",2025-07-23,2025,30,"Pipiens","L","culex",1,0,0,55.55,0,
"CSU24065","LC-001","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU24066","LC-001","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",18,0,0,55.55,0,
"CSU24067","LC-001","BE","BE",2025-07-23,2025,30,"Pipiens","L","culex",6,0,0,55.55,0,
"CSU24068","LC-049","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU24069","LC-049","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU24070","LC-049","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",29,0,0,55.55,0,
"CSU24071","LC-049","BE","BE",2025-07-23,2025,30,"Pipiens","L","culex",3,0,0,55.55,0,
"CSU24072","WC-055","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU24073","WC-055","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",7,0,0,55.55,0,
"CSU24074","LC-062","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",38,0,0,55.55,0,
"CSU24075","LC-054","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU24076","LC-054","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",46,0,0,55.55,0,
"CSU24077","LC-053","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",19,0,0,55.55,0,
"CSU24078","LC-053","BE","BE",2025-07-23,2025,30,"Pipiens","L","culex",2,0,0,55.55,0,
"CSU24079","LC-061","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",47,0,0,55.55,0,
"CSU24080","LC-058","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",42,0,0,55.55,0,
"CSU24081","LC-060","BE","BE",2025-07-23,2025,30,"Tarsalis","L","culex",40,0,0,55.55,0,
"CSU24082","LC-060","BE","BE",2025-07-23,2025,30,"Pipiens","L","culex",2,0,0,55.55,0,
"CSU24083","FC-073","NW","FC",2025-07-23,2025,30,"Tarsalis","L","culex",16,0,0,55.55,0,
"CSU24084","FC-073","NW","FC",2025-07-23,2025,30,"Pipiens","L","culex",3,0,0,55.55,0,
"CSU24085","LV-020","LV","LV",2025-07-23,2025,30,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU24086","LV-020","LV","LV",2025-07-23,2025,30,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU24087","LV-020","LV","LV",2025-07-23,2025,30,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU24088","LV-020","LV","LV",2025-07-23,2025,30,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU24089","LV-020","LV","LV",2025-07-23,2025,30,"Tarsalis","L","culex",44,0,0,55.55,0,
