trap_id,method,zone,zone2,start,end,active,location_desc,lat,long
BC-01,L,BC,BC,2021,,0,,40.05410,-105.28570
BC-02,L,BC,BC,2021,,0,,39.99101,-105.18326
BC-03,L,BC,BC,2021,,0,,40.05286,-105.26606
BC-04,L,BC,BC,2021,,0,,40.06164,-105.19396
BC-07,L,BC,BC,2021,,0,,39.97990,-105.26160
BC-08,L,BC,BC,2021,,0,,40.13063,-105.21674
BC-09,L,BC,BC,2021,,0,,40.01302,-105.27145
BC-10,L,BC,BC,2021,,0,,39.99480,-105.23610
BC-11,L,BC,BC,2021,,1,,40.02880,-105.21530
BC-12,L,BC,BC,2021,,0,,NA,NA
BC-13,L,BC,BC,2021,,0,,39.99281,-105.22003
BC-14,L,BC,BC,2021,,0,,39.98750,-105.22090
BC-15,L,BC,BC,2021,,0,,40.01302,-105.27145
BC-16,L,BC,BC,2021,,0,,NA,NA
BC-17,L,BC,BC,2021,,0,,40.10181,-105.15603
BC-18,L,BC,BC,2021,,0,,40.01302,-105.27145
BC-19,L,BC,BC,2021,,0,,NA,NA
BC-22,L,BC,BC,2021,,1,,40.01070,-105.20910
BC-24,L,BC,BC,2021,,1,,40.06880,-105.24700
BC-25,L,BC,BC,2021,,1,,40.08450,-105.20500
BC-26,L,BC,BC,2021,,1,,40.03910,-105.18680
BC-27,L,BC,BC,2021,,0,,40.02800,-105.26550
BC-28,L,BC,BC,2021,,0,,40.00750,-105.21600
FC-001,L,SW,FC,2006,,1,,40.49087,-105.08257
FC-004,L,SE,FC,2006,,1,,40.53486,-105.03733
FC-006,L,NE,FC,2006,,1,,40.59233,-105.06630
FC-011,L,NW,FC,2006,,1,,40.56948,-105.13603
FC-014,L,NE,FC,2006,,1,,40.56359,-105.00656
FC-015,L,NW,FC,2006,,1,,40.55980,-105.12409
FC-019,L,NE,FC,2006,,1,,40.56559,-105.05203
FC-023,L,SE,FC,2006,,1,,40.54466,-105.06410
FC-027,L,SE,FC,2006,,1,,40.54651,-105.03359
FC-029,L,SE,FC,2006,,1,,40.51011,-105.06935
FC-029GR,G,SE,FC,2006,,1,,40.51101,-105.06937
FC-031,L,SE,FC,2006,,1,,40.50609,-105.03942
FC-034,L,NE,FC,2006,,1,,40.62556,-105.05009
FC-036,L,NW,FC,2006,,1,,40.60077,-105.07984
FC-037,L,SW,FC,2006,,1,,40.51668,-105.09808
FC-038,L,NE,FC,2006,,1,,40.59911,-105.00623
FC-039,L,SE,FC,2006,,1,,40.48081,-105.03934
FC-040,L,NE,FC,2006,,1,,40.60326,-105.06554
FC-040GR,G,NE,FC,2006,,1,,40.60326,-105.06553
FC-041,L,NW,FC,2006,,1,,40.58794,-105.10486
FC-046,L,SE,FC,2006,,1,,40.52983,-105.06484
FC-047,L,SE,FC,2006,,1,,40.51551,-105.05292
FC-049,L,SW,FC,2006,,1,,40.57324,-105.13949
FC-050,L,SE,FC,2006,,1,,40.52954,-105.05033
FC-052,L,NW,FC,2006,,1,,40.56163,-105.08703
FC-053,L,SE,FC,2006,,1,,40.49942,-105.01183
FC-054,L,SE,FC,2006,,1,,40.49998,-105.06320
FC-057,L,SW,FC,2006,,1,,40.48439,-105.10524
FC-058,L,SW,FC,2006,,1,,40.54884,-105.12533
FC-059,L,SE,FC,2006,,1,,40.54260,-105.04604
FC-060,L,NW,FC,2006,,1,808 Ponderosa,40.54870,-105.12019
FC-061,L,NW,FC,2006,,1,,40.56880,-105.09165
FC-062,L,SW,FC,2006,,1,,40.54278,-105.08741
FC-063,L,NW,FC,2006,,1,,40.56568,-105.10485
FC-063GR,G,NW,FC,2006,,1,,40.56568,-105.10505
FC-064,L,SE,FC,2006,,1,,40.49868,-105.02980
FC-066,L,NE,FC,2006,,1,,40.55873,-105.02318
FC-066GR,G,NE,FC,2006,,1,,40.55873,-105.02318
FC-067,L,NE,FC,2006,,1,,40.57881,-105.05592
FC-068,L,SW,FC,2006,,1,,40.51600,-105.08547
FC-069,L,NE,FC,2006,,1,,40.61438,-105.05270
FC-071,L,SW,FC,2006,,1,,40.52733,-105.10821
FC-072,L,NE,FC,2006,,1,,40.56953,-105.07117
FC-073,L,NW,FC,2006,,1,,40.58605,-105.08889
FC-074,L,SE,FC,2006,,1,,40.51432,-105.00249
FC-075,L,SE,FC,2006,,1,,40.51138,-105.01987
FC-075GR,G,SE,FC,2006,,1,,40.51138,-105.02937
FC-088GR,G,SE,FC,2006,,1,,40.53331,-105.03053
FC-089GR,G,SW,FC,2006,,1,,40.53631,-105.10056
FC-090GR,G,NW,FC,2006,,1,,40.58196,-105.11136
FC-091GR,G,NE,FC,2006,,1,,40.57052,-105.05457
FC-092GR,G,NE,FC,2006,,1,,40.58407,-105.06497
FC-093,L,SW,FC,2006,,1,,40.53186,-105.08825
LC-001,L,BE,BE,2017,,1,,40.30259,-105.08406
LC-049,L,BE,BE,2017,,1,,40.31300,-105.07873
LC-053,L,BE,BE,2017,,1,,40.32055,-105.09457
LC-054,L,BE,BE,2017,,1,,40.34396,-105.10277
LC-055,L,BE,BE,2019,,0,,40.28889,-104.99146
LC-058,L,BE,BE,2024,,1,,40.30828,-105.09688
LC-059,L,BE,BE,2024,,1,,40.29312,-105.08463
LC-060,L,BE,BE,2024,,1,,40.30320,-105.06938
LC-061,L,BE,BE,2024,,1,,40.33682,-105.08659
LC-062,L,BE,BE,2024,,1,,40.34393,-105.11628
LV-020,L,LV,LV,2006,,1,,40.37396,-105.11349
LV-069,L,LV,LV,2006,,1,,40.42892,-105.05822
LV-074,L,LV,LV,2016,,0,,40.40401,-105.07100
LV-074GR,G,LV,LV,2016,,0,,40.40360,-105.07158
LV-078,L,LV,LV,2016,,0,,40.41623,-105.04508
LV-079GR,G,LV,LV,2016,,0,,40.41662,-105.04517
LV-087,L,LV,LV,2014,,0,,40.36705,-105.07371
LV-089,L,LV,LV,2006,,1,,40.40025,-105.04240
LV-095,L,LV,LV,2006,,1,,40.44412,-105.02217
LV-099,L,LV,LV,2014,,0,,40.42106,-105.10684
LV-100,L,LV,LV,2014,,0,,40.40416,-105.08859
LV-101,L,LV,LV,2014,,0,,40.39639,-105.07391
LV-102,L,LV,LV,2014,,0,,40.43448,-105.10450
LV-104,L,LV,LV,2006,,1,,40.39685,-105.02092
LV-105,L,LV,LV,2014,,0,,40.43646,-105.08396
LV-110,L,LV,LV,2006,,1,,40.40076,-105.12268
LV-112,L,LV,LV,2014,,0,,40.38728,-105.05445
LV-113,L,LV,LV,2014,,0,,40.38954,-105.15629
LV-114,L,LV,LV,2014,,0,,40.37876,-105.11991
LV-116,L,LV,LV,2014,,0,,40.43893,-105.06845
LV-117,L,LV,LV,2014,,0,,40.41228,-104.98942
LV-118,L,LV,LV,2014,,0,,40.40088,-105.13698
LV-120,L,LV,LV,2014,,0,,40.36400,-105.10300
LV-121,L,LV,LV,2014,,0,,40.42641,-105.12264
LV-122,L,LV,LV,2014,,0,,40.44539,-105.09135
LV-123,L,LV,LV,2014,,0,,40.39639,-105.07391
LV-124,L,LV,LV,2014,,0,,40.38387,-105.07996
LV-125,L,LV,LV,2014,,0,,40.40012,-105.10212
LV-FLOAT,L,LV,LV,2014,,0,,40.39639,-105.07391
WC-055,L,BE,BE,2017,,1,,40.28918,-104.99154
