date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/13/2026,Boulder,"Foothills
Community Park",BC,Culex pipiens,18,CDC Light Trap,BC-01
7/13/2026,Boulder,"23rd/
Meadow",BC,Culex pipiens,2,CDC Light Trap,BC-02
7/13/2026,Boulder,"Christensen
Park",BC,Culex pipiens,11,CDC Light Trap,BC-03
7/13/2026,Boulder,"South Boulder
Rec. Center",BC,Culex pipiens,13,CDC Light Trap,BC-04
7/13/2026,Boulder,"Broadway/
Baseline",BC,Culex pipiens,,CDC Light Trap,BC-05
7/13/2026,Boulder,"Broadway/
Alpine",BC,Culex pipiens,4,CDC Light Trap,BC-06
7/13/2026,Boulder,"Table Mesa/
Stevens",BC,Culex pipiens,18,CDC Light Trap,BC-07
7/13/2026,Boulder,"7th/
Pennsylvania",BC,Culex pipiens,8,CDC Light Trap,BC-08
7/13/2026,Boulder,Burke Park,BC,Culex pipiens,6,CDC Light Trap,BC-10
7/13/2026,Boulder,"Stazio
Ballfields (S)",BC,Culex pipiens,21,CDC Light Trap,BC-11
7/13/2026,Boulder,"E. Boulder
Rec. Center",BC,Culex pipiens,18,CDC Light Trap,BC-13
7/13/2026,Boulder,"Greenbelt
Meadows ",BC,Culex pipiens,11,CDC Light Trap,BC-14
7/13/2026,Boulder,"Rolling Rock
Ranch",BC,Culex pipiens,,CDC Light Trap,BC-20
7/13/2026,Boulder,"Sombrero
Marsh (S)",BC,Culex pipiens,4,CDC Light Trap,BC-22
7/13/2026,Boulder,"Papini Natural 
Area Park (S)",BC,Culex pipiens,11,CDC Light Trap,BC-24
7/13/2026,Boulder,"Tom Watson 
Park (S)",BC,Culex pipiens,60,CDC Light Trap,BC-25
7/13/2026,Boulder,"Sawhill
Ponds (S)",BC,Culex pipiens,7,CDC Light Trap,BC-26
7/13/2026,Boulder,"Goose
Creek",BC,Culex pipiens,9,CDC Light Trap,BC-27
7/13/2026,Boulder,"Old Tale Rd./
Gapter ",BC,Culex pipiens,3,CDC Light Trap,BC-28
7/13/2026,Boulder,"Foothills
Community Park",BC,Culex tarsalis,8,CDC Light Trap,BC-01
7/13/2026,Boulder,"23rd/
Meadow",BC,Culex tarsalis,7,CDC Light Trap,BC-02
7/13/2026,Boulder,"Christensen
Park",BC,Culex tarsalis,29,CDC Light Trap,BC-03
7/13/2026,Boulder,"South Boulder
Rec. Center",BC,Culex tarsalis,21,CDC Light Trap,BC-04
7/13/2026,Boulder,"Broadway/
Baseline",BC,Culex tarsalis,1,CDC Light Trap,BC-05
7/13/2026,Boulder,"Broadway/
Alpine ",BC,Culex tarsalis,1,CDC Light Trap,BC-06
7/13/2026,Boulder,"Table Mesa/
Stevens",BC,Culex tarsalis,11,CDC Light Trap,BC-07
7/13/2026,Boulder,"7th/
Pennsylvania",BC,Culex tarsalis,2,CDC Light Trap,BC-08
7/13/2026,Boulder,Burke Park,BC,Culex tarsalis,14,CDC Light Trap,BC-10
7/13/2026,Boulder,"Stazio
Ballfields (S)",BC,Culex tarsalis,74,CDC Light Trap,BC-11
7/13/2026,Boulder,"E. Boulder
Rec. Center",BC,Culex tarsalis,93,CDC Light Trap,BC-13
7/13/2026,Boulder,"Greenbelt
Meadows ",BC,Culex tarsalis,199,CDC Light Trap,BC-14
7/13/2026,Boulder,"Rolling Rock
Ranch",BC,Culex tarsalis,45,CDC Light Trap,BC-20
7/13/2026,Boulder,"Sombrero
Marsh (S)",BC,Culex tarsalis,93,CDC Light Trap,BC-22
7/13/2026,Boulder,"Papini Natural 
Area Park (S)",BC,Culex tarsalis,89,CDC Light Trap,BC-24
7/13/2026,Boulder,"Tom Watson
Park (S)",BC,Culex tarsalis,128,CDC Light Trap,BC-25
7/13/2026,Boulder,"Sawhill
Ponds (S)",BC,Culex tarsalis,68,CDC Light Trap,BC-26
7/13/2026,Boulder,"Goose
Creek",BC,Culex tarsalis,31,CDC Light Trap,BC-27
7/13/2026,Boulder,"Old Tale Rd./
Gapter ",BC,Culex tarsalis,30,CDC Light Trap,BC-28
