id,date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name,trap_team
112ce19d-dee2-4168-bc48-03eaee5da024,2026-07-13,Fort Collins,Lochside Lane,FC NE,Aedes dorsalis,1,CDC Light Trap,FC-038,
c10e3a13-0646-499f-943e-407f06ba3d1a,2026-07-13,Fort Collins,PVH Gravid,FC NE,Culex pipiens,33,Gravid Trap,FC-091gr,
759ce274-8eb7-4ea4-bb6d-931d38e5df97,2026-07-13,Fort Collins,Hemlock,FC NW,Coquillettidia perturbans,4,CDC Light Trap,FC-036,
5930c3b2-22a3-400d-b751-f9f774c89321,2026-07-13,Fort Collins,Linden Lake Rd,FC NE,Culex pipiens,4,CDC Light Trap,FC-069,
5930c3b2-22a3-400d-b751-f9f774c89321,2026-07-13,Fort Collins,Linden Lake Rd,FC NE,Culiseta inornata,1,CDC Light Trap,FC-069,
31561cf8-578f-467e-ac52-bb3bae98f6a8,2026-07-13,Fort Collins,Country Club,FC NE,Culex tarsalis,15,CDC Light Trap,FC-034,
31561cf8-578f-467e-ac52-bb3bae98f6a8,2026-07-13,Fort Collins,Country Club,FC NE,Aedes vexans,10,CDC Light Trap,FC-034,
31561cf8-578f-467e-ac52-bb3bae98f6a8,2026-07-13,Fort Collins,Country Club,FC NE,Aedes dorsalis,3,CDC Light Trap,FC-034,
31561cf8-578f-467e-ac52-bb3bae98f6a8,2026-07-13,Fort Collins,Country Club,FC NE,Aedes melanimon,5,CDC Light Trap,FC-034,
31561cf8-578f-467e-ac52-bb3bae98f6a8,2026-07-13,Fort Collins,Country Club,FC NE,Culex pipiens,1,CDC Light Trap,FC-034,
c99cdd29-b48c-4f2a-acff-df20900024fc,2026-07-13,Fort Collins,FC Visitor Center,FC NE,Anopheles freeborni,3,CDC Light Trap,FC-014,
c99cdd29-b48c-4f2a-acff-df20900024fc,2026-07-13,Fort Collins,FC Visitor Center,FC NE,Aedes vexans,2,CDC Light Trap,FC-014,
c99cdd29-b48c-4f2a-acff-df20900024fc,2026-07-13,Fort Collins,FC Visitor Center,FC NE,Culex pipiens,10,CDC Light Trap,FC-014,
c99cdd29-b48c-4f2a-acff-df20900024fc,2026-07-13,Fort Collins,FC Visitor Center,FC NE,Culex tarsalis,94,CDC Light Trap,FC-014,
c99cdd29-b48c-4f2a-acff-df20900024fc,2026-07-13,Fort Collins,FC Visitor Center,FC NE,Culiseta inornata,1,CDC Light Trap,FC-014,
c99cdd29-b48c-4f2a-acff-df20900024fc,2026-07-13,Fort Collins,FC Visitor Center,FC NE,Aedes dorsalis,1,CDC Light Trap,FC-014,
583a9b38-8bb0-457b-a6db-02ef0f027f67,2026-07-13,Fort Collins,Prospect Ponds Gravid,FC NE,Culex pipiens,4,Gravid Trap,FC-066gr,
759ce274-8eb7-4ea4-bb6d-931d38e5df97,2026-07-13,Fort Collins,Hemlock,FC NW,Aedes vexans,5,CDC Light Trap,FC-036 ,
759ce274-8eb7-4ea4-bb6d-931d38e5df97,2026-07-13,Fort Collins,Hemlock,FC NW,Culiseta inornata,2,CDC Light Trap,FC-036 ,
759ce274-8eb7-4ea4-bb6d-931d38e5df97,2026-07-13,Fort Collins,Hemlock,FC NW,Anopheles freeborni,2,CDC Light Trap,FC-036 ,
55f72024-0a40-42db-9bfe-bb5c176ce2d8,2026-07-13,Fort Collins,422 Lake Dr,FC NE,Culex tarsalis,28,CDC Light Trap,FC-072,
55f72024-0a40-42db-9bfe-bb5c176ce2d8,2026-07-13,Fort Collins,422 Lake Dr,FC NE,Aedes hendersoni,1,CDC Light Trap,FC-072,
55f72024-0a40-42db-9bfe-bb5c176ce2d8,2026-07-13,Fort Collins,422 Lake Dr,FC NE,Aedes dorsalis,2,CDC Light Trap,FC-072,
55f72024-0a40-42db-9bfe-bb5c176ce2d8,2026-07-13,Fort Collins,422 Lake Dr,FC NE,Culex pipiens,3,CDC Light Trap,FC-072,
d968662f-099d-40f8-8dbd-c7eb51247988,2026-07-13,Fort Collins,Poudre River Trail,FC NE,Aedes dorsalis,1,CDC Light Trap,FC-067,
5930c3b2-22a3-400d-b751-f9f774c89321,2026-07-13,Fort Collins,Linden Lake Rd,FC NE,Culex tarsalis,10,CDC Light Trap,FC-069,
f90b3078-eefb-4dc7-afc3-96f3d8c31aad,2026-07-13,Fort Collins,Redwood,FC NE,Culex pipiens,2,CDC Light Trap,FC-040,
f90b3078-eefb-4dc7-afc3-96f3d8c31aad,2026-07-13,Fort Collins,Redwood,FC NE,Aedes dorsalis,4,CDC Light Trap,FC-040,
f90b3078-eefb-4dc7-afc3-96f3d8c31aad,2026-07-13,Fort Collins,Redwood,FC NE,Coquillettidia perturbans,1,CDC Light Trap,FC-040,
f90b3078-eefb-4dc7-afc3-96f3d8c31aad,2026-07-13,Fort Collins,Redwood,FC NE,Aedes vexans,1,CDC Light Trap,FC-040,
d968662f-099d-40f8-8dbd-c7eb51247988,2026-07-13,Fort Collins,Poudre River Trail,FC NE,Aedes melanimon,2,CDC Light Trap,FC-067,
d968662f-099d-40f8-8dbd-c7eb51247988,2026-07-13,Fort Collins,Poudre River Trail,FC NE,Culex tarsalis,6,CDC Light Trap,FC-067,
d968662f-099d-40f8-8dbd-c7eb51247988,2026-07-13,Fort Collins,Poudre River Trail,FC NE,Aedes increpitus,2,CDC Light Trap,FC-067,
d968662f-099d-40f8-8dbd-c7eb51247988,2026-07-13,Fort Collins,Poudre River Trail,FC NE,Aedes vexans,5,CDC Light Trap,FC-067,
5930c3b2-22a3-400d-b751-f9f774c89321,2026-07-13,Fort Collins,Linden Lake Rd,FC NE,Aedes vexans,7,CDC Light Trap,FC-069,
5930c3b2-22a3-400d-b751-f9f774c89321,2026-07-13,Fort Collins,Linden Lake Rd,FC NE,Aedes dorsalis,1,CDC Light Trap,FC-069,
6d68ae7e-ef2b-4c50-8fd6-a46ab219aed0,2026-07-13,Fort Collins,Prospect Ponds,FC NE,Anopheles freeborni,22,CDC Light Trap,FC-066,
759ce274-8eb7-4ea4-bb6d-931d38e5df97,2026-07-13,Fort Collins,Hemlock,FC NW,Aedes melanimon,1,CDC Light Trap,FC-036 ,
