date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
8/3/2026,Fort Collins,Prospect Ponds,NE,Culiseta inornata,3,CDC Light Trap,FC-066
8/3/2026,Fort Collins,Prospect Ponds,NE,Aedes melanimon,2,CDC Light Trap,FC-066
8/3/2026,Fort Collins,Prospect Ponds,NE,Anopheles freeborni,2,CDC Light Trap,FC-066
8/3/2026,Fort Collins,Prospect Ponds,NE,Coquillettidia perturbans,4,CDC Light Trap,FC-066
8/3/2026,Fort Collins,Poudre River Trail,NE,Aedes dorsalis,5,CDC Light Trap,FC-067
8/3/2026,Fort Collins,Poudre River Trail,NE,Culex tarsalis,39,CDC Light Trap,FC-067
8/3/2026,Fort Collins,Poudre River Trail,NE,Aedes melanimon,1,CDC Light Trap,FC-067
8/3/2026,Fort Collins,Poudre River Trail,NE,Aedes increpitus,1,CDC Light Trap,FC-067
8/3/2026,Fort Collins,Poudre River Trail,NE,Culex pipiens,2,CDC Light Trap,FC-067
8/3/2026,Fort Collins,Poudre River Trail,NE,Aedes vexans,703,CDC Light Trap,FC-067
8/3/2026,Fort Collins,Prospect Ponds,NE,Culex tarsalis,123,CDC Light Trap,FC-066
8/3/2026,Fort Collins,Prospect Ponds,NE,Aedes dorsalis,2,CDC Light Trap,FC-066
8/3/2026,Fort Collins,Prospect Ponds,NE,Culex pipiens,114,CDC Light Trap,FC-066
8/3/2026,Fort Collins,Linden Lake Rd,NE,Aedes melanimon,1,CDC Light Trap,FC-069
8/3/2026,Fort Collins,Prospect Ponds,NE,Aedes vexans,22,CDC Light Trap,FC-066
8/3/2026,Fort Collins,Prospect Ponds,NE,Aedes hendersoni,1,CDC Light Trap,FC-066
8/3/2026,Fort Collins,N. Linden,NE,Culex tarsalis,17,CDC Light Trap,FC-006
8/3/2026,Fort Collins,N. Linden,NE,Anopheles freeborni,1,CDC Light Trap,FC-006
8/3/2026,Fort Collins,N. Linden,NE,Aedes dorsalis,10,CDC Light Trap,FC-006
8/3/2026,Fort Collins,N. Linden,NE,Culex pipiens,9,CDC Light Trap,FC-006
8/3/2026,Fort Collins,N. Linden,NE,Aedes vexans,55,CDC Light Trap,FC-006
8/3/2026,Fort Collins,Udall Natural Gravid,NE,Culex tarsalis,2,Gravid Trap,FC-092gr
8/3/2026,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,89,Gravid Trap,FC-092gr
8/3/2026,Fort Collins,Lochside Lane,NE,Culiseta inornata,1,CDC Light Trap,FC-038
8/3/2026,Fort Collins,Lochside Lane,NE,Anopheles freeborni,1,CDC Light Trap,FC-038
8/3/2026,Fort Collins,Lochside Lane,NE,Culex tarsalis,40,CDC Light Trap,FC-038
8/3/2026,Fort Collins,Lochside Lane,NE,Aedes dorsalis,1,CDC Light Trap,FC-038
8/3/2026,Fort Collins,Lochside Lane,NE,Aedes vexans,8,CDC Light Trap,FC-038
8/3/2026,Fort Collins,Lochside Lane,NE,Culex pipiens,4,CDC Light Trap,FC-038
8/3/2026,Fort Collins,Country Club,NE,Aedes melanimon,2,CDC Light Trap,FC-034
8/3/2026,Fort Collins,Country Club,NE,Aedes dorsalis,18,CDC Light Trap,FC-034
8/3/2026,Fort Collins,Country Club,NE,Anopheles freeborni,8,CDC Light Trap,FC-034
8/3/2026,Fort Collins,Country Club,NE,Aedes vexans,59,CDC Light Trap,FC-034
8/3/2026,Fort Collins,Country Club,NE,Culex tarsalis,60,CDC Light Trap,FC-034
8/3/2026,Fort Collins,FC Visitor Center,NE,Anopheles freeborni,1,CDC Light Trap,FC-014
8/3/2026,Fort Collins,FC Visitor Center,NE,Aedes dorsalis,3,CDC Light Trap,FC-014
8/3/2026,Fort Collins,FC Visitor Center,NE,Culex tarsalis,17,CDC Light Trap,FC-014
8/3/2026,Fort Collins,FC Visitor Center,NE,Culex pipiens,5,CDC Light Trap,FC-014
8/3/2026,Fort Collins,Prospect Ponds Gravid,NE,Aedes vexans,1,Gravid Trap,FC-066gr
8/3/2026,Fort Collins,Prospect Ponds Gravid,NE,Culex tarsalis,2,Gravid Trap,FC-066gr
8/3/2026,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,74,Gravid Trap,FC-066gr
8/3/2026,Fort Collins,Prospect Ponds Gravid,NE,Anopheles freeborni,3,Gravid Trap,FC-066gr
8/3/2026,Fort Collins,Linden Lake Rd,NE,Aedes dorsalis,4,CDC Light Trap,FC-069
8/3/2026,Fort Collins,Linden Lake Rd,NE,Aedes vexans,83,CDC Light Trap,FC-069
8/3/2026,Fort Collins,422 Lake Dr,NE,Culex pipiens,2,CDC Light Trap,FC-072
8/3/2026,Fort Collins,422 Lake Dr,NE,Aedes vexans,36,CDC Light Trap,FC-072
8/3/2026,Fort Collins,422 Lake Dr,NE,Culex tarsalis,20,CDC Light Trap,FC-072
8/3/2026,Fort Collins,Hemlock,NW,Culex tarsalis,54,CDC Light Trap,FC-036 
8/3/2026,Fort Collins,Linden Lake Rd,NE,Culex pipiens,6,CDC Light Trap,FC-069
8/3/2026,Fort Collins,Hemlock,NW,Aedes vexans,51,CDC Light Trap,FC-036 
8/3/2026,Fort Collins,Hemlock,NW,Culex pipiens,9,CDC Light Trap,FC-036 
8/3/2026,Fort Collins,Hemlock,NW,Aedes melanimon,7,CDC Light Trap,FC-036 
8/3/2026,Fort Collins,Hemlock,NW,Anopheles freeborni,1,CDC Light Trap,FC-036 
8/3/2026,Fort Collins,Edora Park,NE,Culex tarsalis,17,CDC Light Trap,FC-019
8/3/2026,Fort Collins,PVH Gravid,NE,Culex pipiens,134,Gravid Trap,FC-091gr
8/3/2026,Fort Collins,Edora Park,NE,Anopheles freeborni,1,CDC Light Trap,FC-019
8/3/2026,Fort Collins,Edora Park,NE,Culex pipiens,6,CDC Light Trap,FC-019
8/3/2026,Fort Collins,Edora Park,NE,Aedes vexans,10,CDC Light Trap,FC-019
8/3/2026,Fort Collins,Redwood,NE,Culex tarsalis,14,CDC Light Trap,FC-040
8/3/2026,Fort Collins,Redwood,NE,Aedes vexans,92,CDC Light Trap,FC-040
8/3/2026,Fort Collins,Redwood,NE,Aedes dorsalis,32,CDC Light Trap,FC-040
8/3/2026,Fort Collins,Redwood,NE,Culex pipiens,10,CDC Light Trap,FC-040
8/3/2026,Fort Collins,Hemlock,NW,Aedes dorsalis,5,CDC Light Trap,FC-036 
8/3/2026,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,29,CDC Light Trap,FC-069
8/3/2026,Fort Collins,Redwood Gravid,NE,Culex pipiens,45,Gravid Trap,FC-040gr
8/3/2026,Fort Collins,Redwood Gravid,NE,Aedes vexans,2,Gravid Trap,FC-040gr
8/4/2026,Fort Collins,Sage Creek North,SE,Culex tarsalis,16,CDC Light Trap,FC-075
8/4/2026,Fort Collins,Big Horn,SE,Culex pipiens,3,CDC Light Trap,FC-004
8/4/2026,Fort Collins,Willow Springs,SE,Aedes dorsalis,1,CDC Light Trap,FC-031
8/4/2026,Fort Collins,Egret and Rookery,SE,Culex tarsalis,14,CDC Light Trap,FC-053
8/4/2026,Fort Collins,Egret and Rookery,SE,Aedes vexans,1,CDC Light Trap,FC-053
8/4/2026,Fort Collins,Sage Creek North,SE,Culex pipiens,15,CDC Light Trap,FC-075
8/4/2026,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,25,Gravid Trap,FC-075gr
8/4/2026,Fort Collins,Sage Creek North,SE,Aedes vexans,3,CDC Light Trap,FC-075
8/4/2026,Fort Collins,West Chase,SE,Culex tarsalis,6,CDC Light Trap,FC-064
8/4/2026,Fort Collins,Westshore Ct,SE,Culex tarsalis,3,CDC Light Trap,FC-046
8/4/2026,Fort Collins,Westshore Ct,SE,Culex pipiens,2,CDC Light Trap,FC-046
8/4/2026,Fort Collins,3001 San Luis,SE,Culex tarsalis,1,CDC Light Trap,FC-027
8/4/2026,Fort Collins,3001 San Luis,SE,Aedes dorsalis,5,CDC Light Trap,FC-027
8/4/2026,Fort Collins,3001 San Luis,SE,Culex pipiens,2,CDC Light Trap,FC-027
8/4/2026,Fort Collins,Fossil Creek South,SE,Aedes dorsalis,62,CDC Light Trap,FC-039
8/4/2026,Fort Collins,Fossil Creek South,SE,Culex tarsalis,1,CDC Light Trap,FC-039
8/4/2026,Fort Collins,Fossil Creek South,SE,Aedes vexans,12,CDC Light Trap,FC-039
8/4/2026,Fort Collins,Fossil Creek South,SE,Aedes melanimon,21,CDC Light Trap,FC-039
8/4/2026,Fort Collins,3001 San Luis,SE,Aedes vexans,2,CDC Light Trap,FC-027
8/4/2026,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,1,CDC Light Trap,FC-059
8/4/2026,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,2,CDC Light Trap,FC-059
8/4/2026,Fort Collins,Springwood and Lochwood,SE,Aedes vexans,3,CDC Light Trap,FC-059
8/4/2026,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,8,CDC Light Trap,FC-047
8/4/2026,Fort Collins,Keeneland And Twin Oak,SE,Aedes vexans,1,CDC Light Trap,FC-047
8/4/2026,Fort Collins,Rock Creek,SE,Aedes dorsalis,1,CDC Light Trap,FC-074
8/4/2026,Fort Collins,Willow Springs,SE,Culex tarsalis,1,CDC Light Trap,FC-031
8/4/2026,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,2,CDC Light Trap,FC-050
8/4/2026,Fort Collins,Boltz,SE,Aedes vexans,2,CDC Light Trap,FC-023
8/4/2026,Fort Collins,Boltz,SE,Culex tarsalis,3,CDC Light Trap,FC-023
8/4/2026,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,15,Gravid Trap,FC-088gr
8/4/2026,Fort Collins,Willow Springs,SE,Aedes vexans,2,CDC Light Trap,FC-031
8/4/2026,Fort Collins,Big Horn,SE,Aedes vexans,1,CDC Light Trap,FC-004
8/4/2026,Fort Collins,Big Horn,SE,Culex tarsalis,10,CDC Light Trap,FC-004
8/5/2026,Fort Collins,Golden Current,NW,Culex pipiens,2,CDC Light Trap,FC-011
8/5/2026,Fort Collins,808 Ponderosa,NW,Culex tarsalis,3,CDC Light Trap,FC-060
8/5/2026,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,1,CDC Light Trap,FC-052
8/5/2026,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,2,CDC Light Trap,FC-052
8/5/2026,Fort Collins,603 Gilgalad Way,NW,Aedes vexans,2,CDC Light Trap,FC-052
8/5/2026,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,5,CDC Light Trap,FC-049
8/5/2026,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,42,Gravid Trap,FC-090gr
8/5/2026,Fort Collins,Red Fox Meadows Gravid,NW,Aedes vexans,10,Gravid Trap,FC-063gr
8/5/2026,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,6,Gravid Trap,FC-063gr
8/5/2026,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,4,CDC Light Trap,FC-015
8/5/2026,Fort Collins,Stuart and Dorset,NW,Aedes vexans,26,CDC Light Trap,FC-015
8/5/2026,Fort Collins,Fishback,NW,Culex pipiens,9,CDC Light Trap,FC-041
8/5/2026,Fort Collins,Fishback,NW,Culex tarsalis,18,CDC Light Trap,FC-041
8/5/2026,Fort Collins,Fishback,NW,Aedes vexans,1,CDC Light Trap,FC-041
8/5/2026,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,16,CDC Light Trap,FC-061
8/5/2026,Fort Collins,Holley Plant Research Center,NW,Aedes dorsalis,1,CDC Light Trap,FC-061
8/5/2026,Fort Collins,Holley Plant Research Center,NW,Aedes vexans,5,CDC Light Trap,FC-061
8/5/2026,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,7,CDC Light Trap,FC-061
8/5/2026,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex pipiens,2,CDC Light Trap,FC-058
8/5/2026,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,5,CDC Light Trap,FC-058
8/5/2026,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Aedes vexans,8,CDC Light Trap,FC-058
8/5/2026,Fort Collins,118 S Grant ,NW,Culex tarsalis,3,CDC Light Trap,FC-073
8/5/2026,Fort Collins,118 S Grant ,NW,Culex pipiens,6,CDC Light Trap,FC-073
8/5/2026,Fort Collins,Red Fox Meadows,NW,Aedes vexans,1040,CDC Light Trap,FC-063
8/5/2026,Fort Collins,Red Fox Meadows,NW,Aedes increpitus,60,CDC Light Trap,FC-063
8/5/2026,Fort Collins,Red Fox Meadows,NW,Culex tarsalis,6,CDC Light Trap,FC-063
8/5/2026,Fort Collins,Red Fox Meadows,NW,Culex pipiens,1,CDC Light Trap,FC-063
8/5/2026,Fort Collins,Red Fox Meadows,NW,Anopheles freeborni,8,CDC Light Trap,FC-063
8/5/2026,Fort Collins,Golden Current,NW,Aedes vexans,52,CDC Light Trap,FC-011
8/5/2026,Fort Collins,808 Ponderosa,NW,Culex pipiens,8,CDC Light Trap,FC-060
8/6/2026,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,13,CDC Light Trap,FC-062
8/6/2026,Fort Collins,Water's Edge at Blue Mesa,SW,Aedes dorsalis,3,CDC Light Trap,FC-062
8/6/2026,Fort Collins,Water's Edge at Blue Mesa,SW,Aedes vexans,11,CDC Light Trap,FC-062
8/6/2026,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,23,CDC Light Trap,FC-062
8/6/2026,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,47,Gravid Trap,FC-089gr
