"key","trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total","source","epiweek","week_submitted"
"FC001|Pipiens|2026|31","FC-001","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",1,,,
"FC001|Tarsalis|2026|31","FC-001","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",5,,,
"FC029|Pipiens|2026|31","FC-029","SE","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",5,,,
"FC029|Tarsalis|2026|31","FC-029","SE","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",13,,,
"FC029GR|Pipiens|2026|31","FC-029GR","SE","FC",2026-07-30,2026,31,"Pipiens","Pipiens","G","culex",26,,,
"FC029GR|Tarsalis|2026|31","FC-029GR","SE","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","G","culex",0,,,
"FC037|Pipiens|2026|31","FC-037","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"FC037|Tarsalis|2026|31","FC-037","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",18,,,
"FC054|Pipiens|2026|31","FC-054","SE","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",3,,,
"FC054|Tarsalis|2026|31","FC-054","SE","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",8,,,
"FC057|Pipiens|2026|31","FC-057","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",1,,,
"FC057|Tarsalis|2026|31","FC-057","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",1,,,
"FC062|Pipiens|2026|31","FC-062","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",3,,,
"FC062|Tarsalis|2026|31","FC-062","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",4,,,
"FC068|Pipiens|2026|31","FC-068","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"FC068|Tarsalis|2026|31","FC-068","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",7,,,
"FC071|Pipiens|2026|31","FC-071","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","other spp",0,,,
"FC071|Tarsalis|2026|31","FC-071","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","other spp",0,,,
"FC089GR|Pipiens|2026|31","FC-089GR","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","G","culex",110,,,
"FC089GR|Tarsalis|2026|31","FC-089GR","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","G","culex",0,,,
"FC093|Pipiens|2026|31","FC-093","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",3,,,
"FC093|Tarsalis|2026|31","FC-093","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",1,,,
"FC011|Pipiens|2026|31","FC-011","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",1,,,
"FC011|Tarsalis|2026|31","FC-011","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",0,,,
"FC015|Pipiens|2026|31","FC-015","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"FC015|Tarsalis|2026|31","FC-015","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",4,,,
"FC041|Pipiens|2026|31","FC-041","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",1,,,
"FC041|Tarsalis|2026|31","FC-041","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",8,,,
"FC049|Pipiens|2026|31","FC-049","SW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",2,,,
"FC049|Tarsalis|2026|31","FC-049","SW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",0,,,
"FC052|Pipiens|2026|31","FC-052","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",3,,,
"FC052|Tarsalis|2026|31","FC-052","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",3,,,
"FC058|Pipiens|2026|31","FC-058","SW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"FC058|Tarsalis|2026|31","FC-058","SW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",1,,,
"FC060|Pipiens|2026|31","FC-060","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",1,,,
"FC060|Tarsalis|2026|31","FC-060","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",0,,,
"FC061|Pipiens|2026|31","FC-061","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",4,,,
"FC061|Tarsalis|2026|31","FC-061","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",4,,,
"FC063|Pipiens|2026|31","FC-063","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",3,,,
"FC063|Tarsalis|2026|31","FC-063","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",1,,,
"FC063GR|Pipiens|2026|31","FC-063GR","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","G","culex",47,,,
"FC063GR|Tarsalis|2026|31","FC-063GR","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","G","culex",1,,,
"FC073|Pipiens|2026|31","FC-073","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",1,,,
"FC073|Tarsalis|2026|31","FC-073","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",1,,,
"FC090GR|Pipiens|2026|31","FC-090GR","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","G","culex",31,,,
"FC090GR|Tarsalis|2026|31","FC-090GR","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","G","culex",0,,,
"LC001|Pipiens|2026|31","LC-001","BE","BE",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",3,,,
"LC001|Tarsalis|2026|31","LC-001","BE","BE",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",11,,,
"LC049|Pipiens|2026|31","LC-049","BE","BE",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",8,,,
"LC049|Tarsalis|2026|31","LC-049","BE","BE",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",40,,,
"LC053|Pipiens|2026|31","LC-053","BE","BE",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"LC053|Tarsalis|2026|31","LC-053","BE","BE",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",3,,,
"LC054|Pipiens|2026|31","LC-054","BE","BE",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",1,,,
"LC054|Tarsalis|2026|31","LC-054","BE","BE",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",11,,,
"LC058|Pipiens|2026|31","LC-058","BE","BE",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"LC058|Tarsalis|2026|31","LC-058","BE","BE",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",4,,,
"LC059|Pipiens|2026|31","LC-059","BE","BE",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",4,,,
"LC059|Tarsalis|2026|31","LC-059","BE","BE",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",7,,,
"LC060|Pipiens|2026|31","LC-060","BE","BE",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"LC060|Tarsalis|2026|31","LC-060","BE","BE",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",4,,,
"LC061|Pipiens|2026|31","LC-061","BE","BE",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",3,,,
"LC061|Tarsalis|2026|31","LC-061","BE","BE",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",21,,,
"LC062|Pipiens|2026|31","LC-062","BE","BE",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"LC062|Tarsalis|2026|31","LC-062","BE","BE",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",2,,,
"LV020|Pipiens|2026|31","LV-020","LV","LV",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",2,,,
"LV020|Tarsalis|2026|31","LV-020","LV","LV",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",87,,,
"WC055|Pipiens|2026|31","WC-055","BE","BE",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"WC055|Tarsalis|2026|31","WC-055","BE","BE",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",4,,,
"FC004|Pipiens|2026|31","FC-004","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",5,,,
"FC004|Tarsalis|2026|31","FC-004","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",24,,,
"FC023|Pipiens|2026|31","FC-023","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",3,,,
"FC023|Tarsalis|2026|31","FC-023","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",6,,,
"FC027|Pipiens|2026|31","FC-027","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",11,,,
"FC027|Tarsalis|2026|31","FC-027","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",12,,,
"FC031|Pipiens|2026|31","FC-031","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",10,,,
"FC031|Tarsalis|2026|31","FC-031","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",50,,,
"FC039|Pipiens|2026|31","FC-039","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"FC039|Tarsalis|2026|31","FC-039","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",10,,,
"FC046|Pipiens|2026|31","FC-046","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"FC046|Tarsalis|2026|31","FC-046","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",13,,,
"FC047|Pipiens|2026|31","FC-047","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",2,,,
"FC047|Tarsalis|2026|31","FC-047","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",18,,,
"FC050|Pipiens|2026|31","FC-050","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",4,,,
"FC050|Tarsalis|2026|31","FC-050","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",2,,,
"FC053|Pipiens|2026|31","FC-053","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",1,,,
"FC053|Tarsalis|2026|31","FC-053","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",15,,,
"FC059|Pipiens|2026|31","FC-059","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",2,,,
"FC059|Tarsalis|2026|31","FC-059","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",3,,,
"FC064|Pipiens|2026|31","FC-064","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",2,,,
"FC064|Tarsalis|2026|31","FC-064","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",10,,,
"FC074|Pipiens|2026|31","FC-074","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",21,,,
"FC074|Tarsalis|2026|31","FC-074","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",38,,,
"FC075|Pipiens|2026|31","FC-075","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","L","malfunction",,,,
"FC075|Tarsalis|2026|31","FC-075","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","malfunction",,,,
"FC075GR|Pipiens|2026|31","FC-075GR","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","G","malfunction",,,,
"FC075GR|Tarsalis|2026|31","FC-075GR","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","G","malfunction",,,,
"FC088GR|Pipiens|2026|31","FC-088GR","SE","FC",2026-07-28,2026,31,"Pipiens","Pipiens","G","culex",67,,,
"FC088GR|Tarsalis|2026|31","FC-088GR","SE","FC",2026-07-28,2026,31,"Tarsalis","Tarsalis","G","culex",3,,,
"LV089|Pipiens|2026|31","LV-089","LV","LV",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",2,,,
"LV089|Tarsalis|2026|31","LV-089","LV","LV",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",2,,,
"LV104|Pipiens|2026|31","LV-104","LV","LV",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",5,,,
"LV104|Tarsalis|2026|31","LV-104","LV","LV",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",76,,,
"LV110|Pipiens|2026|31","LV-110","LV","LV",2026-07-28,2026,31,"Pipiens","Pipiens","L","culex",4,,,
"LV110|Tarsalis|2026|31","LV-110","LV","LV",2026-07-28,2026,31,"Tarsalis","Tarsalis","L","culex",13,,,
"BC11|Pipiens|2026|31","BC-11","BC","BC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",33,,,
"BC11|Tarsalis|2026|31","BC-11","BC","BC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",108,,,
"BC22|Pipiens|2026|31","BC-22","BC","BC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"BC22|Tarsalis|2026|31","BC-22","BC","BC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",57,,,
"BC24|Pipiens|2026|31","BC-24","BC","BC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"BC24|Tarsalis|2026|31","BC-24","BC","BC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",19,,,
"BC25|Pipiens|2026|31","BC-25","BC","BC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",32,,,
"BC25|Tarsalis|2026|31","BC-25","BC","BC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",43,,,
"BC26|Pipiens|2026|31","BC-26","BC","BC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",1,,,
"BC26|Tarsalis|2026|31","BC-26","BC","BC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",148,,,
"FC006|Pipiens|2026|31","FC-006","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",4,,,
"FC006|Tarsalis|2026|31","FC-006","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",9,,,
"FC014|Pipiens|2026|31","FC-014","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",17,,,
"FC014|Tarsalis|2026|31","FC-014","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",18,,,
"FC019|Pipiens|2026|31","FC-019","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",13,,,
"FC019|Tarsalis|2026|31","FC-019","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",31,,,
"FC034|Pipiens|2026|31","FC-034","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"FC034|Tarsalis|2026|31","FC-034","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",19,,,
"FC036|Pipiens|2026|31","FC-036","NW","FC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",2,,,
"FC036|Tarsalis|2026|31","FC-036","NW","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",31,,,
"FC038|Pipiens|2026|31","FC-038","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",2,,,
"FC038|Tarsalis|2026|31","FC-038","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",36,,,
"FC040|Pipiens|2026|31","FC-040","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",17,,,
"FC040|Tarsalis|2026|31","FC-040","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",15,,,
"FC040GR|Pipiens|2026|31","FC-040GR","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","G","culex",149,,,
"FC040GR|Tarsalis|2026|31","FC-040GR","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","G","culex",0,,,
"FC066|Pipiens|2026|31","FC-066","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",3,,,
"FC066|Tarsalis|2026|31","FC-066","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",8,,,
"FC066GR|Pipiens|2026|31","FC-066GR","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","G","culex",203,,,
"FC066GR|Tarsalis|2026|31","FC-066GR","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","G","culex",1,,,
"FC067|Pipiens|2026|31","FC-067","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"FC067|Tarsalis|2026|31","FC-067","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",5,,,
"FC069|Pipiens|2026|31","FC-069","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","L","malfunction",,,,
"FC069|Tarsalis|2026|31","FC-069","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","malfunction",,,,
"FC072|Pipiens|2026|31","FC-072","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",1,,,
"FC072|Tarsalis|2026|31","FC-072","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",9,,,
"FC091GR|Pipiens|2026|31","FC-091GR","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","G","culex",187,,,
"FC091GR|Tarsalis|2026|31","FC-091GR","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","G","culex",0,,,
"FC092GR|Pipiens|2026|31","FC-092GR","NE","FC",2026-07-27,2026,31,"Pipiens","Pipiens","G","culex",45,,,
"FC092GR|Tarsalis|2026|31","FC-092GR","NE","FC",2026-07-27,2026,31,"Tarsalis","Tarsalis","G","culex",0,,,
"LV069|Pipiens|2026|31","LV-069","LV","LV",2026-07-27,2026,31,"Pipiens","Pipiens","L","culex",0,,,
"LV069|Tarsalis|2026|31","LV-069","LV","LV",2026-07-27,2026,31,"Tarsalis","Tarsalis","L","culex",1,,,
