trap_id,zone,zone2,trap_date,year,week,spp,method,trap_status,total,key,source,epiweek,week_submitted
FC-001,SW,FC,2026-06-04,2026,23,Pipiens,L,other spp,0,,,,
FC-001,SW,FC,2026-06-04,2026,23,Tarsalis,L,other spp,0,,,,
FC-029,SE,FC,2026-06-04,2026,23,Pipiens,L,other spp,0,,,,
FC-029,SE,FC,2026-06-04,2026,23,Tarsalis,L,other spp,0,,,,
FC-029GR,SE,FC,2026-06-04,2026,23,Pipiens,G,no mosquitoes,0,,,,
FC-029GR,SE,FC,2026-06-04,2026,23,Tarsalis,G,no mosquitoes,0,,,,
FC-037,SW,FC,2026-06-04,2026,23,Pipiens,L,culex,2,,,,
FC-037,SW,FC,2026-06-04,2026,23,Tarsalis,L,culex,4,,,,
FC-054,SE,FC,2026-06-04,2026,23,Pipiens,L,culex,0,,,,
FC-054,SE,FC,2026-06-04,2026,23,Tarsalis,L,culex,1,,,,
FC-057,SW,FC,2026-06-04,2026,23,Pipiens,L,other spp,0,,,,
FC-057,SW,FC,2026-06-04,2026,23,Tarsalis,L,other spp,0,,,,
FC-062,SW,FC,2026-06-04,2026,23,Pipiens,L,culex,1,,,,
FC-062,SW,FC,2026-06-04,2026,23,Tarsalis,L,culex,0,,,,
FC-068,SW,FC,2026-06-04,2026,23,Pipiens,L,other spp,0,,,,
FC-068,SW,FC,2026-06-04,2026,23,Tarsalis,L,other spp,0,,,,
FC-071,SW,FC,2026-06-04,2026,23,Pipiens,L,culex,1,,,,
FC-071,SW,FC,2026-06-04,2026,23,Tarsalis,L,culex,0,,,,
FC-089GR,SW,FC,2026-06-04,2026,23,Pipiens,G,culex,2,,,,
FC-089GR,SW,FC,2026-06-04,2026,23,Tarsalis,G,culex,0,,,,
FC-093,SW,FC,2026-06-04,2026,23,Pipiens,L,other spp,0,,,,
FC-093,SW,FC,2026-06-04,2026,23,Tarsalis,L,other spp,0,,,,
FC-011,NW,FC,2026-06-03,2026,23,Pipiens,L,other spp,0,,,,
FC-011,NW,FC,2026-06-03,2026,23,Tarsalis,L,other spp,0,,,,
FC-015,NW,FC,2026-06-03,2026,23,Pipiens,L,other spp,0,,,,
FC-015,NW,FC,2026-06-03,2026,23,Tarsalis,L,other spp,0,,,,
FC-041,NW,FC,2026-06-03,2026,23,Pipiens,L,culex,1,,,,
FC-041,NW,FC,2026-06-03,2026,23,Tarsalis,L,culex,4,,,,
FC-049,SW,FC,2026-06-03,2026,23,Pipiens,L,other spp,0,,,,
FC-049,SW,FC,2026-06-03,2026,23,Tarsalis,L,other spp,0,,,,
FC-052,NW,FC,2026-06-03,2026,23,Pipiens,L,other spp,0,,,,
FC-052,NW,FC,2026-06-03,2026,23,Tarsalis,L,other spp,0,,,,
FC-058,SW,FC,2026-06-03,2026,23,Pipiens,L,other spp,0,,,,
FC-058,SW,FC,2026-06-03,2026,23,Tarsalis,L,other spp,0,,,,
FC-060,NW,FC,2026-06-03,2026,23,Pipiens,L,culex,1,,,,
FC-060,NW,FC,2026-06-03,2026,23,Tarsalis,L,culex,1,,,,
FC-061,NW,FC,2026-06-03,2026,23,Pipiens,L,culex,1,,,,
FC-061,NW,FC,2026-06-03,2026,23,Tarsalis,L,culex,0,,,,
