"year","zone","trap_L"
2003,"NE",10
2004,"NE",10
2005,"NE",10
2006,"NE",10
2007,"NE",10
2008,"NE",10
2009,"NE",10
2010,"NE",10
2011,"NE",10
2012,"NE",10
2013,"NE",10
2014,"NE",10
2015,"NE",10
2016,"NE",10
2017,"NE",10
2018,"NE",10
2019,"NE",10
2020,"NE",10
2021,"NE",10
2022,"NE",10
2023,"NE",10
2024,"NE",10
2003,"NW",9
2004,"NW",9
2005,"NW",9
2006,"NW",9
2007,"NW",9
2008,"NW",9
2009,"NW",9
2010,"NW",9
2011,"NW",9
2012,"NW",9
2013,"NW",9
2014,"NW",9
2015,"NW",9
2016,"NW",9
2017,"NW",9
2018,"NW",9
2019,"NW",9
2020,"NW",9
2021,"NW",9
2022,"NW",9
2023,"NW",9
2024,"NW",9
2003,"SE",15
2004,"SE",15
2005,"SE",15
2006,"SE",15
2007,"SE",15
2008,"SE",15
2009,"SE",15
2010,"SE",15
2011,"SE",15
2012,"SE",15
2013,"SE",15
2014,"SE",15
2015,"SE",15
2016,"SE",15
2017,"SE",15
2018,"SE",15
2019,"SE",15
2020,"SE",15
2021,"SE",15
2022,"SE",15
2023,"SE",15
2024,"SE",15
2003,"SW",9
2004,"SW",9
2005,"SW",9
2006,"SW",9
2007,"SW",9
2008,"SW",9
2009,"SW",9
2010,"SW",9
2011,"SW",9
2012,"SW",9
2013,"SW",9
2014,"SW",9
2015,"SW",9
2016,"SW",9
2017,"SW",9
2018,"SW",9
2019,"SW",9
2020,"SW",9
2021,"SW",9
2022,"SW",9
2023,"SW",9
2024,"SW",9
2003,"FC",43
2004,"FC",43
2005,"FC",43
2006,"FC",43
2007,"FC",43
2008,"FC",43
2009,"FC",43
2010,"FC",43
2011,"FC",43
2012,"FC",43
2013,"FC",43
2014,"FC",43
2015,"FC",43
2016,"FC",43
2017,"FC",43
2018,"FC",43
2019,"FC",43
2020,"FC",43
2021,"FC",43
2022,"FC",43
2023,"FC",43
2024,"FC",43
2003,"LV",6
2004,"LV",6
2005,"LV",6
2006,"LV",6
2007,"LV",6
2008,"LV",6
2009,"LV",6
2010,"LV",6
2011,"LV",6
2012,"LV",6
2013,"LV",6
2014,"LV",6
2015,"LV",6
2016,"LV",6
2017,"LV",6
2018,"LV",6
2019,"LV",6
2020,"LV",6
2021,"LV",6
2022,"LV",6
2023,"LV",6
2024,"LV",6
2003,"BE",0
2004,"BE",0
2005,"BE",0
2006,"BE",0
2007,"BE",0
2008,"BE",0
2009,"BE",0
2010,"BE",0
2011,"BE",0
2012,"BE",0
2013,"BE",0
2014,"BE",0
2015,"BE",0
2016,"BE",0
2017,"BE",4
2018,"BE",4
2019,"BE",5
2020,"BE",5
2021,"BE",5
2022,"BE",5
2023,"BE",5
2024,"BE",10
