date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/9/2025,Fort Collins,Prospect Ponds Gravid,NE,Anopheles freeborni,1,Gravid Trap,FC-066gr
6/9/2025,Fort Collins,Prospect Ponds Gravid,NE,Aedes vexans,1,Gravid Trap,FC-066gr
6/9/2025,Fort Collins,Prospect Ponds Gravid,NE,Aedes increpitus,3,Gravid Trap,FC-066gr
6/9/2025,Fort Collins,Prospect Ponds,NE,Aedes dorsalis,4,CDC Light Trap,FC-066
6/9/2025,Fort Collins,Prospect Ponds,NE,Culex tarsalis,1,CDC Light Trap,FC-066
6/9/2025,Fort Collins,422 Lake Dr,NE,Culex pipiens,1,CDC Light Trap,FC-072
6/9/2025,Fort Collins,Hemlock,NW,Aedes increpitus,10,CDC Light Trap,FC-036 
6/9/2025,Fort Collins,Prospect Ponds,NE,Anopheles freeborni,15,CDC Light Trap,FC-066
6/9/2025,Fort Collins,Poudre River Trail,NE,Aedes vexans,6,CDC Light Trap,FC-067
6/9/2025,Fort Collins,Poudre River Trail,NE,Aedes increpitus,6,CDC Light Trap,FC-067
6/9/2025,Fort Collins,Poudre River Trail,NE,Culex tarsalis,5,CDC Light Trap,FC-067
6/9/2025,Fort Collins,Linden Lake Rd,NE,Aedes vexans,3,CDC Light Trap,FC-069
6/9/2025,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,1,CDC Light Trap,FC-069
6/9/2025,Fort Collins,Prospect Ponds,NE,Aedes vexans,8,CDC Light Trap,FC-066
6/9/2025,Fort Collins,Edora Park,NE,Aedes vexans,2,CDC Light Trap,FC-019
6/9/2025,Fort Collins,Edora Park,NE,Aedes increpitus,4,CDC Light Trap,FC-019
6/9/2025,Fort Collins,Edora Park,NE,Culex pipiens,1,CDC Light Trap,FC-019
6/9/2025,Fort Collins,PVH Gravid,NE,Culex pipiens,1,Gravid Trap,FC-091gr
6/9/2025,Fort Collins,Hemlock,NW,Aedes vexans,4,CDC Light Trap,FC-036 
6/9/2025,Fort Collins,Redwood,NE,Culex tarsalis,2,CDC Light Trap,FC-040
6/9/2025,Fort Collins,Redwood,NE,Aedes vexans,10,CDC Light Trap,FC-040
6/9/2025,Fort Collins,Hemlock,NW,Aedes dorsalis,1,CDC Light Trap,FC-036 
6/9/2025,Fort Collins,Prospect Ponds,NE,Aedes increpitus,28,CDC Light Trap,FC-066
6/9/2025,Fort Collins,Redwood Gravid,NE,No Mosquitoes,0,Gravid Trap,FC-040gr
6/9/2025,Fort Collins,N. Linden,NE,Aedes vexans,4,CDC Light Trap,FC-006
6/9/2025,Fort Collins,N. Linden,NE,Aedes increpitus,5,CDC Light Trap,FC-006
6/9/2025,Fort Collins,Udall Natural Gravid,NE,No Mosquitoes,0,Gravid Trap,FC-092gr
6/9/2025,Fort Collins,Lochside Lane,NE,Culex tarsalis,1,CDC Light Trap,FC-038
6/9/2025,Fort Collins,Lochside Lane,NE,Culex pipiens,1,CDC Light Trap,FC-038
6/9/2025,Fort Collins,Lochside Lane,NE,Aedes dorsalis,3,CDC Light Trap,FC-038
6/9/2025,Fort Collins,Lochside Lane,NE,Aedes increpitus,2,CDC Light Trap,FC-038
6/9/2025,Fort Collins,Lochside Lane,NE,Aedes melanimon,8,CDC Light Trap,FC-038
6/9/2025,Fort Collins,Country Club,NE,Anopheles freeborni,1,CDC Light Trap,FC-034
6/9/2025,Fort Collins,Country Club,NE,Aedes vexans,14,CDC Light Trap,FC-034
6/9/2025,Fort Collins,Country Club,NE,Culex tarsalis,4,CDC Light Trap,FC-034
6/9/2025,Fort Collins,FC Visitor Center,NE,Aedes vexans,1,CDC Light Trap,FC-014
6/9/2025,Fort Collins,FC Visitor Center,NE,Aedes increpitus,17,CDC Light Trap,FC-014
6/9/2025,Fort Collins,FC Visitor Center,NE,Aedes dorsalis,1,CDC Light Trap,FC-014
6/9/2025,Fort Collins,FC Visitor Center,NE,Culex tarsalis,10,CDC Light Trap,FC-014
6/10/2025,Fort Collins,Fossil Creek South,SE,Aedes nigromaculis,1,CDC Light Trap,FC-039
6/10/2025,Fort Collins,Fossil Creek South,SE,Aedes melanimon,5,CDC Light Trap,FC-039
6/10/2025,Fort Collins,Fossil Creek South,SE,Culiseta inornata,6,CDC Light Trap,FC-039
6/10/2025,Fort Collins,Fossil Creek South,SE,Aedes dorsalis,61,CDC Light Trap,FC-039
6/10/2025,Fort Collins,Fossil Creek South,SE,Aedes vexans,97,CDC Light Trap,FC-039
6/10/2025,Fort Collins,Willow Springs,SE,Aedes melanimon,3,CDC Light Trap,FC-031
6/10/2025,Fort Collins,Egret and Rookery,SE,Aedes vexans,15,CDC Light Trap,FC-053
6/10/2025,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,3,CDC Light Trap,FC-047
6/10/2025,Fort Collins,Keeneland And Twin Oak,SE,Aedes vexans,9,CDC Light Trap,FC-047
6/10/2025,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,3,CDC Light Trap,FC-047
6/10/2025,Fort Collins,Keeneland And Twin Oak,SE,Aedes dorsalis,1,CDC Light Trap,FC-047
6/10/2025,Fort Collins,Egret and Rookery,SE,Aedes melanimon,1,CDC Light Trap,FC-053
6/10/2025,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,3,CDC Light Trap,FC-050
6/10/2025,Fort Collins,Golden Meadows Ditch,SE,Aedes vexans,25,CDC Light Trap,FC-050
6/10/2025,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,3,CDC Light Trap,FC-050
6/10/2025,Fort Collins,Boltz,SE,Aedes dorsalis,4,CDC Light Trap,FC-023
6/10/2025,Fort Collins,Boltz,SE,Culex tarsalis,4,CDC Light Trap,FC-023
6/10/2025,Fort Collins,Boltz,SE,Culex pipiens,1,CDC Light Trap,FC-023
6/10/2025,Fort Collins,Boltz,SE,Aedes vexans,11,CDC Light Trap,FC-023
6/10/2025,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,13,Gravid Trap,FC-088gr
6/10/2025,Fort Collins,Egret and Rookery,SE,Culex tarsalis,2,CDC Light Trap,FC-053
6/10/2025,Fort Collins,Big Horn,SE,Aedes vexans,4,CDC Light Trap,FC-004
6/10/2025,Fort Collins,3001 San Luis,SE,Culex pipiens,12,CDC Light Trap,FC-027
