"csu_id","trap_id","zone","zone2","trap_date","year","week","spp","method","trap_status","total","test_code","copies","cq","seq","notes"
"CSU23640","FC-001","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",5,0,0,55.55,0,
"CSU23641","FC-001","SW","FC",2025-07-03,2025,27,"Pipiens","L","culex",2,0,0,55.55,0,
"CSU23642","FC-054","SE","FC",2025-07-03,2025,27,"Tarsalis","L","culex",19,0,0,55.55,0,
"CSU23643","FC-068","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",8,0,0,55.55,0,
"CSU23644","FC-029","SE","FC",2025-07-03,2025,27,"Tarsalis","L","culex",39,0,0,55.55,0,
"CSU23645","FC-029","SE","FC",2025-07-03,2025,27,"Pipiens","L","culex",5,0,0,55.55,0,
"CSU23646","FC-029GR","SE","FC",2025-07-03,2025,27,"Pipiens","G","culex",50,0,0,55.55,0,
"CSU23647","FC-029GR","SE","FC",2025-07-03,2025,27,"Pipiens","G","culex",50,0,0,55.55,0,
"CSU23648","FC-029GR","SE","FC",2025-07-03,2025,27,"Pipiens","G","culex",33,0,0,55.55,0,
"CSU23649","FC-062","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",21,0,0,55.55,0,
"CSU23650","FC-062","SW","FC",2025-07-03,2025,27,"Pipiens","L","culex",2,0,0,55.55,0,
"CSU23651","FC-089GR","SW","FC",2025-07-03,2025,27,"Tarsalis","G","culex",1,0,0,55.55,0,
"CSU23652","FC-089GR","SW","FC",2025-07-03,2025,27,"Pipiens","G","culex",27,0,0,55.55,0,
"CSU23653","FC-071","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",12,0,0,55.55,0,
"CSU23654","FC-093","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",42,0,0,55.55,0,
"CSU23655","FC-093","SW","FC",2025-07-03,2025,27,"Pipiens","L","culex",3,0,0,55.55,0,
"CSU23656","FC-057","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",19,0,0,55.55,0,
"CSU23657","FC-037","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23658","FC-037","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23659","FC-037","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23660","FC-037","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23661","FC-037","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23662","FC-037","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23663","FC-037","SW","FC",2025-07-03,2025,27,"Tarsalis","L","culex",20,0,0,55.55,0,
"CSU23664","FC-037","SW","FC",2025-07-03,2025,27,"Pipiens","L","culex",13,0,0,55.55,0,
"CSU23585","LC-059","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",38,0,0,55.55,0,
"CSU23586","LC-059","BE","BE",2025-07-02,2025,27,"Pipiens","L","culex",1,0,0,55.55,0,
"CSU23587","LC-060","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",38,0,0,55.55,0,
"CSU23588","LC-060","BE","BE",2025-07-02,2025,27,"Pipiens","L","culex",1,0,0,55.55,0,
"CSU23589","LC-054","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23590","LC-054","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23591","LC-054","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",8,0,0,55.55,0,
"CSU23592","LC-054","BE","BE",2025-07-02,2025,27,"Pipiens","L","culex",3,0,0,55.55,0,
"CSU23593","LC-061","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23594","LC-061","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23595","LC-061","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23596","LC-061","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",5,0,0,55.55,0,
"CSU23597","WC-055","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",28,0,0,55.55,0,
"CSU23598","LC-058","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",17,0,0,55.55,0,
"CSU23599","LC-058","BE","BE",2025-07-02,2025,27,"Pipiens","L","culex",1,0,44318172,13.13,0,"No Amp"
"CSU23600","LC-049","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",7,0,0,55.55,0,
"CSU23601","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23602","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23603","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23604","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23605","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23606","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23607","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23608","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23609","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23610","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23611","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23612","LV-020","LV","LV",2025-07-02,2025,27,"Tarsalis","L","culex",23,0,0,55.55,0,
"CSU23613","LV-020","LV","LV",2025-07-02,2025,27,"Pipiens","L","culex",15,0,0,55.55,0,
"CSU23614","FC-052","NW","FC",2025-07-02,2025,27,"Tarsalis","L","culex",8,0,0,55.55,0,
"CSU23615","FC-052","NW","FC",2025-07-02,2025,27,"Pipiens","L","culex",1,0,0,55.55,0,
"CSU23616","LC-053","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23617","LC-053","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",8,0,0,55.55,0,
"CSU23618","LC-001","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23619","LC-001","BE","BE",2025-07-02,2025,27,"Tarsalis","L","culex",24,0,0,55.55,0,
"CSU23620","LC-001","BE","BE",2025-07-02,2025,27,"Pipiens","L","culex",3,0,0,55.55,0,
"CSU23621","FC-073","NW","FC",2025-07-02,2025,27,"Tarsalis","L","culex",20,0,0,55.55,0,
"CSU23622","FC-073","NW","FC",2025-07-02,2025,27,"Pipiens","L","culex",3,0,0,55.55,0,
"CSU23623","FC-061","NW","FC",2025-07-02,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23624","FC-061","NW","FC",2025-07-02,2025,27,"Tarsalis","L","culex",23,0,0,55.55,0,
"CSU23625","FC-061","NW","FC",2025-07-02,2025,27,"Pipiens","L","culex",12,0,0,55.55,0,
"CSU23626","FC-090GR","NW","FC",2025-07-02,2025,27,"Pipiens","G","culex",28,0,0,55.55,0,
"CSU23627","FC-041","NW","FC",2025-07-02,2025,27,"Tarsalis","L","culex",13,0,0,55.55,0,
"CSU23628","FC-041","NW","FC",2025-07-02,2025,27,"Pipiens","L","culex",17,0,0,55.55,0,
"CSU23629","FC-060","NW","FC",2025-07-02,2025,27,"Tarsalis","L","culex",2,0,0,55.55,0,
"CSU23630","FC-011","NW","FC",2025-07-02,2025,27,"Tarsalis","L","culex",1,0,0,55.55,0,
"CSU23631","FC-015","NW","FC",2025-07-02,2025,27,"Tarsalis","L","culex",8,0,0,55.55,0,
"CSU23632","FC-015","NW","FC",2025-07-02,2025,27,"Pipiens","L","culex",3,0,0,55.55,0,
"CSU23633","FC-063GR","NW","FC",2025-07-02,2025,27,"Pipiens","G","culex",11,0,0,55.55,0,
"CSU23634","FC-049","SW","FC",2025-07-02,2025,27,"Tarsalis","L","culex",34,0,0,55.55,0,
"CSU23635","FC-049","SW","FC",2025-07-02,2025,27,"Pipiens","L","culex",12,0,0,55.55,0,
"CSU23636","FC-063","NW","FC",2025-07-02,2025,27,"Tarsalis","L","culex",5,0,0,55.55,0,
"CSU23637","FC-063","NW","FC",2025-07-02,2025,27,"Pipiens","L","culex",3,0,0,55.55,0,
"CSU23638","FC-058","SW","FC",2025-07-02,2025,27,"Tarsalis","L","culex",13,0,0,55.55,0,
"CSU23639","FC-058","SW","FC",2025-07-02,2025,27,"Pipiens","L","culex",10,0,0,55.55,0,
"CSU23534","LV-089","LV","LV",2025-07-01,2025,27,"Tarsalis","L","culex",41,0,0,55.55,0,
"CSU23535","LV-089","LV","LV",2025-07-01,2025,27,"Pipiens","L","culex",2,0,0,55.55,0,
"CSU23536","LV-104","LV","LV",2025-07-01,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23537","LV-104","LV","LV",2025-07-01,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
"CSU23538","LV-104","LV","LV",2025-07-01,2025,27,"Tarsalis","L","culex",9,0,0,55.55,0,
"CSU23539","LV-104","LV","LV",2025-07-01,2025,27,"Pipiens","L","culex",8,0,0,55.55,0,
"CSU23540","LV-110","LV","LV",2025-07-01,2025,27,"Tarsalis","L","culex",50,0,0,55.55,0,
