"csu_id","trap_id","zone","year","week","trap_date","method","spp","total","test_code","cq","copies","seq","notes"
"CSU24379","FC-029","SE",2025,32,2025-08-07,"L","Tarsalis",25,1,19.52,524580.19,0,
"CSU24380","FC-029","SE",2025,32,2025-08-07,"L","Pipiens",5,0,55.55,0,0,
"CSU24381","FC-029GR","SE",2025,32,2025-08-07,"G","Pipiens",50,1,23.29,38306.78,0,
"CSU24382","FC-029GR","SE",2025,32,2025-08-07,"G","Pipiens",46,0,55.55,0,0,
"CSU24383","FC-001","SW",2025,32,2025-08-07,"L","Tarsalis",13,0,55.55,0,0,
"CSU24384","FC-001","SW",2025,32,2025-08-07,"L","Pipiens",10,1,19.58,458719.59,0,
"CSU24385","FC-062","SW",2025,32,2025-08-07,"L","Tarsalis",12,0,55.55,0,0,
"CSU24386","FC-062","SW",2025,32,2025-08-07,"L","Pipiens",11,1,28,1489.45,0,
"CSU24387","FC-093","SW",2025,32,2025-08-07,"L","Tarsalis",22,1,19.73,451308.16,0,
"CSU24388","FC-093","SW",2025,32,2025-08-07,"L","Pipiens",3,0,55.55,0,0,
"CSU24389","FC-089GR","SW",2025,32,2025-08-07,"G","Pipiens",50,0,33.39,72.73,0,
"CSU24390","FC-089GR","SW",2025,32,2025-08-07,"G","Pipiens",47,1,20.98,181478.88,0,
"CSU24391","FC-071","SW",2025,32,2025-08-07,"L","Tarsalis",8,0,55.55,0,0,
"CSU24392","FC-071","SW",2025,32,2025-08-07,"L","Pipiens",2,0,55.55,0,0,
"CSU24393","FC-057","SW",2025,32,2025-08-07,"L","Tarsalis",20,0,55.55,0,0,
"CSU24394","FC-037","SW",2025,32,2025-08-07,"L","Tarsalis",50,0,55.55,0,0,
"CSU24395","FC-037","SW",2025,32,2025-08-07,"L","Tarsalis",6,0,55.55,0,0,
"CSU24396","FC-037","SW",2025,32,2025-08-07,"L","Pipiens",6,0,32.16,128.72,0,
"CSU24326","LC-062","BE",2025,32,2025-08-06,"L","Tarsalis",45,0,55.55,0,0,
"CSU24327","LV-020","LV",2025,32,2025-08-06,"L","Tarsalis",50,0,32.43,101.81,0,
"CSU24328","LV-020","LV",2025,32,2025-08-06,"L","Tarsalis",34,0,34.73,69.42,0,
"CSU24329","LV-020","LV",2025,32,2025-08-06,"L","Pipiens",1,0,55.55,0,0,
"CSU24330","LC-053","BE",2025,32,2025-08-06,"L","Tarsalis",44,0,55.55,0,0,
"CSU24331","LC-053","BE",2025,32,2025-08-06,"L","Pipiens",2,0,55.55,0,0,
"CSU24332","LC-054","BE",2025,32,2025-08-06,"L","Tarsalis",50,0,55.55,0,0,
"CSU24333","LC-054","BE",2025,32,2025-08-06,"L","Tarsalis",50,0,55.55,0,0,
"CSU24334","LC-054","BE",2025,32,2025-08-06,"L","Tarsalis",6,0,55.55,0,0,
"CSU24335","LC-054","BE",2025,32,2025-08-06,"L","Pipiens",7,0,55.55,0,0,
"CSU24336","LC-061","BE",2025,32,2025-08-06,"L","Tarsalis",50,1,27.72,1413.85,0,
"CSU24337","LC-061","BE",2025,32,2025-08-06,"L","Tarsalis",50,1,28.32,1603.33,0,
"CSU24338","LC-061","BE",2025,32,2025-08-06,"L","Tarsalis",50,1,27.37,4479211.5,0,
"CSU24339","LC-061","BE",2025,32,2025-08-06,"L","Tarsalis",16,0,55.55,0,0,
"CSU24340","LC-061","BE",2025,32,2025-08-06,"L","Pipiens",6,0,55.55,0,0,
"CSU24341","LC-058","BE",2025,32,2025-08-06,"L","Tarsalis",39,1,27.13,2135.78,0,
"CSU24342","LC-058","BE",2025,32,2025-08-06,"L","Pipiens",1,0,55.55,0,0,
"CSU24343","LC-060","BE",2025,32,2025-08-06,"L","Tarsalis",1,0,55.55,0,0,
"CSU24344","LC-001","BE",2025,32,2025-08-06,"L","Tarsalis",32,0,55.55,0,0,
"CSU24345","LC-001","BE",2025,32,2025-08-06,"L","Pipiens",3,0,55.55,0,0,
