date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
8/25/2025,Fort Collins,Linden Lake Rd,NE,Aedes vexans,4,CDC Light Trap,FC-069
8/25/2025,Fort Collins,422 Lake Dr,NE,Culex pipiens,2,CDC Light Trap,FC-072
8/25/2025,Fort Collins,422 Lake Dr,NE,Culex tarsalis,7,CDC Light Trap,FC-072
8/25/2025,Fort Collins,Hemlock,NW,Aedes dorsalis,6,CDC Light Trap,FC-036 
8/25/2025,Fort Collins,Prospect Ponds,NE,Culex pipiens,105,CDC Light Trap,FC-066
8/25/2025,Fort Collins,Prospect Ponds,NE,Aedes vexans,4,CDC Light Trap,FC-066
8/25/2025,Fort Collins,Prospect Ponds,NE,Culiseta inornata,1,CDC Light Trap,FC-066
8/25/2025,Fort Collins,Prospect Ponds,NE,Culex tarsalis,2,CDC Light Trap,FC-066
8/25/2025,Fort Collins,Poudre River Trail,NE,Culex tarsalis,4,CDC Light Trap,FC-067
8/25/2025,Fort Collins,Poudre River Trail,NE,Aedes dorsalis,2,CDC Light Trap,FC-067
8/25/2025,Fort Collins,Poudre River Trail,NE,Aedes vexans,2,CDC Light Trap,FC-067
8/25/2025,Fort Collins,Poudre River Trail,NE,Culex pipiens,17,CDC Light Trap,FC-067
8/25/2025,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,4,CDC Light Trap,FC-069
8/25/2025,Fort Collins,Prospect Ponds,NE,Aedes dorsalis,2,CDC Light Trap,FC-066
8/25/2025,Fort Collins,Linden Lake Rd,NE,Aedes dorsalis,1,CDC Light Trap,FC-069
8/25/2025,Fort Collins,Edora Park,NE,Anopheles freeborni,1,CDC Light Trap,FC-019
8/25/2025,Fort Collins,PVH Gravid,NE,Culex pipiens,3,Gravid Trap,FC-091gr
8/25/2025,Fort Collins,Hemlock,NW,Aedes vexans,6,CDC Light Trap,FC-036 
8/25/2025,Fort Collins,Redwood,NE,Aedes dorsalis,1,CDC Light Trap,FC-040
8/25/2025,Fort Collins,Redwood,NE,Culex tarsalis,5,CDC Light Trap,FC-040
