"csu_id","trap_id","year","week","zone","trap_date","county","method","spp","total","test_code","cq","copies_WNV","seq","lat","long","note"
"CSU21789","LC-001",2024,23,"BE","2024-06-05","LC","L","Pipiens",1,"0","55.55",,,"40.302587","-105.084057",
"CSU21788","LC-001",2024,23,"BE","2024-06-05","LC","L","Tarsalis",1,"0","55.55",,,"40.302587","-105.084057",
"CSU00000","LC-049",2024,23,"BE","2024-06-05","LC","L","Pipiens",0,,,,,,,
"CSU00000","LC-049",2024,23,"BE","2024-06-05","LC","L","Tarsalis",0,,,,,,,
"CSU00000","LC-053",2024,23,"BE","2024-06-05","LC","L","Pipiens",0,,,,,,,
"CSU21787","LC-053",2024,23,"BE","2024-06-05","LC","L","Tarsalis",1,"0","55.55",,,"40.320553","-105.094569",
"CSU00000","LC-054",2024,23,"BE","2024-06-05","LC","L","Pipiens",0,,,,,,,
"CSU21786","LC-054",2024,23,"BE","2024-06-05","LC","L","Tarsalis",3,"0","55.55",,,"40.343955","-105.102766",
"CSU00000","WC-055",2024,23,"BE","2024-06-05","LC","L","Pipiens",0,,,,,,,
"CSU00000","WC-055",2024,23,"BE","2024-06-05","LC","L","Tarsalis",0,,,,,,,
"CSU00000","LV-020",2024,23,"LV","2024-06-05","LC","L","Pipiens",0,,,,,,,
"CSU21785","LV-020",2024,23,"LV","2024-06-05","LC","L","Tarsalis",1,"0","55.55",,,"40.373964","-105.11349",
"CSU00000","LV-069",2024,23,"LV","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU21755","LV-069",2024,23,"LV","2024-06-03","LC","L","Tarsalis",1,"0","55.55",,,"40.428924","-105.058221",
"CSU00000","LV-089",2024,23,"LV","2024-06-04","LC","L","Pipiens",0,,,,,,,
"CSU21773","LV-089",2024,23,"LV","2024-06-04","LC","L","Tarsalis",5,"0","55.55",,,"40.400251","-105.042395",
"CSU00000","LV-095",2024,23,"LV","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU21756","LV-095",2024,23,"LV","2024-06-03","LC","L","Tarsalis",12,"0","55.55",,,"40.444118","-105.022166",
"CSU00000","LV-104",2024,23,"LV","2024-06-04","LC","L","Pipiens",0,,,,,,,
"CSU21772","LV-104",2024,23,"LV","2024-06-04","LC","L","Tarsalis",6,"0","55.55",,,"40.396854","-105.020915",
"CSU00000","LV-110",2024,23,"LV","2024-06-04","LC","L","Pipiens",0,,,,,,,
"CSU21771","LV-110",2024,23,"LV","2024-06-04","LC","L","Tarsalis",28,"0","55.55",,,"40.400764","-105.122681",
"CSU00000","FC-006",2024,23,"NE","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU00000","FC-006",2024,23,"NE","2024-06-03","LC","L","Tarsalis",0,,,,,,,
"CSU00000","FC-014",2024,23,"NE","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU00000","FC-014",2024,23,"NE","2024-06-03","LC","L","Tarsalis",0,,,,,,,
"CSU21764","FC-019",2024,23,"NE","2024-06-03","LC","L","Pipiens",2,"0","55.55",,,"40.565586","-105.05203",
"CSU21763","FC-019",2024,23,"NE","2024-06-03","LC","L","Tarsalis",2,"0","55.55",,,"40.565586","-105.05203",
"CSU00000","FC-034",2024,23,"NE","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU21760","FC-034",2024,23,"NE","2024-06-03","LC","L","Tarsalis",2,"0","55.55",,,"40.62556","-105.05009",
"CSU21759","FC-038",2024,23,"NE","2024-06-03","LC","L","Pipiens",2,"0","55.55",,,"40.59911","-105.00623",
"CSU21758","FC-038",2024,23,"NE","2024-06-03","LC","L","Tarsalis",12,"0","55.55",,,"40.59911","-105.00623",
"CSU00000","FC-040",2024,23,"NE","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU21770","FC-040",2024,23,"NE","2024-06-03","LC","L","Tarsalis",2,"0","55.55",,,"40.60326","-105.06554",
"CSU21769","FC-040GR",2024,23,"NE","2024-06-03","LC","G","Pipiens",3,"0","55.55",,,"40.60326","-105.06553",
"CSU00000","FC-040GR",2024,23,"NE","2024-06-03","LC","G","Tarsalis",0,,,,,,,
"CSU21767","FC-066",2024,23,"NE","2024-06-03","LC","L","Pipiens",1,"0","55.55",,,"40.55873","-105.02318",
"CSU21766","FC-066",2024,23,"NE","2024-06-03","LC","L","Tarsalis",3,"0","55.55",,,"40.55873","-105.02318",
"CSU00000","FC-066GR",2024,23,"NE","2024-06-03","LC","G","Pipiens",0,,,,,,,
"CSU21765","FC-066GR",2024,23,"NE","2024-06-03","LC","G","Tarsalis",1,"0","55.55",,,"40.55873","-105.02318",
"CSU00000","FC-067",2024,23,"NE","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU00000","FC-067",2024,23,"NE","2024-06-03","LC","L","Tarsalis",0,,,,,,,
"CSU00000","FC-069",2024,23,"NE","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU00000","FC-069",2024,23,"NE","2024-06-03","LC","L","Tarsalis",0,,,,,,,
"CSU00000","FC-072",2024,23,"NE","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU21757","FC-072",2024,23,"NE","2024-06-03","LC","L","Tarsalis",4,"0","55.55",,,"40.56953","-105.07117",
"CSU00000","FC-091GR",2024,23,"NE","2024-06-03","LC","G","Pipiens",0,,,,,,,
"CSU00000","FC-091GR",2024,23,"NE","2024-06-03","LC","G","Tarsalis",0,,,,,,,
"CSU21768","FC-092GR",2024,23,"NE","2024-06-03","LC","G","Pipiens",4,"0","55.55",,,"40.58407","-105.06497",
"CSU00000","FC-092GR",2024,23,"NE","2024-06-03","LC","G","Tarsalis",0,,,,,,,
"CSU00000","FC-011",2024,23,"NW","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU00000","FC-011",2024,23,"NW","2024-06-03","LC","L","Tarsalis",0,,,,,,,
"CSU00000","FC-015",2024,23,"NW","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU00000","FC-015",2024,23,"NW","2024-06-03","LC","L","Tarsalis",0,,,,,,,
"CSU21762","FC-036",2024,23,"NW","2024-06-03","LC","L","Pipiens",1,"0","55.55",,,"40.600766","-105.079837",
"CSU21761","FC-036",2024,23,"NW","2024-06-03","LC","L","Tarsalis",4,"0","55.55",,,"40.600766","-105.079837",
"CSU00000","FC-041",2024,23,"NW","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU00000","FC-041",2024,23,"NW","2024-06-03","LC","L","Tarsalis",0,,,,,,,
"CSU00000","FC-049",2024,23,"NW","2024-06-03","LC","L","Pipiens",0,,,,,,,
"CSU00000","FC-049",2024,23,"NW","2024-06-03","LC","L","Tarsalis",0,,,,,,,
"CSU21791","FC-052",2024,23,"NW","2024-06-05","LC","L","Pipiens",2,"0","55.55",,,"40.56163","-105.08703",
"CSU21790","FC-052",2024,23,"NW","2024-06-05","LC","L","Tarsalis",2,"0","55.55",,,"40.56163","-105.08703",
"CSU21793","FC-061",2024,23,"NW","2024-06-05","LC","L","Pipiens",1,"0","55.55",,,"40.5688","-105.09165",
"CSU21792","FC-061",2024,23,"NW","2024-06-05","LC","L","Tarsalis",4,"0","55.55",,,"40.5688","-105.09165",
"CSU00000","FC-063",2024,23,"NW","2024-06-05","LC","L","Pipiens",0,,,,,,,
