"zone","zone2","year","week","spp","trap_L","mosq_L","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"NW","FC",2012,23,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2012,23,"Tarsalis",NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2012,23,"All",NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2012,23,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2012,23,"Tarsalis",NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2012,23,"All",NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2012,23,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2012,23,"Tarsalis",NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2012,23,"All",NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2012,23,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2012,23,"Tarsalis",NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2012,23,"All",NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2012,23,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2012,23,"Tarsalis",NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2012,23,"All",NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2012,23,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2012,23,"Tarsalis",NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2012,23,"All",NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2012,23,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2012,23,"Tarsalis",NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2012,23,"All",NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2012,23,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2012,23,"Tarsalis",NA,NA,NA,0,0,0,NA,NA,NA
"BC","BC",2012,23,"All",NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2012,24,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2012,24,"Tarsalis",NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2012,24,"All",NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2012,24,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2012,24,"Tarsalis",NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2012,24,"All",NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2012,24,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2012,24,"Tarsalis",NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2012,24,"All",NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2012,24,"Pipiens",NA,NA,NA,0,0,0,NA,NA,NA
