"","trap_id","method","zone","zone2","start","end","active","location_desc","lat","long","trap_status"
"1","BC-22","L","BC","BC",2021,NA,1,"",40.0107,-105.2091,"datasheet_clean"
"2","FC-001","L","SW","FC",2006,NA,1,"",40.49087,-105.08257,"datasheet_clean"
"3","FC-011","L","NW","FC",2006,NA,1,"",40.56948,-105.13603,"datasheet_clean"
"4","FC-014","L","NE","FC",2006,NA,1,"",40.56359,-105.00656,"datasheet_clean"
"5","FC-015","L","NW","FC",2006,NA,1,"",40.5598,-105.12409,"datasheet_clean"
"6","FC-027","L","SE","FC",2006,NA,1,"",40.54651,-105.03359,"datasheet_clean"
"7","FC-029","L","SE","FC",2006,NA,1,"",40.51011,-105.06935,"datasheet_clean"
"8","FC-029GR","G","SE","FC",2006,NA,1,"",40.51101,-105.06937,"datasheet_clean"
"9","FC-031","L","SE","FC",2006,NA,1,"",40.50609,-105.03942,"datasheet_clean"
"10","FC-036","L","NW","FC",2006,NA,1,"",40.60077,-105.07984,"datasheet_clean"
"11","FC-039","L","SE","FC",2006,NA,1,"",40.48081,-105.03934,"datasheet_clean"
"12","FC-040","L","NE","FC",2006,NA,1,"",40.60326,-105.06554,"datasheet_clean"
"13","FC-040GR","G","NE","FC",2006,NA,1,"",40.60326,-105.06553,"datasheet_clean"
"14","FC-047","L","SE","FC",2006,NA,1,"",40.51551,-105.05292,"datasheet_clean"
"15","FC-049","L","SW","FC",2006,NA,1,"",40.57324,-105.13949,"datasheet_clean"
"16","FC-052","L","NW","FC",2006,NA,1,"",40.56163,-105.08703,"datasheet_clean"
"17","FC-053","L","SE","FC",2006,NA,1,"",40.49942,-105.01183,"datasheet_clean"
"18","FC-057","L","SW","FC",2006,NA,1,"",40.48439,-105.10524,"datasheet_clean"
"19","FC-058","L","SW","FC",2006,NA,1,"",40.54884,-105.12533,"datasheet_clean"
"20","FC-059","L","SE","FC",2006,NA,1,"",40.5426,-105.04604,"datasheet_clean"
"21","FC-063","L","NW","FC",2006,NA,1,"",40.56568,-105.10485,"datasheet_clean"
"22","FC-063GR","G","NW","FC",2006,NA,1,"",40.56568,-105.10505,"datasheet_clean"
"23","FC-064","L","SE","FC",2006,NA,1,"",40.49868,-105.0298,"datasheet_clean"
"24","FC-066GR","G","NE","FC",2006,NA,1,"",40.55873,-105.02318,"datasheet_clean"
"25","FC-068","L","SW","FC",2006,NA,1,"",40.516,-105.08547,"datasheet_clean"
"26","FC-069","L","NE","FC",2006,NA,1,"",40.61438,-105.0527,"datasheet_clean"
"27","FC-072","L","NE","FC",2006,NA,1,"",40.56953,-105.07117,"datasheet_clean"
"28","FC-075","L","SE","FC",2006,NA,1,"",40.51138,-105.01987,"datasheet_clean"
"29","FC-075GR","G","SE","FC",2006,NA,1,"",40.51138,-105.02937,"datasheet_clean"
"30","FC-090GR","G","NW","FC",2006,NA,1,"",40.58196,-105.11136,"datasheet_clean"
"31","FC-091GR","G","NE","FC",2006,NA,1,"",40.57052,-105.05457,"datasheet_clean"
"32","FC-092GR","G","NE","FC",2006,NA,1,"",40.58407,-105.06497,"datasheet_clean"
"33","FC-093","L","SW","FC",2006,NA,1,"",40.53186,-105.08825,"datasheet_clean"
"34","LC-058","L","BE","BE",2024,NA,1,"",40.30828,-105.09688,"datasheet_clean"
"35","LC-059","L","BE","BE",2024,NA,1,"",40.29312,-105.08463,"datasheet_clean"
"36","LC-060","L","BE","BE",2024,NA,1,"",40.3032,-105.06938,"datasheet_clean"
"37","LV-069","L","LV","LV",2006,NA,1,"",40.42892,-105.05822,"datasheet_clean"
"38","LV-089","L","LV","LV",2006,NA,1,"",40.40025,-105.0424,"datasheet_clean"
"39","WC-055","L","BE","BE",2017,NA,1,"",40.28918,-104.99154,"datasheet_clean"
