"","Year","CSU Pool Number (CMC Enters)","IDA Pool (CSU Enters, Leave Blank)","Week","Trap Date","County","Acct","Collection Site       (Trap ID)","Zone","L/G","Genus","Species","Sex","No. Gravid","No. Deplete","Total","Test Code (CSU Enters)","Test Result (CSU Enters)","Comments"
"1","2025","CSU-24969",NA,"24","2026-06-08","LC","LV","LV-069","LV","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"2","2025","CSU-24970",NA,"24","2026-06-08","LC","FC","FC-040","NE","L","Cx.","TAR","F",NA,"2","2",NA,NA,NA
"3","2025","CSU-24971",NA,"24","2026-06-08","LC","FC","FC-040","NE","L","Cx.","PIP","F",NA,"1","1",NA,NA,NA
"4","2025","CSU-24972",NA,"24","2026-06-08","LC","FC","FC-072","NE","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"5","2025","CSU-24973",NA,"24","2026-06-08","LC","LV","LV-095","LV","L","Cx.","TAR","F",NA,"5","5",NA,NA,NA
"6","2025","CSU-24974",NA,"24","2026-06-08","LC","FC","FC-067","NE","L","Cx.","TAR","F",NA,"5","5",NA,NA,NA
"7","2025","CSU-24975",NA,"24","2026-06-08","LC","FC","FC-067","NE","L","Cx.","PIP","F",NA,"1","1",NA,NA,NA
"8","2025","CSU-24976",NA,"24","2026-06-08","LC","FC","FC-066","NE","L","Cx.","TAR","F",NA,"10","10",NA,NA,NA
"9","2025","CSU-24977",NA,"24","2026-06-08","LC","FC","FC-066","NE","L","Cx.","PIP","F",NA,"2","2",NA,NA,NA
"10","2025","CSU-24978",NA,"24","2026-06-08","LC","FC","FC-019","NE","L","Cx.","TAR","F",NA,"13","13",NA,NA,NA
"11","2025","CSU-24979",NA,"24","2026-06-08","LC","FC","FC-019","NE","L","Cx.","PIP","F",NA,"1","1",NA,NA,NA
"12","2025","CSU-24980",NA,"24","2026-06-08","LC","FC","FC-038","NE","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"13","2025","CSU-24981",NA,"24","2026-06-08","LC","FC","FC-038","NE","L","Cx.","PIP","F",NA,"4","4",NA,NA,NA
"14","2025","CSU-24982",NA,"24","2026-06-08","LC","FC","FC-092GR","NE","G","Cx.","PIP","F","2",NA,"2",NA,NA,NA
"15","2025","CSU-24983",NA,"24","2026-06-08","LC","FC","FC-036","NW","L","Cx.","TAR","F",NA,"7","7",NA,NA,NA
"16","2025","CSU-24984",NA,"24","2026-06-08","LC","FC","FC-036","NW","L","Cx.","PIP","F",NA,"1","1",NA,NA,NA
"17","2025","CSU-24985",NA,"24","2026-06-08","LC","FC","FC-034","NE","L","Cx.","TAR","F",NA,"4","4",NA,NA,NA
"18","2025","CSU-24986",NA,"24","2026-06-08","LC","FC","FC-069","NE","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"19","2025","CSU-24987",NA,"24","2026-06-08","LC","FC","FC-014","NE","L","Cx.","TAR","F",NA,"2","2",NA,NA,NA
"20","2025","CSU-24988",NA,"24","2026-06-09","LC","LV","LV-089","LV","L","Cx.","TAR","F",NA,"2","2",NA,NA,NA
"21","2025","CSU-24989",NA,"24","2026-06-09","LC","LV","LV-089","LV","L","Cx.","PIP","F",NA,"1","1",NA,NA,NA
"22","2025","CSU-24990",NA,"24","2026-06-09","LC","FC","FC-050","SE","L","Cx.","TAR","F",NA,"2","2",NA,NA,NA
"23","2025","CSU-24991",NA,"24","2026-06-09","LC","FC","FC-050","SE","L","Cx.","PIP","F",NA,"1","1",NA,NA,NA
"24","2025","CSU-24992",NA,"24","2026-06-09","LC","LV","LV-110","LV","L","Cx.","TAR","F",NA,"8","8",NA,NA,NA
"25","2025","CSU-24993",NA,"24","2026-06-09","LC","LV","LV-110","LV","L","Cx.","PIP","F",NA,"1","1",NA,NA,NA
"26","2025","CSU-24994",NA,"24","2026-06-09","LC","LV","LV-104","LV","L","Cx.","TAR","F",NA,"14","14",NA,NA,NA
"27","2025","CSU-24995",NA,"24","2026-06-09","LC","FC","FC-004","SE","L","Cx.","TAR","F",NA,"2","2",NA,NA,NA
"28","2025","CSU-24996",NA,"24","2026-06-09","LC","FC","FC-004","SE","L","Cx.","PIP","F",NA,"2","2",NA,NA,NA
"29","2025","CSU-24997",NA,"24","2026-06-09","LC","FC","FC-027","SE","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"30","2025","CSU-24998",NA,"24","2026-06-09","LC","FC","FC-027","SE","L","Cx.","PIP","F",NA,"2","2",NA,NA,NA
"31","2025","CSU-24999",NA,"24","2026-06-09","LC","FC","FC-046","SE","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"32","2025","CSU-25000",NA,"24","2026-06-09","LC","FC","FC-046","SE","L","Cx.","PIP","F",NA,"1","1",NA,NA,NA
"33","2025","CSU-25001",NA,"24","2026-06-09","LC","FC","FC-053","SE","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"34","2025","CSU-25002",NA,"24","2026-06-09","LC","FC","FC-074","SE","L","Cx.","TAR","F",NA,"3","3",NA,NA,NA
"35","2025","CSU-25003",NA,"24","2026-06-09","LC","FC","FC-075","SE","L","Cx.","TAR","F",NA,"2","2",NA,NA,NA
"36","2025","CSU-25004",NA,"24","2026-06-09","LC","FC","FC-047","SE","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"37","2025","CSU-25005",NA,"24","2026-06-09","LC","FC","FC-047","SE","L","Cx.","PIP","F",NA,"2","2",NA,NA,NA
"38","2025","CSU-25006",NA,"24","2026-06-09","LC","FC","FC-088GR","SE","G","Cx.","PIP","F","27",NA,"27",NA,NA,NA
"39","2025","CSU-25007",NA,"24","2026-06-09","LC","FC","FC-039","SE","L","Cx.","TAR","F",NA,"4","4",NA,NA,NA
"40","2025","CSU-25008",NA,"24","2026-06-09","LC","FC","FC-075GR","SE","G","Cx.","PIP","F","3",NA,"3",NA,NA,NA
"41","2025","CSU-25009",NA,"24","2026-06-10","LC","BE","LC-049","BE","L","Cx.","TAR","F",NA,"5","5",NA,NA,NA
"42","2025","CSU-25010",NA,"24","2026-06-10","LC","FC","FC-073","NW","L","Cx.","PIP","F",NA,"1","1",NA,NA,NA
"43","2025","CSU-25011",NA,"24","2026-06-10","LC","BE","LC-054","BE","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"44","2025","CSU-25012",NA,"24","2026-06-10","LC","BE","LC-061","BE","L","Cx.","TAR","F",NA,"2","2",NA,NA,NA
"45","2025","CSU-25013",NA,"24","2026-06-10","LC","LV","LV-020","LV","L","Cx.","TAR","F",NA,"10","10",NA,NA,NA
"46","2025","CSU-25014",NA,"24","2026-06-10","LC","FC","FC-061","NW","L","Cx.","TAR","F",NA,"2","2",NA,NA,NA
"47","2025","CSU-25015",NA,"24","2026-06-10","LC","FC","FC-090GR","NW","G","Cx.","PIP","F","4",NA,"4",NA,NA,NA
"48","2025","CSU-25016",NA,"24","2026-06-10","LC","FC","FC-063GR","NW","G","Cx.","PIP","F","1",NA,"1",NA,NA,NA
"49","2025","CSU-25017",NA,"24","2026-06-10","LC","FC","FC-049","SW","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"50","2025","CSU-25018",NA,"24","2026-06-10","LC","FC","FC-049","SW","L","Cx.","PIP","F",NA,"1","1",NA,NA,NA
"51","2025","CSU-25019",NA,"24","2026-06-10","LC","FC","FC-015","NW","L","Cx.","TAR","F",NA,"2","2",NA,NA,NA
"52","2025","CSU-25020",NA,"24","2026-06-10","LC","FC","FC-058","SW","L","Cx.","TAR","F",NA,"3","3",NA,NA,NA
"53","2025","CSU-25021",NA,"24","2026-06-11","LC","FC","FC-029GR","SE","G","Cx.","PIP","F","7",NA,"7",NA,NA,NA
"54","2025","CSU-25022",NA,"24","2026-06-11","LC","FC","FC-089GR","SW","G","Cx.","PIP","F","1",NA,"1",NA,NA,NA
"55","2025","CSU-25023",NA,"24","2026-06-11","LC","FC","FC-029","SE","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"56","2025","CSU-25024",NA,"24","2026-06-11","LC","FC","FC-093","SW","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"57","2025","CSU-25025",NA,"24","2026-06-11","LC","FC","FC-093","SW","L","Cx.","PIP","F",NA,"4","4",NA,NA,NA
"58","2025","CSU-25026",NA,"24","2026-06-11","LC","FC","FC-054","SE","L","Cx.","TAR","F",NA,"1","1",NA,NA,NA
"59","2025","CSU-25027",NA,"24","2026-06-11","LC","FC","FC-037","SW","L","Cx.","TAR","F",NA,"5","5",NA,NA,NA
"60","2025","CSU-25028",NA,"24","2026-06-11","LC","FC","FC-037","SW","L","Cx.","PIP","F",NA,"3","3",NA,NA,NA
