"key","trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total","source","epiweek","week_submitted"
"FC001|Pipiens|2026|31","FC-001","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",1,NA,NA,NA
"FC001|Tarsalis|2026|31","FC-001","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",5,NA,NA,NA
"FC029|Pipiens|2026|31","FC-029","SE","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",5,NA,NA,NA
"FC029|Tarsalis|2026|31","FC-029","SE","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",13,NA,NA,NA
"FC029GR|Pipiens|2026|31","FC-029GR","SE","FC",2026-07-30,2026,31,"Pipiens","Pipiens","G","culex",26,NA,NA,NA
"FC029GR|Tarsalis|2026|31","FC-029GR","SE","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","G","culex",0,NA,NA,NA
"FC037|Pipiens|2026|31","FC-037","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",0,NA,NA,NA
"FC037|Tarsalis|2026|31","FC-037","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",18,NA,NA,NA
"FC054|Pipiens|2026|31","FC-054","SE","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",3,NA,NA,NA
"FC054|Tarsalis|2026|31","FC-054","SE","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",8,NA,NA,NA
"FC057|Pipiens|2026|31","FC-057","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",1,NA,NA,NA
"FC057|Tarsalis|2026|31","FC-057","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",1,NA,NA,NA
"FC062|Pipiens|2026|31","FC-062","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",3,NA,NA,NA
"FC062|Tarsalis|2026|31","FC-062","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",4,NA,NA,NA
"FC068|Pipiens|2026|31","FC-068","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",0,NA,NA,NA
"FC068|Tarsalis|2026|31","FC-068","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",7,NA,NA,NA
"FC071|Pipiens|2026|31","FC-071","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","other spp",0,NA,NA,NA
"FC071|Tarsalis|2026|31","FC-071","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","other spp",0,NA,NA,NA
"FC089GR|Pipiens|2026|31","FC-089GR","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","G","culex",110,NA,NA,NA
"FC089GR|Tarsalis|2026|31","FC-089GR","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","G","culex",0,NA,NA,NA
"FC093|Pipiens|2026|31","FC-093","SW","FC",2026-07-30,2026,31,"Pipiens","Pipiens","L","culex",3,NA,NA,NA
"FC093|Tarsalis|2026|31","FC-093","SW","FC",2026-07-30,2026,31,"Tarsalis","Tarsalis","L","culex",1,NA,NA,NA
"FC011|Pipiens|2026|31","FC-011","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",1,NA,NA,NA
"FC011|Tarsalis|2026|31","FC-011","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",0,NA,NA,NA
"FC015|Pipiens|2026|31","FC-015","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",0,NA,NA,NA
"FC015|Tarsalis|2026|31","FC-015","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",4,NA,NA,NA
"FC041|Pipiens|2026|31","FC-041","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",1,NA,NA,NA
"FC041|Tarsalis|2026|31","FC-041","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",8,NA,NA,NA
"FC049|Pipiens|2026|31","FC-049","SW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",2,NA,NA,NA
"FC049|Tarsalis|2026|31","FC-049","SW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",0,NA,NA,NA
"FC052|Pipiens|2026|31","FC-052","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",3,NA,NA,NA
"FC052|Tarsalis|2026|31","FC-052","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",3,NA,NA,NA
"FC058|Pipiens|2026|31","FC-058","SW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",0,NA,NA,NA
"FC058|Tarsalis|2026|31","FC-058","SW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",1,NA,NA,NA
"FC060|Pipiens|2026|31","FC-060","NW","FC",2026-07-29,2026,31,"Pipiens","Pipiens","L","culex",1,NA,NA,NA
"FC060|Tarsalis|2026|31","FC-060","NW","FC",2026-07-29,2026,31,"Tarsalis","Tarsalis","L","culex",0,NA,NA,NA
