"","trap_id","method","zone","active","start","lat","long","trap_status"
"1","LC-058","L","BE",1,2024,40.3082833,-105.09688,"datasheet"
"2","LC-062","L","BE",1,2024,40.3439276,-105.11628,"datasheet"
"3","LC-060","L","BE",1,2024,40.3031963,-105.06938,"datasheet"
"4","LC-049","L","BE",1,2017,40.312995,-105.07873,"datasheet"
"5","LC-054","L","BE",1,2017,40.343955,-105.10277,"datasheet"
"6","WC-055","L","BE",1,2017,40.2891835,-104.99154,"datasheet"
"7","LV-089","L","LV",1,2012,40.400251,-105.0424,"datasheet"
"8","LV-110","L","LV",1,2012,40.400764,-105.12268,"datasheet"
"9","FC-006","L","NE",1,2012,40.592328,-105.0663,"datasheet"
"10","FC-019","L","NE",1,2012,40.565586,-105.05203,"datasheet"
"11","FC-040GR","G","NE",1,2012,40.60326,-105.06553,"datasheet"
"12","FC-092GR","G","NE",1,2012,40.58407,-105.06497,"datasheet"
"13","FC-011","L","NW",1,2012,40.56948,-105.13603,"datasheet"
"14","FC-015","L","NW",1,2012,40.5598,-105.12409,"datasheet"
"15","FC-041","L","NW",1,2012,40.58794,-105.10486,"datasheet"
"16","FC-063GR","G","NW",1,2012,40.56568,-105.10505,"datasheet"
"17","FC-090GR","G","NW",1,2012,40.58196,-105.11136,"datasheet"
"18","FC-023","L","SE",1,2012,40.54466,-105.0641,"datasheet"
"19","FC-029","L","SE",1,2012,40.51011,-105.06935,"datasheet"
"20","FC-031","L","SE",1,2012,40.50609,-105.03942,"datasheet"
"21","FC-039","L","SE",1,2012,40.48081,-105.03934,"datasheet"
"22","FC-046","L","SE",1,2012,40.52983,-105.06484,"datasheet"
"23","FC-047","L","SE",1,2012,40.51551,-105.05292,"datasheet"
"24","FC-053","L","SE",1,2012,40.49942,-105.01183,"datasheet"
"25","FC-074","L","SE",1,2012,40.51432,-105.00249,"datasheet"
"26","FC-001","L","SW",1,2012,40.49087,-105.08257,"datasheet"
"27","FC-037","L","SW",1,2012,40.51668,-105.09808,"datasheet"
"28","FC-058","L","SW",1,2012,40.54884,-105.12533,"datasheet"
"29","FC-060","L","SW",1,2012,40.5487,-105.12019,"datasheet"
"30","FC-068","L","SW",1,2012,40.516,-105.08547,"datasheet"
"31","FC-089GR","G","SW",1,2012,40.53631,-105.10056,"datasheet"
