"csu_id","trap_id","zone","year","week","trap_date","method","spp","total","test_code","cq","copies","seq","notes"
"CSU24108","FC-068","SW",2025,30,2025-07-24,"L","Tarsalis",12,0,55.55,0,0,""
"CSU24109","FC-068","SW",2025,30,2025-07-24,"L","Pipiens",4,0,55.55,0,0,""
"CSU24110","FC-054","SE",2025,30,2025-07-24,"L","Tarsalis",13,0,55.55,0,0,""
"CSU24111","FC-029GR","SE",2025,30,2025-07-24,"G","Pipiens",49,1,27.64,1779.53,0,""
"CSU24112","FC-093","SW",2025,30,2025-07-24,"L","Tarsalis",5,0,55.55,0,0,""
"CSU24113","FC-093","SW",2025,30,2025-07-24,"L","Pipiens",1,0,55.55,0,0,""
"CSU24114","FC-062","SW",2025,30,2025-07-24,"L","Tarsalis",12,0,37.22,2.42,0,""
"CSU24115","FC-089GR","SW",2025,30,2025-07-24,"G","Pipiens",26,0,36.02,5.57,0,""
"CSU24116","FC-071","SW",2025,30,2025-07-24,"L","Tarsalis",4,0,55.55,0,0,""
"CSU24117","FC-071","SW",2025,30,2025-07-24,"L","Pipiens",3,0,55.55,0,0,""
"CSU24118","FC-001","SW",2025,30,2025-07-24,"L","Tarsalis",11,0,55.55,0,0,""
"CSU24119","FC-001","SW",2025,30,2025-07-24,"L","Pipiens",1,0,55.55,0,0,""
"CSU24120","FC-057","SW",2025,30,2025-07-24,"L","Tarsalis",4,1,21.14,156028.67,0,""
"CSU24121","FC-037","SW",2025,30,2025-07-24,"L","Tarsalis",50,0,55.55,0,0,""
"CSU24122","FC-037","SW",2025,30,2025-07-24,"L","Tarsalis",31,0,55.55,0,0,""
"CSU24123","FC-037","SW",2025,30,2025-07-24,"L","Pipiens",15,0,55.55,0,0,""
"CSU24063","LC-059","BE",2025,30,2025-07-23,"L","Tarsalis",8,0,39.64,0.17,0,""
"CSU24064","LC-059","BE",2025,30,2025-07-23,"L","Pipiens",1,0,55.55,0,0,""
"CSU24065","LC-001","BE",2025,30,2025-07-23,"L","Tarsalis",50,0,55.55,0,0,""
"CSU24066","LC-001","BE",2025,30,2025-07-23,"L","Tarsalis",18,0,55.55,0,0,""
"CSU24067","LC-001","BE",2025,30,2025-07-23,"L","Pipiens",6,1,26.35,2846.42,0,""
"CSU24068","LC-049","BE",2025,30,2025-07-23,"L","Tarsalis",50,1,26.15,3311.9,0,""
"CSU24069","LC-049","BE",2025,30,2025-07-23,"L","Tarsalis",50,0,29.63,257.34,0,""
"CSU24070","LC-049","BE",2025,30,2025-07-23,"L","Tarsalis",29,0,36.52,1.64,0,""
"CSU24071","LC-049","BE",2025,30,2025-07-23,"L","Pipiens",3,0,37.79,0.65,0,""
"CSU24072","WC-055","BE",2025,30,2025-07-23,"L","Tarsalis",50,0,55.55,0,0,""
"CSU24073","WC-055","BE",2025,30,2025-07-23,"L","Tarsalis",7,0,38.68,0.34,0,""
"CSU24074","LC-062","BE",2025,30,2025-07-23,"L","Tarsalis",38,0,39.57,0.18,0,""
"CSU24075","LC-054","BE",2025,30,2025-07-23,"L","Tarsalis",50,0,30.3,157,0,""
"CSU24076","LC-054","BE",2025,30,2025-07-23,"L","Tarsalis",46,0,55.55,0,0,""
"CSU24077","LC-053","BE",2025,30,2025-07-23,"L","Tarsalis",19,1,24.53,10849.5,0,""
