"well_position","ct_threshold","year","week","plate","copies_SLEV","copies_WNV","cq_SLEV","cq","csu_id"
"A1","34000","24","23","plate_1",0,0,32.83,31.62,"CSU-21755"
"A2","34000","24","23","plate_1",0,0,31.99,31.53,"CSU-21763"
"A3","34000","24","23","plate_1",0,0,55.55,33.31,"CSU-21771"
"A4","34000","24","23","plate_1",0,0,32.81,32.32,"CSU-21779"
"A5","34000","24","23","plate_1",0,0,31.74,32.54,"CSU-21787"
"A6","34000","24","23","plate_1",0,0,32.68,33.04,"CSU-21795"
"A7","34000","24","23","plate_1",0,0,32.54,31.85,"CSU-21803"
"A8","34000","24","23","plate_1",0,0,55.55,31.74,"RMRP-00420"
"A9","34000","24","23","plate_1",0,0,31.55,31.72,"neg pcr ctrl"
"A10","34000","24","23","plate_1",0,0,55.55,16.01,"wnv_std_1e6"
"A11","34000","24","23","plate_1",0,0,55.55,13.17,"WNV, 1E7"
"A12","34000","24","23","plate_1",0,0,11.55,27.65,"SLEV, 1E7"
"B1","34000","24","23","plate_1",0,0,31.67,31.54,"CSU-21756"
"B2","34000","24","23","plate_1",0,0,32.5,31.93,"CSU-21764"
"B3","34000","24","23","plate_1",0,0,31.48,31.98,"CSU-21772"
"B4","34000","24","23","plate_1",0,0,33.97,31.95,"CSU-21780"
"B5","34000","24","23","plate_1",0,0,32,31.76,"CSU-21788"
"B6","34000","24","23","plate_1",0,0,32.13,32.07,"CSU-21796"
"B7","34000","24","23","plate_1",0,0,31.62,31.36,"CSU-21804"
"B8","34000","24","23","plate_1",0,0,15.19,32.21,"slev_std_1e6"
"B9","34000","24","23","plate_1",0,0,33.17,32.63,"neg pcr ctrl"
"B10","34000","24","23","plate_1",0,0,55.55,15.02,"wnv_std_1e6"
"B11","34000","24","23","plate_1",0,0,55.55,15.95,"WNV, 1E6"
"B12","34000","24","23","plate_1",0,0,14.3,31.37,"SLEV, 1E6"
"C1","34000","24","23","plate_1",0,0,30.29,32.47,"CSU-21757"
"C2","34000","24","23","plate_1",0,0,32.4,32.95,"CSU-21765"
"C3","34000","24","23","plate_1",0,0,31.69,32.15,"CSU-21773"
"C4","34000","24","23","plate_1",0,0,32,32.77,"CSU-21781"
"C5","34000","24","23","plate_1",0,0,32.54,33.01,"CSU-21789"
"C6","34000","24","23","plate_1",0,0,31.5,32.95,"CSU-21797"
"C7","34000","24","23","plate_1",0,0,32,31.84,"CSU-21805"
"C8","34000","24","23","plate_1",0,0,14.86,32.6,"slev_std_1e6"
"C9","34000","24","23","plate_1",0,0,31.72,32.32,"neg pcr ctrl"
"C10","34000","24","23","plate_1",0,0,31.04,28.87,"wnv_std_1e4"
"C11","34000","24","23","plate_1",0,0,55.55,18.73,"WNV, 1E5"
"C12","34000","24","23","plate_1",0,0,15.74,33.57,"SLEV, 1E5"
"D1","34000","24","23","plate_1",0,0,55.55,33.35,"CSU-21758"
"D2","34000","24","23","plate_1",0,0,34.17,33.37,"CSU-21766"
"D3","34000","24","23","plate_1",0,0,31.08,31.61,"CSU-21774"
"D4","34000","24","23","plate_1",0,0,32.15,32.44,"CSU-21782"
"D5","34000","24","23","plate_1",0,0,31.93,32.24,"CSU-21790"
"D6","34000","24","23","plate_1",0,0,55.55,32.13,"CSU-21798"
"D7","34000","24","23","plate_1",0,0,32.35,31.93,"RMRP-00415"
"D8","34000","24","23","plate_1",0,0,27.48,31.44,"slev_std_1e4"
"D9","34000","24","23","plate_1",0,0,32.06,32.09,"neg pcr ctrl"
"D10","34000","24","23","plate_1",0,0,31.29,29.02,"wnv_std_1e4"
"D11","34000","24","23","plate_1",0,0,55.55,21.67,"WNV, 1E4"
"D12","34000","24","23","plate_1",0,0,18.22,32.76,"SLEV, 1E4"
"E1","34000","24","23","plate_1",0,0,31.46,31.13,"CSU-21759"
"E2","34000","24","23","plate_1",0,0,30.3,32.02,"CSU-21767"
"E3","34000","24","23","plate_1",0,0,32.14,31.17,"CSU-21775"
"E4","34000","24","23","plate_1",0,0,34.07,33.78,"CSU-21783"
"E5","34000","24","23","plate_1",0,0,30.14,27.96,"CSU-21791"
"E6","34000","24","23","plate_1",0,0,31.48,33.8,"CSU-21799"
"E7","34000","24","23","plate_1",0,0,31.41,31.53,"RMRP-00416"
"E8","34000","24","23","plate_1",0,0,27.88,32.07,"slev_std_1e4"
"E9","34000","24","23","plate_1",0,0,32.76,32.13,"neg pcr ctrl"
"E10","34000","24","23","plate_1",0,0,55.55,22.25,"wnv_std_1e2"
"E11","34000","24","23","plate_1",0,0,30.62,25,"WNV, 1E3"
"E12","34000","24","23","plate_1",0,0,20.76,32.56,"SLEV, 1E3"
"F1","34000","24","23","plate_1",0,0,32.22,32.27,"CSU-21760"
"F2","34000","24","23","plate_1",0,0,31.07,31.83,"CSU-21768"
"F3","34000","24","23","plate_1",0,0,31.77,33.37,"CSU-21776"
"F4","34000","24","23","plate_1",0,0,31.78,32.09,"CSU-21784"
"F5","34000","24","23","plate_1",0,0,31.89,31.57,"CSU-21792"
"F6","34000","24","23","plate_1",0,0,31.64,31.94,"CSU-21800"
"F7","34000","24","23","plate_1",0,0,32.67,32.22,"RMRP-00417"
"F8","34000","24","23","plate_1",0,0,20.56,33.43,"slev_std_1e2"
"F9","34000","24","23","plate_1",0,0,31.66,32.51,"neg pcr ctrl"
"F10","34000","24","23","plate_1",0,0,55.55,22.38,"wnv_std_1e2"
"F11","34000","24","23","plate_1",0,0,31.12,28.55,"WNV, 1E2"
"F12","34000","24","23","plate_1",0,0,23.17,31.14,"SLEV, 1E2"
"G1","34000","24","23","plate_1",0,0,31.91,31.49,"CSU-21761"
"G2","34000","24","23","plate_1",0,0,55.55,32.08,"CSU-21769"
"G3","34000","24","23","plate_1",0,0,33.47,32.29,"CSU-21777"
"G4","34000","24","23","plate_1",0,0,31.99,33.29,"CSU-21785"
"G5","34000","24","23","plate_1",0,0,33.16,32.03,"CSU-21793"
"G6","34000","24","23","plate_1",0,0,27.95,31.28,"CSU-21801"
"G7","34000","24","23","plate_1",0,0,33.27,33.15,"RMRP-00418"
"G8","34000","24","23","plate_1",0,0,21.05,31.82,"slev_std_1e2"
"G9","34000","24","23","plate_1",0,0,32.94,31.34,"neg pcr ctrl"
"G10","34000","24","23","plate_1",0,0,31.88,31.69,"neg pcr ctrl"
"G11","34000","24","23","plate_1",0,0,30.71,30.29,"WNV, 1E1"
"G12","34000","24","23","plate_1",0,0,27.25,32,"SLEV, 1E1"
"H1","34000","24","23","plate_1",0,0,32.97,32.42,"CSU-21762"
"H2","34000","24","23","plate_1",0,0,33.21,32.12,"CSU-21770"
"H3","34000","24","23","plate_1",0,0,32.45,32.69,"CSU-21778"
"H4","34000","24","23","plate_1",0,0,31.45,31.62,"CSU-21786"
"H5","34000","24","23","plate_1",0,0,55.55,31.43,"CSU-21794"
"H6","34000","24","23","plate_1",0,0,33.84,32.39,"CSU-21802"
"H7","34000","24","23","plate_1",0,0,33.01,32.94,"RMRP-00419"
"H8","34000","24","23","plate_1",0,0,31.97,31.25,"neg pcr ctrl"
"H9","34000","24","23","plate_1",0,0,31.77,31.97,"neg pcr ctrl"
"H10","34000","24","23","plate_1",0,0,55.55,31.87,"pos extract ctl"
"H11","34000","24","23","plate_1",0,0,32.39,33.08,"neg pcr ctrl"
"H12","34000","24","23","plate_1",0,0,55.55,31.87,"neg pcr ctrl"
"A1","34000","24","24","plate_1",0,0,35.19,34.97,"CSU-21806"
"A2","34000","24","24","plate_1",0,0,55.55,35.07,"CSU-21814"
"A3","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21822"
"A4","34000","24","24","plate_1",0,0,39.96,55.55,"CSU-21830"
"A5","34000","24","24","plate_1",0,0,55.55,35.36,"CSU-21838"
"A6","34000","24","24","plate_1",0,0,55.55,38.21,"CSU-21846"
"A7","34000","24","24","plate_1",0,0,55.55,36.04,"CDC-1"
"A8","34000","24","24","plate_1",0,0,36.41,35.03,"RMRP-00423"
"A11","34000","24","24","plate_1",0,0,55.55,18.48,"wnv_std_1e6"
"A12","34000","24","24","plate_1",0,0,55.55,18.31,"wnv_std_1e6"
"B1","34000","24","24","plate_1",0,0,36.7,35.05,"CSU-21807"
"B2","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21815"
"B3","34000","24","24","plate_1",0,0,55.55,36.54,"CSU-21823"
"B4","34000","24","24","plate_1",0,0,55.55,37.79,"CSU-21831"
