"well_position","ct_threshold","year","week","plate","copies_SLEV","copies_WNV","cq_SLEV","cq","csu_id"
"A1","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23169"
"A2","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23177"
"A3","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23185"
"A4","34000","2025","23","plate_1",12477.89,0,25.13,55.55,"CSU-23193"
"A5","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23201"
"A6","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23209"
"A12","34000","2025","23","plate_1",0,1e+06,55.55,18.83,"wnv_std_1e6"
"B1","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23170"
"B2","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23178"
"B3","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23186"
"B4","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23194"
"B5","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23202"
"B6","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23210"
"B12","34000","2025","23","plate_1",0,10000,55.55,25.32,"wnv_std_1e4"
"C1","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23171"
"C2","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23179"
"C3","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23187"
"C4","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23195"
"C5","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23203"
"C6","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23211"
"C12","34000","2025","23","plate_1",0,100,55.55,32.39,"wnv_std_1e2"
"D1","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23172"
"D2","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23180"
"D3","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23188"
"D4","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23196"
"D5","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23204"
"D6","34000","2025","23","plate_1",0,1.66,55.55,38.33,"RMRP00680"
"D12","34000","2025","23","plate_1",1e+06,38.55,18.78,33.7,"slev_std_1e6"
"E1","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23173"
"E2","34000","2025","23","plate_1",34.55,0,33.87,55.55,"CSU-23181"
"E3","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23189"
"E4","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23197"
"E5","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23205"
"E6","34000","2025","23","plate_1",0,0,55.55,55.55,"neg extract ctrl"
"E12","34000","2025","23","plate_1",10000,0,25.13,55.55,"slev_std_1e4"
"F1","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23174"
"F2","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23182"
"F3","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23190"
"F4","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23198"
"F5","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23206"
"F6","34000","2025","23","plate_1",1146060.12,4956820.5,18.42,16.38,"pos extract ctl"
"F12","34000","2025","23","plate_1",100,5.12,32.46,36.67,"slev_std_1e2"
"G1","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23175"
"G2","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23183"
"G3","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23191"
"G4","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23199"
"G5","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23207"
"G12","34000","2025","23","plate_1",0,0,55.55,55.55,"neg pcr ctrl"
"H1","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23176"
"H2","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23184"
"H3","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23192"
"H4","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23200"
"H5","34000","2025","23","plate_1",0,0,55.55,55.55,"CSU-23208"
