"csu_id","trap_id","year","week","trap_date","county","method","spp","total","test_code","zone"
"BOU-00261","BC-03","2024","37",2024-09-09,"BC","L","Pipiens",9,NA,"BC"
"BOU-00262","BC-04","2024","37",2024-09-09,"BC","L","Tarsalis",2,NA,"BC"
"BOU-00263","BC-04","2024","37",2024-09-09,"BC","L","Pipiens",5,NA,"BC"
"BOU-00264","BC-26","2024","37",2024-09-09,"BC","L","Tarsalis",3,NA,"BC"
"BOU-00265","BC-26","2024","37",2024-09-09,"BC","L","Pipiens",5,NA,"BC"
"CSU-23102","FC-038","2024","37",2024-09-09,"LC","L","Tarsalis",3,NA,"NE"
"CSU-23103","FC-038","2024","37",2024-09-09,"LC","L","Pipiens",2,NA,"NE"
"CSU-23104","FC-034","2024","37",2024-09-09,"LC","L","Tarsalis",2,NA,"NE"
"CSU-23105","FC-067","2024","37",2024-09-09,"LC","L","Tarsalis",6,NA,"NE"
"CSU-23106","FC-067","2024","37",2024-09-09,"LC","L","Pipiens",3,NA,"NE"
"CSU-23107","FC-069","2024","37",2024-09-09,"LC","L","Tarsalis",1,NA,"NE"
"CSU-23108","FC-069","2024","37",2024-09-09,"LC","L","Pipiens",2,NA,"NE"
"CSU-23109","FC-040","2024","37",2024-09-09,"LC","L","Tarsalis",1,NA,"NE"
"CSU-23110","FC-040","2024","37",2024-09-09,"LC","L","Pipiens",11,NA,"NE"
"CSU-23111","FC-036","2024","37",2024-09-09,"LC","L","Pipiens",8,NA,"NW"
"CSU-23112","FC-040GR","2024","37",2024-09-09,"LC","G","Pipiens",26,NA,"NE"
"CSU-23113","FC-072","2024","37",2024-09-09,"LC","L","Tarsalis",6,NA,"NE"
"CSU-23114","FC-072","2024","37",2024-09-09,"LC","L","Pipiens",3,NA,"NE"
"CSU-23115","FC-092GR","2024","37",2024-09-09,"LC","G","Pipiens",14,NA,"NE"
"CSU-23116","FC-066","2024","37",2024-09-09,"LC","L","Tarsalis",3,NA,"NE"
"CSU-23117","FC-066","2024","37",2024-09-09,"LC","L","Pipiens",50,NA,"NE"
"CSU-23118","FC-066","2024","37",2024-09-09,"LC","L","Pipiens",23,NA,"NE"
"CSU-23119","FC-091GR","2024","37",2024-09-09,"LC","G","Pipiens",3,NA,"NE"
"CSU-23120","FC-019","2024","37",2024-09-09,"LC","L","Pipiens",3,NA,"NE"
"CSU-23121","FC-066GR","2024","37",2024-09-09,"LC","G","Pipiens",3,NA,"NE"
"CSU-23122","FC-014","2024","37",2024-09-09,"LC","L","Tarsalis",3,NA,"NE"
