"csu_id","year","week","target_name","test_code","cq","copies","amp_status"
"RMRP000726",2025,28,"SLEV",0,55.55,0,NA
"RMRP000726",2025,28,"WNV",0,55.55,0,NA
"RMRP000727",2025,28,"SLEV",0,55.55,0,NA
"RMRP000727",2025,28,"WNV",0,55.55,0,NA
"RMRP000728",2025,28,"SLEV",0,55.55,0,NA
"RMRP000728",2025,28,"WNV",0,39.82,0.2,NA
"RMRP000729",2025,28,"SLEV",0,55.55,0,NA
"RMRP000729",2025,28,"WNV",0,55.55,0,NA
"RMRP000730",2025,28,"SLEV",0,55.55,0,NA
"RMRP000730",2025,28,"WNV",0,55.55,0,NA
"RMRP000731",2025,28,"SLEV",0,55.55,0,NA
"RMRP000731",2025,28,"WNV",0,55.55,0,NA
"RMRP000732",2025,28,"SLEV",0,55.55,0,NA
"RMRP000732",2025,28,"WNV",0,55.55,0,NA
"RMRP000733",2025,28,"SLEV",0,55.55,0,NA
"RMRP000733",2025,28,"WNV",1,26.65,2920,NA
"RMRP000734",2025,28,"SLEV",0,55.55,0,NA
"RMRP000734",2025,28,"WNV",0,55.55,0,NA
"RMRP000735",2025,28,"SLEV",0,55.55,0,NA
"RMRP000735",2025,28,"WNV",0,55.55,0,NA
"RMRP000736",2025,28,"SLEV",0,55.55,0,NA
"RMRP000736",2025,28,"WNV",0,37.34,1.22,NA
"RMRP000737",2025,28,"SLEV",0,55.55,0,NA
"RMRP000737",2025,28,"WNV",0,55.55,0,NA
"RMRP000738",2025,28,"SLEV",0,55.55,0,NA
"RMRP000738",2025,28,"WNV",0,55.55,0,NA
"RMRP000739",2025,28,"SLEV",0,55.55,0,NA
"RMRP000739",2025,28,"WNV",1,27.43,1654.79,NA
"RMRP000740",2025,28,"SLEV",0,55.55,0,NA
"RMRP000740",2025,28,"WNV",0,55.55,0,NA
"RMRP000741",2025,28,"SLEV",0,55.55,0,NA
"RMRP000741",2025,28,"WNV",0,55.55,0,NA
"RMRP000742",2025,28,"SLEV",0,55.55,0,NA
"RMRP000742",2025,28,"WNV",0,31.16,109.7,NA
"RMRP000743",2025,28,"SLEV",0,55.55,0,NA
"RMRP000743",2025,28,"WNV",0,55.55,0,NA
"RMRP000744",2025,28,"SLEV",0,55.55,0,NA
"RMRP000744",2025,28,"WNV",1,11.85,141509104,NA
"RMRP000745",2025,28,"SLEV",0,55.55,0,NA
"RMRP000745",2025,28,"WNV",1,24.98,9884.82,NA
"RMRP000746",2025,28,"SLEV",0,55.55,0,NA
"RMRP000746",2025,28,"WNV",1,28.43,799.92,NA
"RMRP000747",2025,29,"SLEV",0,55.55,0,NA
"RMRP000747",2025,29,"WNV",0,17.34,1088814.88,NA
"RMRP000748",2025,29,"SLEV",0,55.55,0,NA
"RMRP000748",2025,29,"WNV",0,31.82,40.19,NA
"RMRP000749",2025,28,"SLEV",0,55.55,0,NA
"RMRP000749",2025,28,"WNV",0,29.08,498.4,NA
"RMRP000750",2025,28,"SLEV",0,55.55,0,NA
"RMRP000750",2025,28,"WNV",0,29.33,416.3,NA
"RMRP000751",2025,29,"SLEV",0,55.55,0,NA
"RMRP000751",2025,29,"WNV",0,55.55,0,NA
"RMRP000752",2025,29,"SLEV",0,55.55,0,NA
"RMRP000752",2025,29,"WNV",1,25.26,4100.26,NA
"RMRP000753",2025,29,"SLEV",0,55.55,0,NA
"RMRP000753",2025,29,"WNV",0,55.55,0,NA
"RMRP000754",2025,29,"SLEV",0,55.55,0,NA
"RMRP000754",2025,29,"WNV",0,31.58,47.55,NA
"RMRP000755",2025,29,"SLEV",0,55.55,0,NA
"RMRP000755",2025,29,"WNV",1,26.25,4120.7,NA
"RMRP000756",2025,29,"SLEV",0,55.55,0,NA
"RMRP000756",2025,29,"WNV",1,27.7,1440.89,NA
"RMRP000757",2025,29,"SLEV",0,55.55,0,NA
"RMRP000757",2025,29,"WNV",0,55.55,0,NA
"RMRP000758",2025,29,"SLEV",0,55.55,0,NA
"RMRP000758",2025,29,"WNV",0,30.36,210.2,NA
"RMRP000759",2025,29,"SLEV",0,55.55,0,NA
"RMRP000759",2025,29,"WNV",0,55.55,0,NA
"RMRP000760",2025,29,"SLEV",0,55.55,0,NA
"RMRP000760",2025,29,"WNV",0,33.76,17.94,NA
"RMRP000761",2025,29,"SLEV",0,55.55,0,NA
"RMRP000761",2025,29,"WNV",0,35.37,5.61,NA
"RMRP000762",2025,29,"SLEV",0,55.55,0,NA
"RMRP000762",2025,29,"WNV",0,34.9,7.87,NA
"RMRP000763",2025,29,"SLEV",0,55.55,0,NA
"RMRP000763",2025,29,"WNV",1,26.99,2406.72,NA
"RMRP000764",2025,29,"SLEV",0,55.55,0,NA
"RMRP000764",2025,29,"WNV",0,29.99,275.85,NA
"RMRP000765",2025,29,"SLEV",0,55.55,0,NA
"RMRP000765",2025,29,"WNV",1,26.38,3761.61,NA
