"week","vi_NW","vi_hx_NW","vi_NE","vi_hx_NE","vi_SE","vi_hx_SE","vi_SW","vi_hx_SW","vi_FC","vi_hx_FC","vi_LV","vi_BE","vi_BC"
23,0,0,0,0,0,0,0,0,0,0,"0","0",""
24,0,0,0,0,0,0,0,0,0,0,"0","0",""
25,0,0,0,0,0.12,0,0,0,0.04,0,"0","0","0"
26,0.1,0,0,0,0.06,0.03,0,0,0.05,0.01,"0.17","0","0.2"
27,0,0,0.09,0,0.17,0.1,0.1,0,0.11,0.04,"0.16","0.22","0.3"
28,0.06,0.04,0.29,0.04,0.61,0.4,0.21,0.12,0.34,0.19,"0.55","0.44","0"
29,0.47,0.29,0.71,0.56,0.92,0.52,0.35,0.31,0.66,0.44,"1.03","1.01","0"
30,0.11,0.12,0.23,0.35,0.16,0.34,0.09,0.3,0.16,0.3,"0.76","0.56","0.9"
31,0.32,0.22,0.42,0.09,0.25,0.87,0.1,0.23,0.28,0.44,"0.58","0.45","0"
32,0.39,0.3,0.35,0.32,0.42,0.37,0.36,0.34,0.4,0.36,"0.36","0.58","0.66"
33,0.54,0.23,0,0.79,0.49,0.28,0.68,0.35,0.42,0.42,"0","0.6","0.29"
34,0.47,0.22,0.57,0.54,0.26,0.53,0.46,0.4,0.42,0.47,"1.13","0.76","0"
35,0,0.06,0.08,0.32,0,0.46,0.09,0.15,0.04,0.29,"0","0","0"
36,0.14,0.06,0.16,0.07,0.36,0.12,0,0.01,0.2,0.09,"","","0"
37,0.07,0.02,0.17,0.39,0.07,0.04,0.09,0,0.11,0.11,"0","0","0"
