"week","abund_NW","abund_hx_NW","abund_NE","abund_hx_NE","abund_SE","abund_hx_SE","abund_SW","abund_hx_SW","abund_FC","abund_hx_FC","abund_LV","abund_BE","abund_BC"
23,1.89,4.68,6.2,4.62,1,8.2,0.89,7.3,2.37,5.71,"2.33","3.44",""
24,1.78,7.21,2.7,9.9,8.47,9.8,2.56,5.53,4.49,8.65,"21.6","17.4",""
25,3.78,10.85,18.4,21.14,30.53,28.44,10.56,6,17.93,18.69,"99.67","7","42.4"
26,6.22,57.46,28.7,74.14,22.2,115.44,15.56,41.04,18.98,80.4,"87.17","22.7","25.5"
27,24.33,33,53.8,137.32,67.4,204.33,57.33,24.36,53.12,116.55,"183","59.11","58"
28,16.56,99.06,56.1,162.08,104.93,265.61,65,126.04,66.72,182.7,"97.5","84.6","126.8"
29,60.78,141.96,76.9,309.76,63.13,278.84,34.44,124.9,59.84,229.05,"79.33","74","145.6"
30,27.5,72.55,58,223.42,23.57,126.76,19.11,71.16,31.76,129.34,"97","55.8","53.2"
31,39.33,38.84,42,114.16,35.87,129.47,26.22,32.6,36,88.33,"40.83","43.3","10.6"
32,41.44,36.56,39.3,142.34,31.07,75.67,34.33,50.39,35.95,79.67,"63.67","78","34.2"
33,21.44,31.82,15.3,123.94,26.6,66.25,29.78,39.96,23.56,68.63,"42.5","65.2","30.4"
34,17.44,39.5,23,135.84,21.4,63.88,12.89,35.4,19.16,71.26,"42.83","57.4","18.6"
35,6.44,18.24,20.5,44.38,12.33,36.8,5.11,12.98,11.49,30.3,"13.5","10","7.8"
36,8.44,5.5,30.1,50.52,17.8,19.88,12.33,5.3,17.56,21.04,"","","5"
37,3,5.27,21.2,106.47,4.67,25.58,3.11,6.04,7.84,36.29,"0","0","27.25"
