"zone","zone2","year","week","spp","trap_L","mosq_L","abund_sd","abund","abund_lci","abund_uci","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"NW","FC",2026,37,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2026,37,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NW","FC",2026,37,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2026,37,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2026,37,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"NE","FC",2026,37,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2026,37,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2026,37,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SE","FC",2026,37,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2026,37,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2026,37,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"SW","FC",2026,37,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2026,37,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2026,37,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"FC","FC",2026,37,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2026,37,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2026,37,"Tarsalis",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"LV","LV",2026,37,"All",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"BE","BE",2026,37,"Pipiens",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
