"week","vi_NW","vi_hx_NW","vi_NE","vi_hx_NE","vi_SE","vi_hx_SE","vi_SW","vi_hx_SW","vi_FC","vi_hx_FC","vi_LV","vi_BE","vi_BC"
23,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0"
24,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0"
25,"",0,"",0,"",0.02,"",0,"",0.01,"","",""
26,"",0.02,"",0,"",0.03,"",0,"",0.01,"","",""
27,"",0,"",0.02,"",0.08,"",0.02,"",0.04,"","",""
28,"",0.04,"",0.08,"",0.34,"",0.11,"",0.17,"","",""
29,"",0.24,"",0.44,"",0.46,"",0.26,"",0.36,"","",""
30,"",0.08,"",0.22,"",0.24,"",0.23,"",0.2,"","",""
31,"",0.18,"",0.16,"",0.57,"",0.16,"",0.31,"","",""
32,"",0.3,"",0.29,"",0.33,"",0.24,"",0.31,"","",""
33,"",0.24,"",0.45,"",0.22,"",0.34,"",0.3,"","",""
34,"",0.21,"",0.48,"",0.26,"",0.32,"",0.33,"","",""
35,"",0.04,"",0.19,"",0.24,"",0.11,"",0.16,"","",""
36,"",0.07,"",0.08,"",0.16,"",0.01,"",0.11,"","",""
37,"",0.03,"",0.16,"",0.03,"",0.02,"",0.06,"","",""
