"Year","CSU Pool Number (CMC Enters)","IDA Pool (CSU Enters, Leave Blank)","Week","Trap Date","County","Account","Collection Site       (Trap ID)","Zone","Method","Genus","Spp","Sex","No. Gravid","No. Deplete","Total","Test Result (CSU Enters)","Test Code (CSU Enters)"
2026,"BOU-00401",,34,"2026-08-17","BC","BC","BC-11","BC","L","Cx.","Tarsalis","F","0","47","47","Negative",0
2026,"BOU-00402",,34,"2026-08-17","BC","BC","BC-22","BC","L","Cx.","Tarsalis","F","0","23","23","Negative",0
2026,"BOU-00403",,34,"2026-08-17","BC","BC","BC-24","BC","L","Cx.","Tarsalis","F","0","8","8","Negative",0
2026,"BOU-00404",,34,"2026-08-17","BC","BC","BC-25","BC","L","Cx.","Tarsalis","F","0","31","31","Negative",0
2026,"BOU-00405",,34,"2026-08-17","BC","BC","BC-26","BC","L","Cx.","Tarsalis","F","0","18","18","Negative",0
2026,"CSU-26016",,34,"2026-08-17","LC","LV","LV-095","LV","L","Cx.","Tarsalis","F",,"8","8","Negative",0
2026,"CSU-26017",,34,"2026-08-17","LC","LV","LV-095","LV","L","Cx.","Pipiens","F",,"1","1","Negative",0
2026,"CSU-26018",,34,"2026-08-17","LC","FC","FC-038","NE","L","Cx.","Tarsalis","F",,"5","5","Negative",0
2026,"CSU-26019",,34,"2026-08-17","LC","FC","FC-038","NE","L","Cx.","Pipiens","F",,"6","6","Negative",0
2026,"CSU-26020",,34,"2026-08-17","LC","FC","FC-036","NW","L","Cx.","Tarsalis","F",,"2","2","Negative",0
2026,"CSU-26021",,34,"2026-08-17","LC","FC","FC-036","NW","L","Cx.","Pipiens","F",,"1","1","Negative",0
2026,"CSU-26022",,34,"2026-08-17","LC","FC","FC-019","NE","L","Cx.","Tarsalis","F",,"4","4","Negative",0
2026,"CSU-26023",,34,"2026-08-17","LC","FC","FC-019","NE","L","Cx.","Pipiens","F",,"6","6","Negative",0
2026,"CSU-26024",,34,"2026-08-17","LC","FC","FC-069","NE","L","Cx.","Tarsalis","F",,"6","6","Negative",0
2026,"CSU-26025",,34,"2026-08-17","LC","FC","FC-069","NE","L","Cx.","Pipiens","F",,"12","12","Negative",0
2026,"CSU-26026",,34,"2026-08-17","LC","FC","FC-006","NE","L","Cx.","Tarsalis","F",,"1","1","Negative",0
2026,"CSU-26027",,34,"2026-08-17","LC","FC","FC-006","NE","L","Cx.","Pipiens","F",,"24","24","Negative",0
2026,"CSU-26028",,34,"2026-08-17","LC","FC","FC-014","NE","L","Cx.","Tarsalis","F",,"9","9","Negative",0
2026,"CSU-26029",,34,"2026-08-17","LC","FC","FC-014","NE","L","Cx.","Pipiens","F",,"50","50","Negative",0
