"week","pir_NW","pir_hx_NW","pir_NE","pir_hx_NE","pir_SE","pir_hx_SE","pir_SW","pir_hx_SW","pir_FC","pir_hx_FC","pir_LV","pir_BE","pir_BC"
23,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0"
24,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0"
25,"0",0,"0",0,"0",0.78,"0",0,"0",0.48,"0","0","0"
26,"0",6,"0",0,"0",0.64,"0",0,"0",0.72,"0","0","0"
27,"0",0,"0",0.34,"0",0.64,"0",0.36,"0",0.5,"0","0","0"
28,"0",0.82,"0",1.16,"0",2,"0",1.3,"0",1.54,"0","0","3.5"
29,"0",2.38,"0",3.14,"0",4.34,"0",2.7,"0",3.4,"0","0","0"
30,"0",1.62,"1.3",1.54,"0",3.9,"0",2.92,"0.8",2.62,"0","0","0"
31,"0",6.34,"0",3.44,"0",6.82,"0",6.3,"0",5.6,"5.2","0","0"
32,"0",10.46,"1.1",5.64,"0",8.5,"0",10.34,"0.6",7.84,"0","0","0"
33,"0",10.84,"1.1",8.4,"1.7",8.68,"0",12.12,"1.1",10.76,"3.9","2.8","0"
34,"0",12.74,"0",13.3,"3.6",9.16,"6.7",17.48,"2.8",11.94,"0","0","0"
35,"19.4",5.02,"1.8",8.58,"9.4",12.08,"0",15,"5.8",8.7,"0","0","0"
36,"",17.08,"",3.34,"",9.92,"",8.16,"",7.42,"","",""
37,"",6.7,"",4.34,"",3.32,"",5.22,"",4.84,"","",""
