"csu_id","year","week","target_name","test_code","cq","copies"
"RMRP00681",2025,24,"SLEV",0,55.55,0
"RMRP00681",2025,24,"WNV",0,55.55,0
"RMRP00682",2025,24,"SLEV",0,55.55,0
"RMRP00682",2025,24,"WNV",0,55.55,0
"RMRP00683",2025,24,"SLEV",0,55.55,0
"RMRP00683",2025,24,"WNV",0,55.55,0
"RMRP00684",2025,24,"SLEV",0,55.55,0
"RMRP00684",2025,24,"WNV",0,55.55,0
"RMRP00685",2025,24,"SLEV",0,55.55,0
"RMRP00685",2025,24,"WNV",0,55.55,0
"RMRP00686",2025,24,"SLEV",0,55.55,0
"RMRP00686",2025,24,"WNV",0,55.55,0
"RMRP00687",2025,24,"SLEV",0,38.05,0.84
"RMRP00687",2025,24,"WNV",0,37.1,2.89
"RMRP00688",2025,24,"SLEV",0,55.55,0
"RMRP00688",2025,24,"WNV",0,55.55,0
"RMRP00689",2025,25,"SLEV",0,55.55,0
"RMRP00689",2025,25,"WNV",0,55.55,0
"RMRP00690",2025,25,"SLEV",0,55.55,0
"RMRP00690",2025,25,"WNV",0,55.55,0
"RMRP00691",2025,25,"SLEV",0,55.55,0
"RMRP00691",2025,25,"WNV",0,55.55,0
"RMRP00692",2025,25,"SLEV",0,55.55,0
"RMRP00692",2025,25,"WNV",0,39.85,0.27
"RMRP00693",2025,25,"SLEV",0,55.55,0
"RMRP00693",2025,25,"WNV",0,55.55,0
"RMRP00694",2025,25,"SLEV",0,55.55,0
"RMRP00694",2025,25,"WNV",0,55.55,0
"RMRP00695",2025,25,"SLEV",0,55.55,0
"RMRP00695",2025,25,"WNV",0,55.55,0
"RMRP00696",2025,25,"SLEV",0,55.55,0
"RMRP00696",2025,25,"WNV",0,55.55,0
