"week","pir_NW","pir_hx_NW","pir_NE","pir_hx_NE","pir_SE","pir_hx_SE","pir_SW","pir_hx_SW","pir_FC","pir_hx_FC","pir_LV","pir_BE","pir_BC"
23,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0"
24,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0"
25,"0",0,"0",0,"3.9",0,"0",0,"2.4",0,"0","0","0"
26,"16.5",0,"0",0,"2.9",0.04,"0",0,"2.4",0.01,"1.9","0","7.9"
27,"0",0,"1.7",0,"2.5",0.09,"1.8",0,"2",0.06,"0.9","3.7","5.1"
28,"3.5",0.08,"5.1",0.29,"5.8",0.64,"3.2",0.6,"5.1",0.46,"5.6","5.2","0"
29,"7.8",0.89,"9.2",0.91,"14.6",1.11,"10.2",0.95,"11.1",1,"13","13.7","0"
30,"4",1.21,"3.9",1.1,"7",2.28,"4.8",1.22,"5",1.65,"7.8","10.1","17"
31,"8.1",2.92,"10",1.65,"7.1",5.45,"3.8",4.46,"7.8",3.82,"14.1","10.3","0"
32,"9.4",6.01,"8.9",3.21,"13.4",5.31,"10.6",9.39,"11.1",4.88,"5.6","7.4","19.4"
33,"25.1",5.29,"0",7.04,"18.3",7.01,"22.7",6.76,"17.8",6.88,"0","9.2","9.7"
34,"27.1",6.81,"24.7",6.09,"12",8.2,"35.4",8.86,"22.1",7.36,"26.4","13.2","0"
35,"0",4.72,"4",7.68,"0",14.05,"18.3",11.61,"3.4",8.33,"0","0","0"
36,"16.4",9.9,"5.4",2.6,"20",5.9,"0",7.49,"11.3",4.49,"0","0","0"
37,"",3.34,"",2.62,"",1.77,"",0,"",2.84,"","",""
