"","X","csu_id","trap_id","year","week","trap_date","county","method","genus","spp","sex","no_gravid","no_deplete","total","test_code","seq","cq"
"1",14695,"BOU00191","BC-25",2023,34,"2023-08-21","BC","L","Cx.","Tarsalis",FALSE,0,31,31,0,0,NA
"2",14696,"BOU00192","BC-11",2023,34,"2023-08-21","BC","L","Cx.","Tarsalis",FALSE,0,34,34,0,0,NA
"3",14697,"BOU00193","BC-27",2023,34,"2023-08-21","BC","L","Cx.","Tarsalis",FALSE,0,49,49,1,0,NA
"4",14698,"BOU00194","BC-22",2023,34,"2023-08-21","BC","L","Cx.","Tarsalis",FALSE,0,48,48,0,0,NA
"5",14699,"BOU00195","BC-04",2023,34,"2023-08-21","BC","L","Cx.","Tarsalis",FALSE,0,49,49,0,0,NA
"6",14700,"CSU21395","LV-069",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,28,28,0,0,55.55
"7",14701,"CSU21396","LV-069",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,3,3,0,0,55.55
"8",14702,"CSU21397","FC-064",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"9",14703,"CSU21398","FC-064",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,4,4,0,0,55.55
"10",14704,"CSU21399","FC-053",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,13,13,0,0,55.55
"11",14705,"CSU21400","LV-095",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"12",14706,"CSU21401","LV-095",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"13",14707,"CSU21402","LV-095",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"14",14708,"CSU21403","LV-095",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,50,50,0,0,55.55
"15",14709,"CSU21404","FC-075",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,4,4,0,0,55.55
"16",14710,"CSU21405","FC-075",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,8,8,1,0,32.2016448974609
"17",14711,"CSU21406","FC-075gr",2023,34,"2023-08-21","LC","G","Cx.","Pipiens",FALSE,31,0,31,1,0,25.6178932189941
"18",14712,"CSU21407","FC-074",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,4,4,0,0,55.55
"19",14713,"CSU21408","FC-088gr",2023,34,"2023-08-21","LC","G","Cx.","Tarsalis",FALSE,1,0,1,0,0,55.55
"20",14714,"CSU21409","FC-088gr",2023,34,"2023-08-21","LC","G","Cx.","Pipiens",FALSE,37,0,37,1,0,28.9648971557617
"21",14715,"CSU21410","FC-027",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,8,8,0,0,55.55
"22",14716,"CSU21411","FC-027",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,14,14,0,0,55.55
"23",14717,"CSU21412","FC-047",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,33,33,0,0,55.55
"24",14718,"CSU21413","FC-047",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,3,3,1,0,24.2209873199463
"25",14719,"CSU21414","FC-059",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,6,6,0,0,55.55
"26",14720,"CSU21415","FC-004",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"27",14721,"CSU21416","FC-004",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,19,19,0,0,55.55
"28",14722,"CSU21417","FC-004",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,8,8,0,0,55.55
"29",14723,"CSU21418","FC-031",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,50,50,1,0,19.7853660583496
"30",14724,"CSU21419","FC-031",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"31",14725,"CSU21420","FC-031",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"32",14726,"CSU21421","FC-031",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,14,14,0,0,55.55
"33",14727,"CSU21422","FC-031",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,28,28,1,0,23.3144378662109
"34",14728,"CSU21423","FC-023",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,13,13,0,0,55.55
"35",14729,"CSU21424","FC-023",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,1,1,0,0,55.55
"36",14730,"CSU21425","FC-050",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,5,5,0,0,55.55
"37",14731,"CSU21426","FC-050",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,2,2,0,0,55.55
"38",14732,"CSU21427","FC-039",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
"39",14733,"CSU21428","FC-039",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,28,28,0,0,55.55
"40",14734,"CSU21429","FC-039",2023,34,"2023-08-21","LC","L","Cx.","Pipiens",FALSE,0,15,15,0,0,55.55
"41",14735,"CSU21430","FC-046",2023,34,"2023-08-21","LC","L","Cx.","Tarsalis",FALSE,0,50,50,0,0,55.55
