"trap_id","zone","lat","long"
"BC-02","BC",39.9910086,-105.183264
"BC-03","BC",40.0528558,-105.2660644
"BC-04","BC",40.061639,-105.193958
"BC-08","BC",40.130625,-105.216736
"BC-09","BC",40.013015,-105.27145
"BC-11","BC",40.11,-105.130278
"BC-15","BC",40.013015,-105.27145
"BC-17","BC",40.101806,-105.156028
"BC-18","BC",40.013015,-105.27145
"BC-22","BC",39.959444,-105.232292
"FC-001","SW",40.49087,-105.08257
"FC-004","SE",40.53486,-105.03733
"FC-006","NE",40.592328,-105.066295
"FC-011","NW",40.56948,-105.13603
"FC-014","NE",40.56359,-105.006562
"FC-015","NW",40.5598,-105.12409
"FC-019","NE",40.565586,-105.05203
"FC-023","SE",40.54466,-105.0641
"FC-027","SE",40.54651,-105.03359
"FC-029","SE",40.51011,-105.06935
"FC-029GR","SE",40.51101,-105.06937
"FC-031","SE",40.50609,-105.03942
"FC-034","NE",40.62556,-105.05009
"FC-036","NW",40.600766,-105.079837
"FC-037","SW",40.51668,-105.09808
"FC-038","NE",40.59911,-105.00623
"FC-039","SE",40.48081,-105.03934
"FC-040","NE",40.60326,-105.06554
"FC-040GR","NE",40.60326,-105.06553
"FC-041","NW",40.58794,-105.10486
"FC-046","SE",40.52983,-105.06484
"FC-047","SE",40.51551,-105.05292
"FC-049","NW",40.57324,-105.13949
"FC-050","SE",40.52954,-105.05033
"FC-052","NW",40.56163,-105.08703
"FC-053","SE",40.49942,-105.01183
"FC-054","SE",40.49998,-105.0632
"FC-057","SW",40.48439,-105.10524
"FC-058","SW",40.54884,-105.12533
"FC-059","SE",40.5426,-105.04604
"FC-060","SW",40.5487,-105.12019
"FC-061","NW",40.5688,-105.09165
"FC-062","SW",40.54278,-105.08741
"FC-063","NW",40.56568,-105.10485
"FC-063GR","NW",40.56568,-105.10505
"FC-064","SE",40.49868,-105.0298
"FC-066","NE",40.55873,-105.02318
"FC-066GR","NE",40.55873,-105.02318
"FC-067","NE",40.57881,-105.05592
"FC-068","SW",40.516,-105.08547
"FC-069","NE",40.61438,-105.0527
"FC-071","SW",40.52733,-105.10821
"FC-072","NE",40.56953,-105.07117
"FC-073","NW",40.58605,-105.08889
"FC-074","SE",40.51432,-105.00249
"FC-075","SE",40.51138,-105.01987
"FC-075GR","SE",40.51138,-105.02937
"FC-088","SE",40.53331,-105.03053
"FC-088GR","SE",40.53331,-105.03053
"FC-089","SW",40.53631,-105.10056
"FC-089GR","SW",40.53634,105.10089
"FC-090","NW",40.58196,-105.11136
"FC-090GR","NW",40.58196,-105.11136
"FC-091","NE",40.57052,-105.05457
"FC-091GR","NE",40.57052,-105.05457
"FC-092","NE",40.58407,-105.06497
"FC-092GR","NE",40.58407,-105.06497
"FC-093","SW",40.53186,-105.08825
"LC-001","LC",40.302587,-105.084057
"LC-049","LC",40.312995,-105.078728
"LC-053","LC",40.320553,-105.094569
"LC-054","LC",40.343955,-105.102766
"LC-055","LC",40.288886,-104.99146
"LV-004","LV",40.420938,-105.057614
"LV-010GR","LV",40.436489,-105.092945
"LV-014","LV",40.413974,-105.10881
"LV-019","LV",40.388453,-105.107611
"LV-020","LV",40.373964,-105.11349
"LV-021","LV",40.366731,-105.087691
"LV-021 LV-042","LV",40.396389,-105.073908
"LV-042","LV",40.373044,-105.090608
"LV-066","LV",40.414706,-105.002541
"LV-067","LV",40.38042,-105.105772
"LV-069","LV",40.428924,-105.058221
"LV-074","LV",40.404013,-105.071
"LV-074GR","LV",40.403596,-105.071575
"LV-077","LV",40.39301,-105.063584
"LV-078","LV",40.416234,-105.045084
"LV-079GR","LV",40.416617,-105.045174
"LV-080","LV",40.430116,-105.075291
"LV-087","LV",40.367049,-105.073709
"LV-088","LV",40.415222,-105.058201
"LV-089","LV",40.400251,-105.042395
"LV-093","LV",40.412257,-105.069648
"LV-095","LV",40.444118,-105.022166
"LV-097","LV",40.412639,-105.116038
"LV-098","LV",40.424333,-105.094241
"LV-099","LV",40.421062,-105.106836
"LV-100","LV",40.404163,-105.088585
"LV-101","LV",40.396389,-105.073908
"LV-102","LV",40.434477,-105.104496
"LV-104","LV",40.396854,-105.020915
"LV-105","LV",40.436464,-105.08396
"LV-110","LV",40.400764,-105.122681
"LV-112","LV",40.387276,-105.054451
"LV-113","LV",40.389543,-105.156293
"LV-114","LV",40.37876,-105.119912
"LV-116","LV",40.438926,-105.068446
"LV-117","LV",40.412278,-104.989419
"LV-118","LV",40.40088,-105.136981
"LV-120","LV",40.363996,-105.102996
"LV-121","LV",40.42641,-105.122639
"LV-122","LV",40.445385,-105.091347
"LV-123","LV",40.396389,-105.073908
"LV-124","LV",40.38387,-105.079961
"LV-125","LV",40.400121,-105.102123
"LV-FLOAT","LV",40.396389,-105.073908
"WC-055","WC",40.28918345,-104.9915449
