"trap_id","method","zone","active","lat","long"
"BC-01","L","BC",0,,
"BC-02","L","BC",0,39.9910086,-105.183264
"BC-03","L","BC",0,40.0528558,-105.2660644
"BC-04","L","BC",0,40.061639,-105.193958
"BC-08","L","BC",0,40.130625,-105.216736
"BC-09","L","BC",0,40.013015,-105.27145
"BC-10","L","BC",0,,
"BC-11","L","BC",0,40.11,-105.130278
"BC-12","L","BC",0,,
"BC-13","L","BC",0,39.9928123458041,-105.220028825984
"BC-14","L","BC",0,39.9875,-105.2209
"BC-15","L","BC",0,40.013015,-105.27145
"BC-16","L","BC",0,,
"BC-17","L","BC",0,40.101806,-105.156028
"BC-18","L","BC",0,40.013015,-105.27145
"BC-19","L","BC",0,,
"BC-22","L","BC",0,39.959444,-105.232292
"BC-25","L","BC",0,,
"BC-26","L","BC",0,40.0391,-105.1868
"BC-27","L","BC",0,,
"BC-28","L","BC",0,40.0075,-105.216
"BE-001","L","BE",1,40.3368193503161,-105.086588978433
"BE-002","L","BE",1,40.3082833440777,-105.096877737266
"BE-003","L","BE",1,40.3439275587247,-105.116275062668
"BE-004","L","BE",1,40.2931156813208,-105.084634487766
"BE-005","L","BE",1,40.3031962632436,-105.069380814781
"BE-049","L","BE",,,
"LC-001","L","BE",1,40.302587,-105.084057
"LC-049","L","BE",1,40.312995,-105.078728
"LC-053","L","BE",1,40.320553,-105.094569
"LC-054","L","BE",1,40.343955,-105.102766
"LC-055","L","BE",0,40.288886,-104.99146
"WC-055","L","BE",1,40.28918345,-104.9915449
"LV-020","L","LV",1,40.373964,-105.11349
"LV-069","L","LV",1,40.428924,-105.058221
"LV-074","L","LV",0,40.404013,-105.071
"LV-074GR","G","LV",0,40.403596,-105.071575
"LV-078","L","LV",0,40.416234,-105.045084
"LV-079GR","G","LV",0,40.416617,-105.045174
"LV-087","L","LV",0,40.367049,-105.073709
"LV-089","L","LV",1,40.400251,-105.042395
"LV-095","L","LV",1,40.444118,-105.022166
"LV-099","L","LV",0,40.421062,-105.106836
"LV-100","L","LV",0,40.404163,-105.088585
"LV-101","L","LV",0,40.396389,-105.073908
"LV-102","L","LV",0,40.434477,-105.104496
"LV-104","L","LV",1,40.396854,-105.020915
"LV-105","L","LV",0,40.436464,-105.08396
"LV-110","L","LV",1,40.400764,-105.122681
"LV-112","L","LV",0,40.387276,-105.054451
"LV-113","L","LV",0,40.389543,-105.156293
"LV-114","L","LV",0,40.37876,-105.119912
"LV-116","L","LV",0,40.438926,-105.068446
"LV-117","L","LV",0,40.412278,-104.989419
"LV-118","L","LV",0,40.40088,-105.136981
"LV-120","L","LV",0,40.363996,-105.102996
"LV-121","L","LV",0,40.42641,-105.122639
"LV-122","L","LV",0,40.445385,-105.091347
"LV-123","L","LV",0,40.396389,-105.073908
"LV-124","L","LV",0,40.38387,-105.079961
"LV-125","L","LV",0,40.400121,-105.102123
"LV-FLOAT","L","LV",0,40.396389,-105.073908
"FC-006","L","NE",1,40.592328,-105.066295
"FC-014","L","NE",1,40.56359,-105.006562
"FC-019","L","NE",1,40.565586,-105.05203
"FC-034","L","NE",1,40.62556,-105.05009
"FC-038","L","NE",1,40.59911,-105.00623
"FC-040","L","NE",1,40.60326,-105.06554
"FC-040GR","G","NE",1,40.60326,-105.06553
"FC-066","L","NE",1,40.55873,-105.02318
"FC-066GR","G","NE",1,40.55873,-105.02318
"FC-067","L","NE",1,40.57881,-105.05592
"FC-069","L","NE",1,40.61438,-105.0527
"FC-072","L","NE",1,40.56953,-105.07117
"FC-091GR","G","NE",1,40.57052,-105.05457
"FC-092GR","G","NE",1,40.58407,-105.06497
"FC-011","L","NW",1,40.56948,-105.13603
"FC-015","L","NW",1,40.5598,-105.12409
"FC-036","L","NW",1,40.600766,-105.079837
"FC-041","L","NW",1,40.58794,-105.10486
"FC-049","L","NW",1,40.57324,-105.13949
"FC-052","L","NW",1,40.56163,-105.08703
"FC-061","L","NW",1,40.5688,-105.09165
"FC-063","L","NW",1,40.56568,-105.10485
"FC-063GR","G","NW",1,40.56568,-105.10505
"FC-073","L","NW",1,40.58605,-105.08889
"FC-090GR","G","NW",1,40.58196,-105.11136
"FC-004","L","SE",1,40.53486,-105.03733
"FC-023","L","SE",1,40.54466,-105.0641
"FC-027","L","SE",1,40.54651,-105.03359
"FC-029","L","SE",1,40.51011,-105.06935
"FC-029GR","G","SE",1,40.51101,-105.06937
"FC-031","L","SE",1,40.50609,-105.03942
"FC-039","L","SE",1,40.48081,-105.03934
"FC-046","L","SE",1,40.52983,-105.06484
"FC-047","L","SE",1,40.51551,-105.05292
"FC-050","L","SE",1,40.52954,-105.05033
"FC-053","L","SE",1,40.49942,-105.01183
"FC-054","L","SE",1,40.49998,-105.0632
"FC-059","L","SE",1,40.5426,-105.04604
"FC-064","L","SE",1,40.49868,-105.0298
"FC-074","L","SE",1,40.51432,-105.00249
"FC-075","L","SE",1,40.51138,-105.01987
"FC-075GR","G","SE",1,40.51138,-105.02937
"FC-088GR","G","SE",1,40.53331,-105.03053
"FC-001","L","SW",1,40.49087,-105.08257
"FC-037","L","SW",1,40.51668,-105.09808
"FC-057","L","SW",1,40.48439,-105.10524
"FC-058","L","SW",1,40.54884,-105.12533
"FC-060","L","SW",1,40.5487,-105.12019
"FC-062","L","SW",1,40.54278,-105.08741
"FC-068","L","SW",1,40.516,-105.08547
"FC-071","L","SW",1,40.52733,-105.10821
"FC-089GR","G","SW",1,40.53631,-105.10056
"FC-093","L","SW",1,40.53186,-105.08825
