"csu_id","trap_id","year","week","trap_date","county","method","spp","total","test_code","seq","cq","zone","lat","long"
"CSU-21755","LV-069","2024","23",2024-06-03,"LC","L","Tarsalis",1,0,0,0,"LV",NA,NA
"CSU-21756","LV-095","2024","23",2024-06-03,"LC","L","Tarsalis",12,0,0,0,"LV",NA,NA
"CSU-21757","FC-072","2024","23",2024-06-03,"LC","L","Tarsalis",4,0,0,0,"NE",NA,NA
"CSU-21758","FC-038","2024","23",2024-06-03,"LC","L","Tarsalis",12,0,0,0,"NE",NA,NA
"CSU-21759","FC-038","2024","23",2024-06-03,"LC","L","Pipiens",2,0,0,0,"NE",NA,NA
"CSU-21760","FC-034","2024","23",2024-06-03,"LC","L","Tarsalis",2,0,0,0,"NE",NA,NA
"CSU-21761","FC-036","2024","23",2024-06-03,"LC","L","Tarsalis",4,0,0,0,"NW",NA,NA
"CSU-21762","FC-036","2024","23",2024-06-03,"LC","L","Pipiens",1,0,0,0,"NW",NA,NA
"CSU-21763","FC-019","2024","23",2024-06-03,"LC","L","Tarsalis",2,0,0,0,"NE",NA,NA
"CSU-21764","FC-019","2024","23",2024-06-03,"LC","L","Pipiens",2,0,0,0,"NE",NA,NA
"CSU-21765","FC-066gr","2024","23",2024-06-03,"LC","G","Tarsalis",1,0,0,0,"NE",NA,NA
"CSU-21766","FC-066","2024","23",2024-06-03,"LC","L","Tarsalis",3,0,0,0,"NE",NA,NA
"CSU-21767","FC-066","2024","23",2024-06-03,"LC","L","Pipiens",1,0,0,0,"NE",NA,NA
"CSU-21768","FC-092gr","2024","23",2024-06-03,"LC","G","Pipiens",4,0,0,0,"NE",NA,NA
"CSU-21769","FC-040gr","2024","23",2024-06-03,"LC","G","Pipiens",3,0,0,0,"NE",NA,NA
"CSU-21770","FC-040","2024","23",2024-06-03,"LC","L","Tarsalis",2,0,0,0,"NE",NA,NA
"CSU-21771","LV-110","2024","23",2024-06-04,"LC","L","Tarsalis",28,0,0,0,"LV",NA,NA
"CSU-21772","LV-104","2024","23",2024-06-04,"LC","L","Tarsalis",6,0,0,0,"LV",NA,NA
"CSU-21773","LV-089","2024","23",2024-06-04,"LC","L","Tarsalis",5,0,0,0,"LV",NA,NA
"CSU-21774","FC-053","2024","23",2024-06-04,"LC","L","Tarsalis",1,0,0,0,"SE",NA,NA
"CSU-21775","FC-039","2024","23",2024-06-04,"LC","L","Tarsalis",2,0,0,0,"SE",NA,NA
"CSU-21776","FC-047","2024","23",2024-06-04,"LC","L","Tarsalis",3,0,0,0,"SE",NA,NA
"CSU-21777","FC-047","2024","23",2024-06-04,"LC","L","Pipiens",1,0,0,0,"SE",NA,NA
"CSU-21778","FC-046","2024","23",2024-06-04,"LC","L","Tarsalis",4,0,0,0,"SE",NA,NA
"CSU-21779","FC-023","2024","23",2024-06-04,"LC","L","Tarsalis",1,0,0,0,"SE",NA,NA
"CSU-21780","FC-074","2024","23",2024-06-04,"LC","L","Tarsalis",7,0,0,0,"SE",NA,NA
"CSU-21781","FC-004","2024","23",2024-06-04,"LC","L","Tarsalis",1,0,0,0,"SE",NA,NA
"CSU-21782","FC-027","2024","23",2024-06-04,"LC","L","Tarsalis",3,0,0,0,"SE",NA,NA
"CSU-21783","FC-088gr","2024","23",2024-06-04,"LC","G","Pipiens",7,0,0,0,"SE",NA,NA
"CSU-21784","FC-075gr","2024","23",2024-06-04,"LC","G","Pipiens",2,0,0,0,"SE",NA,NA
"CSU-21785","LV-020","2024","23",2024-06-05,"LC","L","Tarsalis",1,0,0,0,"LV",NA,NA
"CSU-21786","LC-054","2024","23",2024-06-05,"LC","L","Tarsalis",3,0,0,0,"BE",NA,NA
"CSU-21787","LC-053","2024","23",2024-06-05,"LC","L","Tarsalis",1,0,0,0,"BE",NA,NA
"CSU-21788","LC-001","2024","23",2024-06-05,"LC","L","Tarsalis",1,0,0,0,"BE",NA,NA
"CSU-21789","LC-001","2024","23",2024-06-05,"LC","L","Pipiens",1,0,0,0,"BE",NA,NA
"CSU-21790","FC-052","2024","23",2024-06-05,"LC","L","Tarsalis",2,0,0,0,"NW",NA,NA
"CSU-21791","FC-052","2024","23",2024-06-05,"LC","L","Pipiens",2,0,0,0,"NW",NA,NA
"CSU-21792","FC-061","2024","23",2024-06-05,"LC","L","Tarsalis",4,0,0,0,"NW",NA,NA
"CSU-21793","FC-061","2024","23",2024-06-05,"LC","L","Pipiens",1,0,0,0,"NW",NA,NA
"CSU-21794","FC-058","2024","23",2024-06-05,"LC","L","Pipiens",1,0,0,0,"SW",NA,NA
"CSU-21795","FC-060","2024","23",2024-06-05,"LC","L","Pipiens",1,0,0,0,"NW",NA,NA
"CSU-21796","FC-063","2024","23",2024-06-05,"LC","L","Tarsalis",1,0,0,0,"NW",NA,NA
