"csu_id","trap_id","year","week","trap_date","county","method","spp","total","test_code","cq","seq","zone","lat","long"
"CSU-21845","FC-054",2024,24,"2024-06-13","LC","L","Tarsalis",3,"0","34.56",,"SE","40.49998","-105.0632"
"CSU-21846","FC-029",2024,24,"2024-06-13","LC","L","Tarsalis",1,"0","34.56",,"SE","40.51011","-105.06935"
"CSU-21847","FC-029GR",2024,24,"2024-06-13","LC","G","Pipiens",37,"0","34.56",,"SE","40.51101","-105.06937"
"CSU-21848","FC-093",2024,24,"2024-06-13","LC","L","Tarsalis",2,"0","34.56",,"SW","40.53186","-105.08825"
"CSU-21849","FC-089GR",2024,24,"2024-06-13","LC","G","Pipiens",12,"0","34.56",,"SW","40.53634","105.10089"
"CSU-21850","FC-062",2024,24,"2024-06-13","LC","L","Tarsalis",1,"0","34.56",,"SW","40.54278","-105.08741"
"CSU-21851","FC-062",2024,24,"2024-06-13","LC","L","Pipiens",3,"0","34.56",,"SW","40.54278","-105.08741"
"CSU-21852","FC-037",2024,24,"2024-06-13","LC","L","Tarsalis",3,"0","34.56",,"SW","40.51668","-105.09808"
"CSU-21853","FC-057",2024,24,"2024-06-13","LC","L","Tarsalis",1,"0","34.56",,"SW","40.48439","-105.10524"
"CDC-001","GATEWAY PARK",2024,24,"2024-06-12","LC","L","Tarsalis",5,,,,"BE",,
"CDC-002","GOLF COURSE",2024,24,"2024-06-12","LC","L","Tarsalis",1,,,,"BE",,
"CDC-003","HILLSDALE PARK",2024,24,"2024-06-12","LC","L","Tarsalis",4,,,,"BE",,
"CDC-004","PIONEER PARK",2024,24,"2024-06-12","LC","L","Tarsalis",1,,,,"BE",,
"CDC-006","BERTHOUD RESERVOIR",2024,24,"2024-06-12","LC","L","Tarsalis",35,,,,"BE",,
"CDC-007","BERTHOUD RESERVOIR",2024,24,"2024-06-12","LC","L","Tarsalis",3,,,,"BE",,
"CSU-21831","FC-061",2024,24,"2024-06-12","LC","L","Tarsalis",3,"0","34.56",,"NW","40.5688","-105.09165"
"CSU-21832","FC-061",2024,24,"2024-06-12","LC","L","Pipiens",2,"0","34.56",,"NW","40.5688","-105.09165"
"CSU-21833","FC-073",2024,24,"2024-06-12","LC","L","Tarsalis",2,"0","34.56",,"NW","40.58605","-105.08889"
"CSU-21834","FC-073",2024,24,"2024-06-12","LC","L","Pipiens",3,"0","34.56",,"NW","40.58605","-105.08889"
"CSU-21835","FC-060",2024,24,"2024-06-12","LC","L","Pipiens",2,"0","34.56",,"NW","40.5487","-105.12019"
"CSU-21836","FC-090GR",2024,24,"2024-06-12","LC","G","Pipiens",4,"0","34.56",,"NW","40.58196","-105.11136"
"CSU-21837","FC-049",2024,24,"2024-06-12","LC","L","Tarsalis",1,"0","34.56",,"SW","40.57324","-105.13949"
"CSU-21838","FC-049",2024,24,"2024-06-12","LC","L","Pipiens",2,"0","34.56",,"SW","40.57324","-105.13949"
"CSU-21839","FC-063GR",2024,24,"2024-06-12","LC","G","Pipiens",16,"0","34.56",,"NW","40.56568","-105.10505"
"CSU-21840","LC-053",2024,24,"2024-06-12","LC","L","Tarsalis",11,"0","34.56",,"BE","40.320553","-105.094569"
"CSU-21841","LV-020",2024,24,"2024-06-12","LC","L","Tarsalis",22,"0","34.56",,"LV","40.373964","-105.11349"
"CSU-21842","LC-001",2024,24,"2024-06-12","LC","L","Tarsalis",2,"0","34.56",,"BE","40.302587","-105.084057"
"CSU-21843","LC-001",2024,24,"2024-06-12","LC","L","Pipiens",1,"0","34.56",,"BE","40.302587","-105.084057"
"CSU-21844","LC-054",2024,24,"2024-06-12","LC","L","Tarsalis",13,"0","34.56",,"BE","40.343955","-105.102766"
"CSU-21817","LV-089",2024,24,"2024-06-11","LC","L","Tarsalis",2,"0","34.56",,"LV","40.400251","-105.042395"
"CSU-21818","LV-104",2024,24,"2024-06-11","LC","L","Tarsalis",4,"0","34.56",,"LV","40.396854","-105.020915"
"CSU-21819","FC-039",2024,24,"2024-06-11","LC","L","Tarsalis",3,"0","34.56",,"SE","40.48081","-105.03934"
"CSU-21820","LV-110",2024,24,"2024-06-11","LC","L","Tarsalis",3,"0","34.56",,"LV","40.400764","-105.122681"
"CSU-21821","LV-110",2024,24,"2024-06-11","LC","L","Pipiens",1,"0","34.56",,"LV","40.400764","-105.122681"
"CSU-21822","FC-075GR",2024,24,"2024-06-11","LC","G","Pipiens",6,"0","34.56",,"SE","40.51138","-105.02937"
"CSU-21823","FC-031",2024,24,"2024-06-11","LC","L","Tarsalis",2,"0","34.56",,"SE","40.50609","-105.03942"
"CSU-21824","FC-004",2024,24,"2024-06-11","LC","L","Tarsalis",2,"0","34.56",,"SE","40.53486","-105.03733"
"CSU-21825","FC-074",2024,24,"2024-06-11","LC","L","Tarsalis",6,"0","34.56",,"SE","40.51432","-105.00249"
"CSU-21826","FC-088GR",2024,24,"2024-06-11","LC","G","Pipiens",20,"0","34.56",,"SE","40.53331","-105.03053"
"CSU-21827","FC-027",2024,24,"2024-06-11","LC","L","Tarsalis",10,"0","34.56",,"SE","40.54651","-105.03359"
"CSU-21828","FC-027",2024,24,"2024-06-11","LC","L","Pipiens",3,"0","34.56",,"SE","40.54651","-105.03359"
"CSU-21829","FC-023",2024,24,"2024-06-11","LC","L","Tarsalis",2,"0","34.56",,"SE","40.54466","-105.0641"
"CSU-21830","FC-023",2024,24,"2024-06-11","LC","L","Pipiens",1,"0","34.56",,"SE","40.54466","-105.0641"
"CSU-21806","FC-034",2024,24,"2024-06-10","LC","L","Tarsalis",1,"0","34.56",,"NE","40.62556","-105.05009"
"CSU-21807","FC-038",2024,24,"2024-06-10","LC","L","Tarsalis",1,"0","34.56",,"NE","40.59911","-105.00623"
"CSU-21808","FC-069",2024,24,"2024-06-10","LC","L","Tarsalis",2,"0","34.56",,"NE","40.61438","-105.0527"
"CSU-21809","FC-040GR",2024,24,"2024-06-10","LC","G","Pipiens",2,"0","34.56",,"NE","40.60326","-105.06553"
"CSU-21810","FC-006",2024,24,"2024-06-10","LC","L","Tarsalis",1,"0","34.56",,"NE","40.592328","-105.066295"
"CSU-21811","FC-092GR",2024,24,"2024-06-10","LC","G","Pipiens",6,"0","34.56",,"NE","40.58407","-105.06497"
"CSU-21812","FC-091GR",2024,24,"2024-06-10","LC","G","Pipiens",1,"0","34.56",,"NE","40.57052","-105.05457"
"CSU-21813","FC-036",2024,24,"2024-06-10","LC","L","Tarsalis",2,"0","34.56",,"NW","40.600766","-105.079837"
"CSU-21814","FC-019",2024,24,"2024-06-10","LC","L","Tarsalis",4,"0","34.56",,"NE","40.565586","-105.05203"
"CSU-21815","FC-066",2024,24,"2024-06-10","LC","L","Tarsalis",9,"0","34.56",,"NE","40.55873","-105.02318"
"CSU-21816","FC-066",2024,24,"2024-06-10","LC","L","Pipiens",1,"0","34.56",,"NE","40.55873","-105.02318"
"CSU-21798","FC-054",2024,23,"2024-06-06","LC","L","Tarsalis",2,"0","0","0","SE","40.49998","-105.0632"
"CSU-21799","FC-029GR",2024,23,"2024-06-06","LC","G","Pipiens",5,"0","0","0","SE","40.51101","-105.06937"
"CSU-21800","FC-057",2024,23,"2024-06-06","LC","L","Tarsalis",1,"0","0","0","SW","40.48439","-105.10524"
"CSU-21801","FC-068",2024,23,"2024-06-06","LC","L","Tarsalis",1,"0","0","0","SW","40.516","-105.08547"
"CSU-21802","FC-037",2024,23,"2024-06-06","LC","L","Tarsalis",18,"0","0","0","SW","40.51668","-105.09808"
"CSU-21803","FC-037",2024,23,"2024-06-06","LC","L","Pipiens",1,"0","0","0","SW","40.51668","-105.09808"
"CSU-21804","FC-071",2024,23,"2024-06-06","LC","L","Tarsalis",1,"0","0","0","SW","40.52733","-105.10821"
"CSU-21805","FC-089GR",2024,23,"2024-06-06","LC","G","Pipiens",1,"0","0","0","SW","40.53631","-105.10056"
"CSU-21785","LV-020",2024,23,"2024-06-05","LC","L","Tarsalis",1,"0","0","0","LV","40.373964","-105.11349"
"CSU-21786","LC-054",2024,23,"2024-06-05","LC","L","Tarsalis",3,"0","0","0","LC","40.343955","-105.102766"
"CSU-21787","LC-053",2024,23,"2024-06-05","LC","L","Tarsalis",1,"0","0","0","LC","40.320553","-105.094569"
"CSU-21788","LC-001",2024,23,"2024-06-05","LC","L","Tarsalis",1,"0","0","0","LC","40.302587","-105.084057"
"CSU-21789","LC-001",2024,23,"2024-06-05","LC","L","Pipiens",1,"0","0","0","LC","40.302587","-105.084057"
"CSU-21790","FC-052",2024,23,"2024-06-05","LC","L","Tarsalis",2,"0","0","0","NW","40.56163","-105.08703"
