"year","zone","week","trap_G","trap_L","n_trap","method","active","malfunction","trap_L_func","trap_L_0","func_GT_wk"
2024,"NW",23,1,4,5,"L",9,0,9,0,FALSE
2024,"NW",24,2,4,6,"L",9,0,9,0,FALSE
2024,"NW",25,1,7,8,"L",9,1,8,0,FALSE
2024,"NW",26,2,8,10,"L",9,1,8,0,TRUE
2024,"NW",27,2,8,10,"L",9,0,9,0,FALSE
2024,"NW",28,2,9,11,"L",9,0,9,0,TRUE
2024,"NW",29,2,8,10,"L",9,0,9,0,FALSE
2024,"NW",30,2,9,11,"L",9,0,9,0,TRUE
2024,"NW",31,2,8,10,"L",9,0,9,0,FALSE
2024,"NE",23,3,6,9,"L",10,0,10,0,FALSE
2024,"NE",24,3,6,9,"L",10,0,10,0,FALSE
2024,"NE",25,3,9,12,"L",10,1,9,0,TRUE
2024,"NE",26,4,10,14,"L",10,0,10,0,TRUE
2024,"NE",27,4,10,14,"L",10,0,10,0,TRUE
2024,"NE",28,4,10,14,"L",10,0,10,0,TRUE
2024,"NE",29,4,9,13,"L",10,1,9,0,TRUE
2024,"NE",30,4,10,14,"L",10,0,10,0,TRUE
2024,"NE",31,4,10,14,"L",10,0,10,0,TRUE
2024,"SE",23,3,9,12,"L",15,1,14,0,FALSE
2024,"SE",24,3,8,11,"L",15,0,15,0,FALSE
2024,"SE",25,3,14,17,"L",15,0,15,0,FALSE
2024,"SE",26,2,15,17,"L",15,0,15,0,TRUE
2024,"SE",27,2,14,16,"L",15,0,15,0,FALSE
2024,"SE",28,3,13,16,"L",15,0,15,0,FALSE
2024,"SE",29,3,15,18,"L",15,0,15,0,TRUE
2024,"SE",30,3,15,18,"L",15,0,15,0,TRUE
2024,"SE",31,3,15,18,"L",15,0,15,0,TRUE
2024,"SW",23,1,6,7,"L",9,0,9,0,FALSE
2024,"SW",24,1,5,6,"L",9,0,9,0,FALSE
2024,"SW",25,1,4,5,"L",9,0,9,0,FALSE
2024,"SW",26,1,7,8,"L",9,0,9,0,FALSE
2024,"SW",27,1,7,8,"L",9,0,9,0,FALSE
2024,"SW",28,1,8,9,"L",9,1,8,0,TRUE
2024,"SW",29,1,8,9,"L",9,0,9,0,FALSE
2024,"SW",30,1,8,9,"L",9,0,9,0,FALSE
2024,"SW",31,1,9,10,"L",9,0,9,0,TRUE
2024,"FC",23,8,25,33,"L",43,1,42,0,FALSE
2024,"FC",24,9,23,32,"L",43,0,43,0,FALSE
2024,"FC",25,8,34,42,"L",43,2,41,0,FALSE
2024,"FC",26,9,40,49,"L",43,1,42,0,FALSE
2024,"FC",27,9,39,48,"L",43,0,43,0,FALSE
2024,"FC",28,10,40,50,"L",43,1,42,0,FALSE
2024,"FC",29,10,40,50,"L",43,1,42,0,FALSE
2024,"FC",30,10,42,52,"L",43,0,43,0,FALSE
2024,"FC",31,10,42,52,"L",43,0,43,0,FALSE
2024,"LV",23,0,6,6,"L",6,0,6,0,TRUE
2024,"LV",24,0,4,4,"L",6,0,6,0,FALSE
2024,"LV",25,0,6,6,"L",6,0,6,0,TRUE
2024,"LV",26,0,6,6,"L",6,0,6,0,TRUE
2024,"LV",27,0,6,6,"L",6,0,6,0,TRUE
2024,"LV",28,0,6,6,"L",6,0,6,0,TRUE
2024,"LV",29,0,5,5,"L",6,0,6,0,FALSE
2024,"LV",30,0,5,5,"L",6,0,6,0,FALSE
2024,"LV",31,0,6,6,"L",6,0,6,0,TRUE
2024,"BE",23,0,3,3,"L",10,0,10,0,FALSE
2024,"BE",24,0,8,8,"L",10,0,10,0,FALSE
2024,"BE",25,0,8,8,"L",10,0,10,0,FALSE
2024,"BE",26,0,10,10,"L",10,0,10,0,TRUE
2024,"BE",27,0,10,10,"L",10,0,10,0,TRUE
2024,"BE",28,0,9,9,"L",10,0,10,0,FALSE
2024,"BE",29,0,10,10,"L",10,0,10,0,TRUE
2024,"BE",30,0,9,9,"L",10,0,10,0,FALSE
2024,"BE",31,0,10,10,"L",10,0,10,0,TRUE
2024,"BC",26,0,5,5,"L",5,0,5,0,TRUE
2024,"BC",27,0,5,5,"L",5,0,5,0,TRUE
2024,"BC",28,0,5,5,"L",5,0,5,0,TRUE
2024,"BC",29,0,5,5,"L",5,0,5,0,TRUE
2024,"BC",30,0,5,5,"L",5,0,5,0,TRUE
2024,"BC",31,0,5,5,"L",5,0,5,0,TRUE
