"","trap_id","zone","lat","long"
"1","FC-054","SE",40.49998,-105.0632
"2","FC-029","SE",40.51011,-105.06935
"3","FC-029GR","SE",40.51101,-105.06937
"4","FC-093","SW",40.53186,-105.08825
"5","FC-089GR","SW",40.53631,-105.10056
"6","FC-062","SW",40.54278,-105.08741
"7","FC-037","SW",40.51668,-105.09808
"8","FC-057","SW",40.48439,-105.10524
"9","GATEWAY PARK","BE",NA,NA
"10","GOLF COURSE","BE",NA,NA
"11","HILLSDALE PARK","BE",NA,NA
"12","PIONEER PARK","BE",NA,NA
"13","BERTHOUD RESERVOIR","BE",NA,NA
"14","FC-061","NW",40.5688,-105.09165
"15","FC-073","NW",40.58605,-105.08889
"16","FC-060","SW",40.5487,-105.12019
"17","FC-090GR","NW",40.58196,-105.11136
"18","FC-049","NW",40.57324,-105.13949
"19","FC-063GR","NW",40.56568,-105.10505
"20","LC-053","BE",40.320553,-105.094569
"21","LV-020","LV",40.373964,-105.11349
"22","LC-001","BE",40.302587,-105.084057
"23","LC-054","BE",40.343955,-105.102766
"24","LV-089","LV",40.400251,-105.042395
"25","LV-104","LV",40.396854,-105.020915
"26","FC-039","SE",40.48081,-105.03934
"27","LV-110","LV",40.400764,-105.122681
"28","FC-075GR","SE",40.51138,-105.02937
"29","FC-031","SE",40.50609,-105.03942
"30","FC-004","SE",40.53486,-105.03733
"31","FC-074","SE",40.51432,-105.00249
"32","FC-088GR","SE",40.53331,-105.03053
"33","FC-027","SE",40.54651,-105.03359
"34","FC-023","SE",40.54466,-105.0641
"35","FC-034","NE",40.62556,-105.05009
"36","FC-038","NE",40.59911,-105.00623
"37","FC-069","NE",40.61438,-105.0527
"38","FC-040GR","NE",40.60326,-105.06553
"39","FC-006","NE",40.592328,-105.066295
"40","FC-092GR","NE",40.58407,-105.06497
"41","FC-091GR","NE",40.57052,-105.05457
"42","FC-036","NW",40.600766,-105.079837
"43","FC-019","NE",40.565586,-105.05203
"44","FC-066","NE",40.55873,-105.02318
"45","FC-068","SW",40.516,-105.08547
"46","FC-071","SW",40.52733,-105.10821
"47","FC-052","NW",40.56163,-105.08703
"48","FC-058","SW",40.54884,-105.12533
"49","FC-063","NW",40.56568,-105.10485
"50","FC-053","SE",40.49942,-105.01183
"51","FC-047","SE",40.51551,-105.05292
"52","FC-046","SE",40.52983,-105.06484
"53","LV-069","LV",40.428924,-105.058221
"54","LV-095","LV",40.444118,-105.022166
"55","FC-072","NE",40.56953,-105.07117
"56","FC-066GR","NE",40.55873,-105.02318
"57","FC-040","NE",40.60326,-105.06554
"58","FC-064","SE",40.49868,-105.0298
"59","FC-075","SE",40.51138,-105.01987
"60","FC-050","SE",40.52954,-105.05033
"61","FC-059","SE",40.5426,-105.04604
"62","FC-015","NW",40.5598,-105.12409
"63","FC-014","NE",40.56359,-105.006562
"64","FC-041","NW",40.58794,-105.10486
"65","FC-001","SW",40.49087,-105.08257
"66","BC-22","BC",39.959444,-105.232292
"67","BC-11","BC",40.11,-105.130278
"68","BC-26","BC",NA,NA
"69","BC-13","BC",NA,NA
"70","BC-27","BC",NA,NA
"71","WC-055","WC",40.28918345,-104.9915449
"72","LC-049","BE",40.312995,-105.078728
"73","BC-25","BC",NA,NA
"74","BC-04","BC",40.061639,-105.193958
"75","FC-067","NE",40.57881,-105.05592
"76","FC-011","NW",40.56948,-105.13603
"77","BC-19","BC",NA,NA
"78","BC-08","BC",40.130625,-105.216736
"79","BC-15","BC",40.013015,-105.27145
"80","BC-09","BC",40.013015,-105.27145
"81","BC-17","BC",40.101806,-105.156028
"82","BC-18","BC",40.013015,-105.27145
"83","BC-01","BC",NA,NA
"84","BC-03","BC",40.0528558,-105.2660644
"85","BC-02","BC",39.9910086,-105.183264
"86","BC-16","BC",NA,NA
"87","BC-12","BC",NA,NA
"88","LC-055","BE",40.288886,-104.99146
"89","LV-114","LV",40.37876,-105.119912
"90","LV-078","LV",40.416234,-105.045084
"91","LV-020","LV",NA,NA
"92","LV-074GR","LV",40.403596,-105.071575
"93","LV-074","LV",40.404013,-105.071
"94","LV-079GR","LV",40.416617,-105.045174
"95","LV-087","LV",40.367049,-105.073709
"96","LV-120","LV",40.363996,-105.102996
"97","LV-123","LV",40.396389,-105.073908
