"year","zone","week","n_trap","spp","mosq","abund"
2015,"LV",34,6,"Pipiens",37,6.2
2015,"LV",34,6,"Tarsalis",146,24.3
2015,"LV",35,6,"Pipiens",4,0.7
2015,"LV",35,6,"Tarsalis",118,19.7
2015,"NE",34,14,"Pipiens",235,16.8
2015,"NE",34,14,"Tarsalis",72,5.1
2015,"NE",35,14,"Pipiens",398,28.4
2015,"NE",35,14,"Tarsalis",113,8.1
2015,"NE",37,13,"Pipiens",194,14.9
2015,"NE",37,13,"Tarsalis",17,1.3
2015,"NW",34,11,"Pipiens",538,48.9
2015,"NW",34,11,"Tarsalis",96,8.7
2015,"NW",35,11,"Pipiens",156,14.2
2015,"NW",35,11,"Tarsalis",22,2
2015,"NW",37,8,"Pipiens",35,4.4
2015,"NW",37,8,"Tarsalis",12,1.5
2015,"SE",34,18,"Pipiens",874,48.6
2015,"SE",34,18,"Tarsalis",164,9.1
2015,"SE",35,18,"Pipiens",458,25.4
2015,"SE",35,18,"Tarsalis",72,4
2015,"SE",37,14,"Pipiens",260,18.6
2015,"SE",37,14,"Tarsalis",4,0.3
2015,"SW",34,16,"Pipiens",120,7.5
2015,"SW",34,16,"Tarsalis",79,4.9
2015,"SW",35,11,"Pipiens",160,14.5
2015,"SW",35,11,"Tarsalis",45,4.1
2015,"SW",37,4,"Pipiens",5,1.2
2015,"SW",37,4,"Tarsalis",8,2
2016,"LV",34,8,"Pipiens",32,4
2016,"LV",34,8,"Tarsalis",153,19.1
2016,"LV",35,6,"Pipiens",8,1.3
2016,"LV",35,6,"Tarsalis",53,8.8
2016,"NE",34,8,"Pipiens",68,8.5
2016,"NE",34,8,"Tarsalis",27,3.4
2016,"NE",35,10,"Pipiens",128,12.8
2016,"NE",35,10,"Tarsalis",28,2.8
2016,"NE",36,9,"Pipiens",218,24.2
2016,"NE",36,9,"Tarsalis",38,4.2
2016,"NE",37,9,"Pipiens",79,8.8
2016,"NE",37,9,"Tarsalis",25,2.8
2016,"NW",34,9,"Pipiens",60,6.7
2016,"NW",34,9,"Tarsalis",87,9.7
2016,"NW",35,8,"Pipiens",111,13.9
2016,"NW",35,8,"Tarsalis",25,3.1
2016,"NW",36,9,"Pipiens",124,13.8
2016,"NW",36,9,"Tarsalis",57,6.3
2016,"NW",37,8,"Pipiens",179,22.4
2016,"NW",37,8,"Tarsalis",18,2.2
2016,"SE",34,15,"Pipiens",49,3.3
2016,"SE",34,15,"Tarsalis",124,8.3
2016,"SE",35,15,"Pipiens",64,4.3
2016,"SE",35,15,"Tarsalis",108,7.2
2016,"SE",36,11,"Pipiens",33,3
2016,"SE",36,11,"Tarsalis",35,3.2
2016,"SE",37,10,"Pipiens",15,1.5
2016,"SE",37,10,"Tarsalis",17,1.7
2016,"SW",34,9,"Pipiens",9,1
2016,"SW",34,9,"Tarsalis",68,7.6
2016,"SW",35,8,"Pipiens",8,1
2016,"SW",35,8,"Tarsalis",15,1.9
2016,"SW",36,7,"Pipiens",12,1.7
2016,"SW",36,7,"Tarsalis",29,4.1
2016,"SW",37,6,"Pipiens",4,0.7
2016,"SW",37,6,"Tarsalis",6,1
2017,"LC",34,4,"Pipiens",28,7
2017,"LC",34,4,"Tarsalis",95,23.8
2017,"LC",35,2,"Tarsalis",6,3
2017,"LV",34,6,"Pipiens",14,2.3
2017,"LV",34,6,"Tarsalis",185,30.8
2017,"LV",35,6,"Pipiens",6,1
2017,"LV",35,6,"Tarsalis",55,9.2
2017,"LV",36,4,"Pipiens",12,3
2017,"LV",36,4,"Tarsalis",38,9.5
2017,"NE",34,10,"Pipiens",66,6.6
2017,"NE",34,10,"Tarsalis",77,7.7
2017,"NE",35,10,"Pipiens",116,11.6
2017,"NE",35,10,"Tarsalis",98,9.8
