"year","zone","week","n_trap","spp","mosq","abund"
2022,"BC",24,5,"Tarsalis",73,14.6
2022,"BC",25,5,"Tarsalis",73,14.6
2022,"BC",26,5,"Tarsalis",82,16.4
2022,"BC",27,5,"Tarsalis",189,37.8
2022,"BC",28,5,"Tarsalis",175,35
2022,"BC",29,5,"Tarsalis",169,33.8
2022,"BC",30,5,"Tarsalis",145,29
2022,"BC",31,5,"Tarsalis",136,27.2
2022,"BC",32,5,"Tarsalis",91,18.2
2022,"BC",33,5,"Tarsalis",38,7.6
2022,"BC",34,5,"Tarsalis",36,7.2
2022,"BC",35,4,"Pipiens",23,5.8
2022,"BC",35,4,"Tarsalis",10,2.5
2022,"BC",36,4,"Pipiens",7,1.8
2022,"BC",36,4,"Tarsalis",13,3.2
2022,"BC",37,4,"Pipiens",10,2.5
2022,"BC",37,4,"Tarsalis",14,3.5
2022,"LC",23,2,"Tarsalis",42,21
2022,"LC",24,4,"Pipiens",3,0.8
2022,"LC",24,4,"Tarsalis",52,13
2022,"LC",25,4,"Pipiens",1,0.2
2022,"LC",25,4,"Tarsalis",33,8.2
2022,"LC",26,4,"Pipiens",11,2.8
2022,"LC",26,4,"Tarsalis",237,59.2
2022,"LC",27,4,"Pipiens",3,0.8
2022,"LC",27,4,"Tarsalis",171,42.8
2022,"LC",28,3,"Pipiens",5,1.7
2022,"LC",28,3,"Tarsalis",138,46
2022,"LC",29,4,"Pipiens",12,3
2022,"LC",29,4,"Tarsalis",448,112
2022,"LC",30,4,"Pipiens",12,3
2022,"LC",30,4,"Tarsalis",135,33.8
2022,"LC",31,4,"Pipiens",26,6.5
2022,"LC",31,4,"Tarsalis",271,67.8
2022,"LC",32,4,"Pipiens",55,13.8
2022,"LC",32,4,"Tarsalis",419,104.8
2022,"LC",33,4,"Pipiens",36,9
2022,"LC",33,4,"Tarsalis",86,21.5
2022,"LC",34,4,"Pipiens",43,10.8
2022,"LC",34,4,"Tarsalis",138,34.5
2022,"LC",35,4,"Pipiens",50,12.5
2022,"LC",35,4,"Tarsalis",102,25.5
2022,"LV",23,5,"Pipiens",2,0.4
2022,"LV",23,5,"Tarsalis",51,10.2
2022,"LV",24,4,"Pipiens",3,0.8
2022,"LV",24,4,"Tarsalis",118,29.5
2022,"LV",25,4,"Tarsalis",82,20.5
2022,"LV",26,6,"Pipiens",26,4.3
2022,"LV",26,6,"Tarsalis",305,50.8
2022,"LV",27,6,"Pipiens",7,1.2
2022,"LV",27,6,"Tarsalis",451,75.2
2022,"LV",28,6,"Pipiens",20,3.3
2022,"LV",28,6,"Tarsalis",809,134.8
2022,"LV",29,6,"Pipiens",48,8
2022,"LV",29,6,"Tarsalis",866,144.3
2022,"LV",30,6,"Pipiens",209,34.8
2022,"LV",30,6,"Tarsalis",737,122.8
2022,"LV",31,6,"Pipiens",111,18.5
2022,"LV",31,6,"Tarsalis",781,130.2
2022,"LV",32,6,"Pipiens",127,21.2
2022,"LV",32,6,"Tarsalis",417,69.5
2022,"LV",33,6,"Pipiens",106,17.7
2022,"LV",33,6,"Tarsalis",137,22.8
2022,"LV",34,6,"Pipiens",227,37.8
2022,"LV",34,6,"Tarsalis",429,71.5
2022,"LV",35,6,"Pipiens",80,13.3
2022,"LV",35,6,"Tarsalis",188,31.3
2022,"LV",36,4,"Pipiens",96,24
2022,"LV",36,4,"Tarsalis",76,19
2022,"NE",23,5,"Tarsalis",59,11.8
2022,"NE",24,10,"Pipiens",7,0.7
2022,"NE",24,10,"Tarsalis",127,12.7
2022,"NE",25,9,"Pipiens",39,4.3
2022,"NE",25,9,"Tarsalis",171,19
2022,"NE",26,10,"Pipiens",32,3.2
2022,"NE",26,10,"Tarsalis",85,8.5
2022,"NE",27,10,"Pipiens",195,19.5
2022,"NE",27,10,"Tarsalis",357,35.7
2022,"NE",28,10,"Pipiens",297,29.7
2022,"NE",28,10,"Tarsalis",1398,139.8
2022,"NE",29,10,"Pipiens",389,38.9
2022,"NE",29,10,"Tarsalis",1364,136.4
2022,"NE",30,10,"Pipiens",676,67.6
2022,"NE",30,10,"Tarsalis",479,47.9
2022,"NE",31,10,"Pipiens",451,45.1
2022,"NE",31,10,"Tarsalis",633,63.3
2022,"NE",32,10,"Pipiens",1324,132.4
2022,"NE",32,10,"Tarsalis",405,40.5
2022,"NE",33,10,"Pipiens",955,95.5
2022,"NE",33,10,"Tarsalis",787,78.7
2022,"NE",34,10,"Pipiens",1480,148
2022,"NE",34,10,"Tarsalis",732,73.2
2022,"NE",35,10,"Pipiens",302,30.2
2022,"NE",35,10,"Tarsalis",110,11
2022,"NE",36,9,"Pipiens",482,53.6
2022,"NE",36,9,"Tarsalis",121,13.4
2022,"NE",37,10,"Pipiens",1157,115.7
2022,"NE",37,10,"Tarsalis",49,4.9
2022,"NW",23,5,"Pipiens",2,0.4
2022,"NW",23,5,"Tarsalis",14,2.8
2022,"NW",24,8,"Pipiens",13,1.6
2022,"NW",24,8,"Tarsalis",69,8.6
2022,"NW",25,6,"Pipiens",7,1.2
2022,"NW",25,6,"Tarsalis",18,3
2022,"NW",26,8,"Pipiens",31,3.9
2022,"NW",26,8,"Tarsalis",34,4.2
2022,"NW",27,9,"Pipiens",27,3
2022,"NW",27,9,"Tarsalis",72,8
2022,"NW",28,9,"Pipiens",21,2.3
2022,"NW",28,9,"Tarsalis",445,49.4
2022,"NW",29,9,"Pipiens",50,5.6
2022,"NW",29,9,"Tarsalis",427,47.4
2022,"NW",30,9,"Pipiens",61,6.8
2022,"NW",30,9,"Tarsalis",204,22.7
2022,"NW",31,9,"Pipiens",63,7
2022,"NW",31,9,"Tarsalis",284,31.6
2022,"NW",32,9,"Pipiens",55,6.1
2022,"NW",32,9,"Tarsalis",233,25.9
2022,"NW",33,9,"Pipiens",100,11.1
2022,"NW",33,9,"Tarsalis",156,17.3
2022,"NW",34,9,"Pipiens",140,15.6
2022,"NW",34,9,"Tarsalis",420,46.7
2022,"NW",35,9,"Pipiens",65,7.2
2022,"NW",35,9,"Tarsalis",96,10.7
2022,"NW",36,8,"Pipiens",31,3.9
2022,"NW",36,8,"Tarsalis",25,3.1
2022,"NW",37,9,"Pipiens",31,3.4
2022,"NW",37,9,"Tarsalis",11,1.2
2022,"SE",23,12,"Pipiens",4,0.3
2022,"SE",23,12,"Tarsalis",83,6.9
2022,"SE",24,12,"Pipiens",4,0.3
2022,"SE",24,12,"Tarsalis",81,6.8
2022,"SE",25,14,"Pipiens",8,0.6
2022,"SE",25,14,"Tarsalis",138,9.9
2022,"SE",26,15,"Pipiens",50,3.3
2022,"SE",26,15,"Tarsalis",371,24.7
2022,"SE",27,15,"Pipiens",36,2.4
2022,"SE",27,15,"Tarsalis",1405,93.7
2022,"SE",28,15,"Pipiens",59,3.9
2022,"SE",28,15,"Tarsalis",1533,102.2
2022,"SE",29,15,"Pipiens",69,4.6
2022,"SE",29,15,"Tarsalis",1578,105.2
2022,"SE",30,15,"Pipiens",184,12.3
2022,"SE",30,15,"Tarsalis",698,46.5
2022,"SE",31,15,"Pipiens",268,17.9
2022,"SE",31,15,"Tarsalis",550,36.7
2022,"SE",32,15,"Pipiens",300,20
2022,"SE",32,15,"Tarsalis",688,45.9
2022,"SE",33,16,"Pipiens",652,40.8
2022,"SE",33,16,"Tarsalis",734,45.9
2022,"SE",34,14,"Pipiens",407,29.1
2022,"SE",34,14,"Tarsalis",463,33.1
2022,"SE",35,15,"Pipiens",460,30.7
2022,"SE",35,15,"Tarsalis",264,17.6
2022,"SE",36,15,"Pipiens",314,20.9
2022,"SE",36,15,"Tarsalis",60,4
2022,"SE",37,15,"Pipiens",395,26.3
2022,"SE",37,15,"Tarsalis",39,2.6
2022,"SW",23,5,"Pipiens",2,0.4
2022,"SW",23,5,"Tarsalis",19,3.8
2022,"SW",24,6,"Pipiens",5,0.8
2022,"SW",24,6,"Tarsalis",24,4
2022,"SW",25,6,"Pipiens",2,0.3
2022,"SW",25,6,"Tarsalis",20,3.3
2022,"SW",26,6,"Pipiens",1,0.2
2022,"SW",26,6,"Tarsalis",12,2
2022,"SW",27,9,"Pipiens",6,0.7
2022,"SW",27,9,"Tarsalis",111,12.3
2022,"SW",28,9,"Pipiens",9,1
2022,"SW",28,9,"Tarsalis",447,49.7
2022,"SW",29,9,"Pipiens",35,3.9
2022,"SW",29,9,"Tarsalis",431,47.9
2022,"SW",30,7,"Pipiens",20,2.9
2022,"SW",30,7,"Tarsalis",183,26.1
2022,"SW",31,9,"Pipiens",57,6.3
2022,"SW",31,9,"Tarsalis",202,22.4
2022,"SW",32,9,"Pipiens",111,12.3
2022,"SW",32,9,"Tarsalis",604,67.1
2022,"SW",33,9,"Pipiens",100,11.1
2022,"SW",33,9,"Tarsalis",241,26.8
2022,"SW",34,10,"Pipiens",431,43.1
2022,"SW",34,10,"Tarsalis",261,26.1
2022,"SW",35,9,"Pipiens",72,8
2022,"SW",35,9,"Tarsalis",99,11
2022,"SW",36,8,"Pipiens",12,1.5
2022,"SW",36,8,"Tarsalis",20,2.5
2022,"SW",37,8,"Pipiens",25,3.1
2022,"SW",37,8,"Tarsalis",41,5.1
2022,"WC",24,1,"Tarsalis",5,5
2022,"WC",26,1,"Tarsalis",1,1
