well_position,SLEV_cq,cq,csu_id
A1,NA,17.95,NA
A2,NA,17.95,NA
A3,NA,17.95,NA
A4,NA,17.95,NA
A5,NA,17.95,NA
A6,NA,17.95,NA
A7,NA,17.95,NA
A8,NA,17.95,NA
A9,NA,17.95,NA
A10,NA,17.95,NA
A11,NA,17.95,NA
A12,NA,16.78,NA
B1,NA,17.95,NA
B2,NA,17.95,NA
B3,NA,17.95,NA
B4,NA,17.95,NA
B5,NA,17.95,NA
B6,NA,17.95,NA
B7,NA,17.95,NA
B8,NA,17.95,NA
B9,NA,17.95,NA
B10,NA,17.95,NA
B11,NA,17.95,NA
B12,NA,23.22,NA
C1,NA,17.95,NA
C2,NA,17.95,NA
C3,NA,17.95,NA
C4,NA,17.95,NA
C5,NA,17.95,NA
C6,NA,17.95,NA
C7,NA,17.95,NA
C8,NA,17.95,NA
C9,NA,17.95,NA
C10,NA,17.95,NA
C11,NA,17.95,NA
C12,NA,29.12,NA
D1,NA,17.95,NA
D2,NA,17.95,NA
D3,NA,17.95,NA
D4,NA,17.95,NA
D5,NA,17.95,NA
D6,NA,17.95,NA
D7,NA,17.95,NA
D8,NA,17.95,NA
D9,NA,17.95,NA
D10,NA,17.95,NA
D11,NA,17.95,NA
D12,19.14,31.56,NA
E1,NA,17.95,NA
E2,NA,17.95,NA
E3,NA,17.95,NA
E4,NA,17.95,NA
E5,NA,17.95,NA
E6,NA,17.95,NA
E7,NA,17.95,NA
E8,NA,17.95,NA
E9,NA,17.95,NA
E10,NA,17.95,NA
E11,NA,17.95,NA
E12,25.78,35.19,NA
F1,NA,17.95,NA
F2,NA,17.95,NA
F3,NA,17.95,NA
F4,NA,17.95,NA
F5,NA,17.95,NA
F6,NA,17.95,NA
F7,NA,17.95,NA
F8,NA,17.95,NA
F9,NA,17.95,NA
F10,NA,17.95,NA
F11,NA,17.95,NA
F12,31.98,34.03,NA
G1,NA,17.95,NA
G2,NA,17.95,NA
G3,NA,17.95,NA
G4,NA,17.95,NA
G5,NA,17.95,NA
G6,NA,17.95,NA
G7,NA,17.95,NA
G8,NA,17.95,NA
G9,NA,17.95,NA
G10,NA,17.95,NA
G11,NA,17.95,NA
H1,NA,17.95,NA
H2,NA,17.95,NA
H3,NA,17.95,NA
H4,NA,17.95,NA
H5,NA,17.95,NA
H6,NA,17.95,NA
H7,NA,17.95,NA
H8,NA,17.95,NA
H9,NA,17.95,NA
H10,NA,17.95,NA
H11,NA,17.95,NA
H12,NA,17.95,NA
