"well_position","ct_threshold","SLEV_cq","cq","csu_id"
"A1",34000,55.55,55.55,"CSU-21854"
"A2",34000,55.55,55.55,"CSU-21862"
"A3",34000,55.55,55.55,"CSU-21870"
"A4",34000,55.55,55.55,"CSU-21878"
"A5",34000,55.55,55.55,"CSU-21886"
"A6",34000,55.55,55.55,"CSU-21894"
"A7",34000,55.55,55.55,"CSU-21902"
"A8",34000,55.55,55.55,"CSU-21910"
"A9",34000,55.55,55.55,"CSU-21918"
"A10",34000,55.55,55.55,"CDC-012"
"A11",34000,55.55,55.55,"RMRP-00426"
"A12",34000,55.55,18.45,NA
"B1",34000,55.55,55.55,"CSU-21855"
"B2",34000,55.55,55.55,"CSU-21863"
"B3",34000,55.55,55.55,"CSU-21871"
"B4",34000,55.55,55.55,"CSU-21879"
"B5",34000,55.55,55.55,"CSU-21887"
"B6",34000,55.55,55.55,"CSU-21895"
"B7",34000,55.55,55.55,"CSU-21903"
"B8",34000,55.55,55.55,"CSU-21911"
"B9",34000,55.55,55.55,"CSU-21919"
"B10",34000,55.55,55.55,"CDC-013"
"B11",34000,55.55,55.55,"RMRP-00427"
"B12",34000,55.55,24.79,NA
"C1",34000,55.55,55.55,"CSU-21856"
"C2",34000,55.55,55.55,"CSU-21864"
"C3",34000,55.55,55.55,"CSU-21872"
"C4",34000,55.55,55.55,"CSU-21880"
"C5",34000,55.55,55.55,"CSU-21888"
"C6",34000,55.55,55.55,"CSU-21896"
"C7",34000,55.55,55.55,"CSU-21904"
"C8",34000,55.55,55.55,"CSU-21912"
"C9",34000,55.55,55.55,"CSU-21920"
"C10",34000,55.55,55.55,"CDC-014"
"C11",34000,55.55,55.55,"RMRP-00428"
"C12",34000,55.55,30.94,NA
"D1",34000,55.55,55.55,"CSU-21857"
"D2",34000,55.55,55.55,"CSU-21865"
"D3",34000,55.55,55.55,"CSU-21873"
"D4",34000,55.55,55.55,"CSU-21881"
"D5",34000,55.55,55.55,"CSU-21889"
"D6",34000,55.55,55.55,"CSU-21897"
"D7",34000,55.55,55.55,"CSU-21905"
"D8",34000,55.55,55.55,"CSU-21913"
"D9",34000,55.55,55.55,"CDC-005"
"D10",34000,55.55,55.55,"CDC-015"
"D11",34000,55.55,55.55,"RMRP-00429"
"D12",34000,18.62,33.64,NA
"E1",34000,55.55,55.55,"CSU-21858"
"E2",34000,55.55,55.55,"CSU-21866"
"E3",34000,55.55,55.55,"CSU-21874"
"E4",34000,55.55,55.55,"CSU-21882"
"E5",34000,55.55,55.55,"CSU-21890"
"E6",34000,55.55,55.55,"CSU-21898"
"E7",34000,55.55,55.55,"CSU-21906"
"E8",34000,55.55,55.55,"CSU-21914"
"E9",34000,55.55,55.55,"CDC-008"
"E10",34000,55.55,55.55,"CDC-016"
"E11",34000,55.55,55.55,"RMRP-00430"
"E12",34000,25.24,38.1,NA
"F1",34000,55.55,55.55,"CSU-21859"
"F2",34000,55.55,55.55,"CSU-21867"
"F3",34000,55.55,55.55,"CSU-21875"
"F4",34000,55.55,55.55,"CSU-21883"
"F5",34000,55.55,55.55,"CSU-21891"
"F6",34000,55.55,55.55,"CSU-21899"
"F7",34000,55.55,55.55,"CSU-21907"
"F8",34000,55.55,55.55,"CSU-21915"
"F9",34000,55.55,55.55,"CDC-009"
"F10",34000,55.55,55.55,"CDC-017"
"F11",34000,55.55,55.55,"RMRP-00431"
"F12",34000,31.39,37.09,NA
"G1",34000,55.55,55.55,"CSU-21860"
"G2",34000,55.55,55.55,"CSU-21868"
"G3",34000,55.55,55.55,"CSU-21876"
"G4",34000,55.55,55.55,"CSU-21884"
"G5",34000,55.55,55.55,"CSU-21892"
"G6",34000,55.55,55.55,"CSU-21900"
"G7",34000,55.55,55.55,"CSU-21908"
"G8",34000,55.55,55.55,"CSU-21916"
"G9",34000,55.55,55.55,"CDC-010"
"G10",34000,55.55,55.55,"CDC-018"
"G11",34000,55.55,55.55,"RMRP-00432"
"H1",34000,55.55,55.55,"CSU-21861"
"H2",34000,55.55,55.55,"CSU-21869"
"H3",34000,55.55,55.55,"CSU-21877"
"H4",34000,55.55,55.55,"CSU-21885"
"H5",34000,55.55,55.55,"CSU-21893"
"H6",34000,55.55,55.55,"CSU-21901"
"H7",34000,55.55,55.55,"CSU-21909"
"H8",34000,55.55,55.55,"CSU-21917"
"H9",34000,55.55,55.55,"CDC-011"
"H10",34000,55.55,55.55,"- Control"
"H11",34000,55.55,55.55,"""+ Control"
"H12",34000,55.55,55.55,NA
