"well_position","ct_threshold","quantity","plate","SLEV_cq","cq","csu_id"
"A1","34000","4.7925400733947754","plate_1",36.35,NA,"CSU-21921"
"A1","34000","38.304405212402344","plate_1",NA,32.97,"CSU-21921"
"A2","34000",NA,"plate_1",55.55,55.55,"CSU-21929"
"A3","34000",NA,"plate_1",55.55,55.55,"CSU-21937"
"A4","34000","4.8025250434875488","plate_1",36.34,NA,"CSU-21945"
"A4","34000","36.556617736816406","plate_1",NA,33.03,"CSU-21945"
"A5","34000",NA,"plate_1",55.55,55.55,"CSU-21953"
"A6","34000","7.3937411308288574","plate_1",35.75,NA,"CSU-21961"
"A6","34000","36.202812194824219","plate_1",NA,33.05,"CSU-21961"
"A7","34000","14.689631462097168","plate_1",34.8,NA,"CSU-21969"
"A7","34000","41.28106689453125","plate_1",NA,32.88,"CSU-21969"
"A8","34000",NA,"plate_1",55.55,NA,"CSU-21977"
"A8","34000","21.036403656005859","plate_1",NA,33.75,"CSU-21977"
"A9","34000",NA,"plate_1",55.55,NA,"CSU-21985"
"A9","34000","0.99785768985748291","plate_1",NA,37.72,"CSU-21985"
"A10","34000","6.7496819496154785","plate_1",35.88,NA,"CSU-21993"
"A10","34000","18.10905647277832","plate_1",NA,33.95,"CSU-21993"
"A11","34000",NA,"plate_1",55.55,NA,"Foy 2023 121"
"A11","34000","110.19126892089844","plate_1",NA,31.6,"Foy 2023 121"
"A12","34000",NA,"plate_1",55.55,NA,"WNV RNA"
"A12","34000","1000000","plate_1",NA,19.68,"WNV RNA"
"B1","34000","37.852207183837891","plate_1",33.5,NA,"CSU-21922"
"B1","34000","27.077659606933594","plate_1",NA,33.42,"CSU-21922"
"B2","34000",NA,"plate_1",55.55,55.55,"CSU-21930"
"B3","34000",NA,"plate_1",55.55,NA,"CSU-21938"
"B3","34000","26.975923538208008","plate_1",NA,33.43,"CSU-21938"
"B4","34000",NA,"plate_1",55.55,NA,"CSU-21946"
"B4","34000","2.7503411769866943","plate_1",NA,36.4,"CSU-21946"
"B5","34000","1.9136432409286499","plate_1",37.61,NA,"CSU-21954"
"B5","34000","28.00874137878418","plate_1",NA,33.38,"CSU-21954"
"B6","34000","2.592907190322876","plate_1",37.19,NA,"CSU-21962"
"B6","34000","37.037792205810547","plate_1",NA,33.02,"CSU-21962"
"B7","34000",NA,"plate_1",55.55,NA,"CSU-21970"
"B7","34000","29.666454315185547","plate_1",NA,33.31,"CSU-21970"
"B8","34000",NA,"plate_1",55.55,55.55,"CSU-21978"
"B9","34000",NA,"plate_1",55.55,NA,"CSU-21986"
"B9","34000","7.7542753219604492","plate_1",NA,35.05,"CSU-21986"
"B10","34000",NA,"plate_1",55.55,55.55,"CSU-21994"
"B11","34000",NA,"plate_1",55.55,NA,"Foy 2023 171"
"B11","34000","10.199583053588867","plate_1",NA,34.7,"Foy 2023 171"
"B12","34000","24.855789184570312","plate_1",34.08,NA,"WNV RNA"
"B12","34000","10000","plate_1",NA,25.82,"WNV RNA"
"C1","34000",NA,"plate_1",55.55,55.55,"CSU-21923"
"C2","34000","10.80012035369873","plate_1",35.23,NA,"CSU-21931"
"C2","34000","43.619281768798828","plate_1",NA,32.8,"CSU-21931"
"C3","34000","16.992364883422852","plate_1",34.6,NA,"CSU-21939"
"C3","34000","36.813346862792969","plate_1",NA,33.02,"CSU-21939"
"C4","34000",NA,"plate_1",55.55,55.55,"CSU-21947"
"C5","34000",NA,"plate_1",55.55,NA,"CSU-21955"
"C5","34000","8.9330549240112305","plate_1",NA,34.87,"CSU-21955"
"C6","34000","1.9872598648071289","plate_1",37.56,NA,"CSU-21963"
"C6","34000","33.228057861328125","plate_1",NA,33.16,"CSU-21963"
"C7","34000","4.4901595115661621","plate_1",36.44,NA,"CSU-21971"
"C7","34000","39.299251556396484","plate_1",NA,32.94,"CSU-21971"
"C8","34000","2.1049766540527344","plate_1",37.48,NA,"CSU-21979"
"C8","34000","25.543643951416016","plate_1",NA,33.5,"CSU-21979"
"C9","34000","3.9278495311737061","plate_1",36.62,NA,"CSU-21987"
"C9","34000","15.972973823547363","plate_1",NA,34.11,"CSU-21987"
"C10","34000","10.680654525756836","plate_1",35.24,NA,"CSU-21995"
"C10","34000","25.535039901733398","plate_1",NA,33.5,"CSU-21995"
"C11","34000","934638.1875","plate_1",19.56,NA,"M15 (W+S)"
"C11","34000","16745171","plate_1",NA,16.06,"M15 (W+S)"
"C12","34000","14.960838317871094","plate_1",34.78,NA,"WNV RNA"
"C12","34000","100","plate_1",NA,31.68,"WNV RNA"
"D1","34000",NA,"plate_1",55.55,55.55,"CSU-21924"
"D2","34000",NA,"plate_1",55.55,NA,"CSU-21932"
"D2","34000","16.229837417602539","plate_1",NA,34.09,"CSU-21932"
"D3","34000",NA,"plate_1",55.55,NA,"CSU-21940"
"D3","34000","18.029605865478516","plate_1",NA,33.95,"CSU-21940"
"D4","34000","2.3601346015930176","plate_1",37.32,NA,"CSU-21948"
"D4","34000","25.302501678466797","plate_1",NA,33.51,"CSU-21948"
"D5","34000","19.161159515380859","plate_1",34.44,NA,"CSU-21956"
"D5","34000","29.577165603637695","plate_1",NA,33.31,"CSU-21956"
"D6","34000","0.92141467332839966","plate_1",38.62,NA,"CSU-21964"
"D6","34000","31.600618362426758","plate_1",NA,33.22,"CSU-21964"
"D7","34000","0.52671140432357788","plate_1",39.39,NA,"CSU-21972"
"D7","34000","29.569541931152344","plate_1",NA,33.31,"CSU-21972"
