"csu_id","trap_id","year","week","trap_date","county","method","spp","total","test_code","zone"
"BOU-00206","BC-04","2024","26",2024-06-24,"BC","L","Tarsalis",15,NA,"BC"
"BOU-00207","BC-11","2024","26",2024-06-24,"BC","L","Tarsalis",14,NA,"BC"
"BOU-00208","BC-22","2024","26",2024-06-24,"BC","L","Tarsalis",12,NA,"BC"
"BOU-00209","BC-13","2024","26",2024-06-24,"BC","L","Tarsalis",24,NA,"BC"
"BOU-00210","BC-14","2024","26",2024-06-24,"BC","L","Tarsalis",35,NA,"BC"
"CDC-023","PIONEER PARK","2024","26",2024-06-26,"LC","L","Pipiens",2,NA,"BE"
"CDC-024","PIONEER PARK","2024","26",2024-06-26,"LC","L","Tarsalis",1,NA,"BE"
"CDC-025","PIONEER PARK","2024","26",2024-06-26,"LC","L","Tarsalis",24,NA,"BE"
"CDC-026","BERTHOUD RESERVOIR","2024","26",2024-06-26,"LC","L","Pipiens",2,NA,"BE"
"CDC-027","BERTHOUD RESERVOIR","2024","26",2024-06-26,"LC","L","Tarsalis",11,NA,"BE"
"CDC-028","BERTHOUD RESERVOIR","2024","26",2024-06-26,"LC","L","Tarsalis",50,NA,"BE"
"CDC-029","BERTHOUD RESERVOIR","2024","26",2024-06-26,"LC","L","Tarsalis",50,NA,"BE"
"CDC-030","BERTHOUD RESERVOIR","2024","26",2024-06-26,"LC","L","Tarsalis",50,NA,"BE"
"CDC-031","BERTHOUD RESERVOIR","2024","26",2024-06-26,"LC","L","Tarsalis",50,NA,"BE"
"CDC-032","BERTHOUD RESERVOIR","2024","26",2024-06-26,"LC","L","Tarsalis",4,NA,"BE"
"CDC-033","GOLF COURSE","2024","26",2024-06-26,"LC","L","Tarsalis",18,NA,"BE"
"CDC-034","GOLF COURSE","2024","26",2024-06-26,"LC","L","Tarsalis",5,NA,"BE"
"CDC-035","GOLF COURSE","2024","26",2024-06-26,"LC","L","Tarsalis",38,NA,"BE"
"CDC-019","GATEWAY PARK","2024","26",2024-06-26,"LC","L","Tarsalis",34,NA,"BE"
"CDC-020","HILLSDALE","2024","26",2024-06-26,"LC","L","Tarsalis",36,NA,"BE"
"CDC-021","HILLSDALE","2024","26",2024-06-26,"LC","L","Tarsalis",4,NA,"BE"
"CDC-022","HILLSDALE","2024","26",2024-06-26,"LC","L","Pipiens",8,NA,"BE"
"CSU-21921","LV-069","2024","26",2024-06-24,"LC","L","Tarsalis",3,NA,"LV"
"CSU-21922","LV-095","2024","26",2024-06-24,"LC","L","Tarsalis",16,NA,"LV"
"CSU-21923","FC-038","2024","26",2024-06-24,"LC","L","Tarsalis",50,NA,"NE"
"CSU-21924","FC-038","2024","26",2024-06-24,"LC","L","Tarsalis",44,NA,"NE"
"CSU-21925","FC-038","2024","26",2024-06-24,"LC","L","Pipiens",10,NA,"NE"
"CSU-21926","FC-069","2024","26",2024-06-24,"LC","L","Tarsalis",12,NA,"NE"
"CSU-21927","FC-040GR","2024","26",2024-06-24,"LC","G","Tarsalis",4,NA,"NE"
"CSU-21928","FC-040GR","2024","26",2024-06-24,"LC","G","Pipiens",50,NA,"NE"
"CSU-21929","FC-040GR","2024","26",2024-06-24,"LC","G","Pipiens",30,NA,"NE"
"CSU-21930","FC-034","2024","26",2024-06-24,"LC","L","Tarsalis",24,NA,"NE"
"CSU-21931","FC-034","2024","26",2024-06-24,"LC","L","Pipiens",1,NA,"NE"
"CSU-21932","FC-006","2024","26",2024-06-24,"LC","L","Tarsalis",5,NA,"NE"
"CSU-21933","FC-006","2024","26",2024-06-24,"LC","L","Pipiens",1,NA,"NE"
"CSU-21934","FC-092GR","2024","26",2024-06-24,"LC","G","Pipiens",22,NA,"NE"
"CSU-21935","FC-072","2024","26",2024-06-24,"LC","L","Tarsalis",13,NA,"NE"
"CSU-21936","FC-072","2024","26",2024-06-24,"LC","L","Pipiens",3,NA,"NE"
