"csu_id","trap_id","year","week","trap_date","county","method","spp","total","test_code","zone"
"BOU-00216","BC-04","2024","28",2024-07-08,"BC","L","Tarsalis",29,NA,"BC"
"BOU-00217","BC-22","2024","28",2024-07-08,"BC","L","Tarsalis",49,NA,"BC"
"BOU-00218","BC-26","2024","28",2024-07-08,"BC","L","Tarsalis",49,NA,"BC"
"BOU-00219","BC-13","2024","28",2024-07-08,"BC","L","Tarsalis",49,NA,"BC"
"BOU-00220","BC-14","2024","28",2024-07-08,"BC","L","Tarsalis",49,NA,"BC"
"CDC-056","GATEWAY PARK","2024","27",2024-07-03,"LC","L","Tarsalis",4,NA,"BE"
"CDC-057","GOLF COURSE","2024","27",2024-07-03,"LC","L","Tarsalis",2,NA,"BE"
"CDC-058","PIONEER PARK","2024","28",2024-07-10,"LC","L","Tarsalis",50,NA,"BE"
"CDC-059","PIONEER PARK","2024","28",2024-07-10,"LC","L","Tarsalis",7,NA,"BE"
"CDC-060","PIONEER PARK","2024","28",2024-07-10,"LC","L","Tarsalis",2,NA,"BE"
"CDC-061","BERTHOUD RESERVIOR","2024","28",2024-07-10,"LC","L","Tarsalis",50,NA,"BE"
"CDC-062","HILLSDALE PARK","2024","28",2024-07-10,"LC","L","Tarsalis",8,NA,"BE"
"CDC-063","HILLSDALE PARK","2024","28",2024-07-10,"LC","L","Tarsalis",50,NA,"BE"
"CDC-064","HILLSDALE PARK","2024","28",2024-07-10,"LC","L","Tarsalis",49,NA,"BE"
"CDC-065","GOLF COURSE","2024","28",2024-07-10,"LC","L","Tarsalis",1,NA,"BE"
"CDC-066","GOLF COURSE","2024","28",2024-07-10,"LC","L","Tarsalis",9,NA,"BE"
"CDC-067","GOLF COURSE","2024","28",2024-07-10,"LC","L","Pipiens",2,NA,"BE"
"CDC-068","HILLSDALE PARK","2024","28",2024-07-10,"LC","L","Pipiens",1,NA,"BE"
"CDC-069","HILLSDALE PARK","2024","28",2024-07-10,"LC","L","Pipiens",17,NA,"BE"
"CDC-070","BERTHOUD RESERVIOR","2024","28",2024-07-10,"LC","L","Pipiens",21,NA,"BE"
"CDC-071","BERTHOUD RESERVIOR","2024","28",2024-07-10,"LC","L","Tarsalis",5,NA,"BE"
"CDC-072","BERTHOUD RESERVIOR","2024","28",2024-07-10,"LC","L","Tarsalis",50,NA,"BE"
"CDC-073","BERTHOUD RESERVIOR","2024","28",2024-07-10,"LC","L","Tarsalis",50,NA,"BE"
"CDC-074","BERTHOUD RESERVIOR","2024","28",2024-07-10,"LC","L","Tarsalis",27,NA,"BE"
"CSU-22112","LV-069","2024","28",2024-07-08,"LC","L","Tarsalis",1,NA,"LV"
"CSU-22113","LV-095","2024","28",2024-07-08,"LC","L","Tarsalis",18,NA,"LV"
"CSU-22114","LV-095","2024","28",2024-07-08,"LC","L","Pipiens",3,NA,"LV"
"CSU-22115","FC-038","2024","28",2024-07-08,"LC","L","Tarsalis",14,NA,"NE"
"CSU-22116","FC-006","2024","28",2024-07-08,"LC","L","Tarsalis",1,NA,"NE"
"CSU-22117","FC-040","2024","28",2024-07-08,"LC","L","Tarsalis",23,NA,"NE"
"CSU-22118","FC-040","2024","28",2024-07-08,"LC","L","Pipiens",5,NA,"NE"
"CSU-22119","FC-040GR","2024","28",2024-07-08,"LC","G","Pipiens",38,NA,"NE"
"CSU-22120","FC-091GR","2024","28",2024-07-08,"LC","G","Pipiens",2,NA,"NE"
"CSU-22121","FC-092GR","2024","28",2024-07-08,"LC","G","Pipiens",9,NA,"NE"
"CSU-22122","FC-072","2024","28",2024-07-08,"LC","L","Tarsalis",19,NA,"NE"
"CSU-22123","FC-072","2024","28",2024-07-08,"LC","L","Pipiens",15,NA,"NE"
"CSU-22124","FC-067","2024","28",2024-07-08,"LC","L","Tarsalis",1,NA,"NE"
"CSU-22125","FC-069","2024","28",2024-07-08,"LC","L","Tarsalis",2,NA,"NE"
"CSU-22126","FC-069","2024","28",2024-07-08,"LC","L","Pipiens",2,NA,"NE"
"CSU-22127","FC-036","2024","28",2024-07-08,"LC","L","Tarsalis",14,NA,"NW"
"CSU-22128","FC-036","2024","28",2024-07-08,"LC","L","Pipiens",10,NA,"NW"
"CSU-22129","FC-066GR","2024","28",2024-07-08,"LC","G","Pipiens",4,NA,"NE"
"CSU-22130","FC-019","2024","28",2024-07-08,"LC","L","Tarsalis",22,NA,"NE"
"CSU-22131","FC-019","2024","28",2024-07-08,"LC","L","Pipiens",21,NA,"NE"
"CSU-22132","FC-014","2024","28",2024-07-08,"LC","L","Tarsalis",30,NA,"NE"
"CSU-22133","FC-014","2024","28",2024-07-08,"LC","L","Pipiens",5,NA,"NE"
"CSU-22134","FC-066","2024","28",2024-07-08,"LC","L","Tarsalis",25,NA,"NE"
"CSU-22135","FC-066","2024","28",2024-07-08,"LC","L","Pipiens",12,NA,"NE"
"CSU-22136","FC-034","2024","28",2024-07-08,"LC","L","Tarsalis",8,NA,"NE"
"CSU-22137","LV-104","2024","28",2024-07-09,"LC","L","Tarsalis",48,NA,"LV"
"CSU-22138","LV-104","2024","28",2024-07-09,"LC","L","Pipiens",2,NA,"LV"
"CSU-22139","LV-089","2024","28",2024-07-09,"LC","L","Tarsalis",50,NA,"LV"
"CSU-22140","LV-089","2024","28",2024-07-09,"LC","L","Tarsalis",34,NA,"LV"
"CSU-22141","LV-089","2024","28",2024-07-09,"LC","L","Pipiens",13,NA,"LV"
"CSU-22142","LV-110","2024","28",2024-07-09,"LC","L","Tarsalis",15,NA,"LV"
"CSU-22143","LV-110","2024","28",2024-07-09,"LC","L","Pipiens",5,NA,"LV"
"CSU-22144","FC-053","2024","28",2024-07-09,"LC","L","Tarsalis",4,NA,"SE"
"CSU-22145","FC-039","2024","28",2024-07-09,"LC","L","Tarsalis",7,NA,"SE"
