"well_position","ct_threshold","plate","copies_SLEV","copies_WNV","cq_SLEV","cq","csu_id"
"A1","34000","plate_1",0,39063.41,55.55,23.49,"CSU-22447"
"A2","34000","plate_1",0,0,55.55,55.55,"CSU-22455"
"A3","34000","plate_1",0,0,55.55,55.55,"CSU-22463"
"A4","34000","plate_1",0,0,55.55,55.55,"CSU-22471"
"A5","34000","plate_1",0,0,55.55,55.55,"CSU-22479"
"A6","34000","plate_1",0,0,55.55,55.55,"CSU-22487"
"A7","34000","plate_1",0,0,55.55,55.55,"CSU-22495"
"A8","34000","plate_1",0,0,55.55,55.55,"CSU-22503"
"A9","34000","plate_1",0,0,55.55,55.55,"CSU-22511"
"A10","34000","plate_1",0,0,55.55,55.55,"CSU-22519"
"A11","34000","plate_1",0,0,55.55,55.55,"CSU-22527"
"A12","34000","plate_1",0,1e+06,55.55,18.9,"wnv_std_1e6"
"B1","34000","plate_1",0,0,55.55,55.55,"CSU-22448"
"B2","34000","plate_1",0,0,55.55,55.55,"CSU-22456"
"B3","34000","plate_1",0,0,55.55,55.55,"CSU-22464"
"B4","34000","plate_1",0,0,55.55,55.55,"CSU-22472"
"B5","34000","plate_1",0,0,55.55,55.55,"CSU-22480"
"B6","34000","plate_1",0,2877.68,55.55,27.27,"CSU-22488"
"B7","34000","plate_1",0,0.51,55.55,39.77,"CSU-22496"
"B8","34000","plate_1",0,0,55.55,55.55,"CSU-22504"
"B9","34000","plate_1",0,0,55.55,55.55,"CSU-22512"
"B10","34000","plate_1",0,0,55.55,55.55,"CSU-22520"
"B11","34000","plate_1",0,0,55.55,55.55,"CSU-22528"
"B12","34000","plate_1",0,10000,55.55,25.26,"wnv_std_1e4"
"C1","34000","plate_1",0,0,55.55,55.55,"CSU-22449"
"C2","34000","plate_1",0,0,55.55,55.55,"CSU-22457"
"C3","34000","plate_1",0,0,55.55,55.55,"CSU-22465"
"C4","34000","plate_1",0,0,55.55,55.55,"CSU-22473"
"C5","34000","plate_1",0,0,55.55,55.55,"CSU-22481"
"C6","34000","plate_1",0,0,55.55,55.55,"CSU-22489"
"C7","34000","plate_1",0,0,55.55,55.55,"CSU-22497"
"C8","34000","plate_1",0.11,0,39.98,55.55,"CSU-22505"
"C9","34000","plate_1",0,0,55.55,55.55,"CSU-22513"
