"year","week","zone","spp","Gravid","Light","LIGHT","GRAVID","L","G","L/G","1"
2018,24,"NE","Pipiens",0,0,0,0,0,2,0,0
2018,26,"FC","Pipiens",0,0,0,0,0,1,0,0
2018,27,"SW","Pipiens",0,0,0,0,0,2,0,0
2018,30,"SW","Pipiens",0,0,0,0,0,2,0,0
2018,37,"SW","Pipiens",0,0,0,0,0,1,0,0
2019,25,"NE","Pipiens",0,0,0,0,0,1,0,0
2019,25,"SE","Pipiens",0,0,0,0,0,2,0,0
2019,25,"SW","Pipiens",0,0,0,0,0,1,0,0
2019,26,"NE","Pipiens",0,0,0,0,0,2,0,0
2019,27,"NW","Pipiens",0,0,0,0,0,1,0,0
2019,28,"NW","Pipiens",0,0,0,0,0,2,0,0
2019,29,"SW","Pipiens",0,0,0,0,0,1,0,0
2020,24,"SW","Pipiens",0,0,0,0,0,1,0,0
2020,28,"FC","Pipiens",0,0,0,0,0,1,0,0
2020,35,"FC","Pipiens",0,0,0,0,0,1,0,0
2022,23,"FC","Pipiens",0,0,0,0,0,1,0,0
2022,23,"NE","Pipiens",0,0,0,0,0,2,0,0
