"week","abund_NW","hx_abund_NW","abund_NE","hx_abund_NE","abund_SE","hx_abund_SE","abund_SW","hx_abund_SW","abund_FC","hx_abund_FC","abund_LV","hx_abund_LV","abund_BE","hx_abund_BC"
23,3.8,5.7,5,6.9,2.8,6.4,4,6.8,3.9,6.45,8.8,20.5,NA,NA
24,3.5,6.4,3.2,6.2,4.1,7.7,2.6,5.8,3.35,6.525,8,27.6,9.5,17.1
25,NA,9.9,NA,13.5,NA,20.3,NA,6.5,NA,12.55,NA,54,NA,17.5
26,NA,43,NA,46.9,NA,65.7,NA,35.3,NA,47.725,NA,119,NA,22.2
27,NA,29.2,NA,83.5,NA,117.4,NA,19.3,NA,62.35,NA,217.9,NA,45.8
28,NA,67.9,NA,101.2,NA,164.3,NA,78.2,NA,102.9,NA,179.4,NA,37.2
29,NA,96.7,NA,176.6,NA,160,NA,76.8,NA,127.525,NA,124.4,NA,42.6
30,NA,49.2,NA,133.6,NA,93.1,NA,53.1,NA,82.25,NA,112.6,NA,43.3
31,NA,35.7,NA,98.9,NA,93.4,NA,24.2,NA,63.05,NA,115.8,NA,58.6
32,NA,29.8,NA,101.3,NA,56.7,NA,37.2,NA,56.25,NA,71.3,NA,30.7
33,NA,27.1,NA,78.3,NA,55.1,NA,29.8,NA,47.575,NA,58.1,NA,21.5
34,NA,29,NA,86.1,NA,41.2,NA,28.2,NA,46.125,NA,61,NA,21.3
35,NA,16.2,NA,43.4,NA,29.3,NA,13.3,NA,25.55,NA,31.3,NA,8.3
36,NA,13.2,NA,53.1,NA,23.1,NA,7.7,NA,24.275,NA,21,NA,4.2
37,NA,4.9,NA,64.6,NA,18,NA,5.7,NA,23.3,NA,NA,NA,6
