"zone","week","year","spp","mosq_L","trap_L","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"NW","30","2014","Pipiens",44,9,4.89,0,0,0.0215,0,0,0.1051
"NW","30","2014","Tarsalis",824,9,91.56,0,0,0.0042,0,0,0.3846
"NW","30","2014","All",868,9,96.45,0,0,0.0050772420943494,0,0,0.4897
"NE","30","2014","Pipiens",170,10,17,0,0,0.0157,0,0,0.2669
"NE","30","2014","Tarsalis",2194,10,219.4,0,0,0.0017,0,0,0.373
"NE","30","2014","All",2364,10,236.4,0,0,0.00270685279187817,0,0,0.6399
"SE","30","2014","Pipiens",130,15,8.67,0,0,0.0086,0,0,0.0746
"SE","30","2014","Tarsalis",3075,15,205,0.001,3e-04,0.0027,0.205,0.0615,0.5535
"SE","30","2014","All",3205,15,213.67,0.000959423409931202,0.000287827022979361,0.00293957972574531,0.205,0.0615,0.6281
"SW","30","2014","Pipiens",24,9,2.67,0,0,0.0198,0,0,0.0529
"SW","30","2014","Tarsalis",431,9,47.89,0,0,0.0075,0,0,0.3592
"SW","30","2014","All",455,9,50.56,0,0,0.00815071202531646,0,0,0.4121
"FC","30","2014","Pipiens",368,43,8.56,0,0,0.0043,0,0,0.0368
"FC","30","2014","Tarsalis",6524,43,151.72,5e-04,1e-04,0.0013,0.0759,0.0152,0.1972
"FC","30","2014","All",6892,43,160.28,0.000473546293985525,9.48340404292488e-05,0.00145994509608186,0.0759,0.0152,0.234
"LV","30","2014","Pipiens",57,6,9.5,0,0,0.0391,0,0,0.3714
"LV","30","2014","Tarsalis",1255,6,209.17,0.0016,3e-04,0.0054,0.3347,0.0628,1.1295
"LV","30","2014","All",1312,6,218.67,0.00153061691132757,0.000287190744043536,0.00686376732062011,0.3347,0.0628,1.5009
"NW","24","2015","Pipiens",8,9,0.89,0,0,0.2069,0,0,0.1841
"NW","24","2015","Tarsalis",19,9,2.11,0,0,0.1109,0,0,0.234
"NW","24","2015","All",27,9,3,0,0,0.139366666666667,0,0,0.4181
"NE","24","2015","Pipiens",10,10,1,0,0,0.1132,0,0,0.1132
"NE","24","2015","Tarsalis",121,10,12.1,0,0,0.0222,0,0,0.2686
"NE","24","2015","All",131,10,13.1,0,0,0.0291450381679389,0,0,0.3818
"SE","24","2015","Pipiens",5,15,0.33,0,0,0.0225,0,0,0.0074
"SE","24","2015","Tarsalis",78,15,5.2,0,0,0.0368,0,0,0.1914
"SE","24","2015","All",83,15,5.53,0,0,0.0359493670886076,0,0,0.1988
"SW","24","2015","Pipiens",12,9,1.33,0,0,0.1233,0,0,0.164
"SW","24","2015","Tarsalis",38,9,4.22,0,0,0.0731,0,0,0.3085
"SW","24","2015","All",50,9,5.55,0,0,0.0851351351351351,0,0,0.4725
"FC","24","2015","Pipiens",35,43,0.81,0,0,0.0178,0,0,0.0144
"FC","24","2015","Tarsalis",256,43,5.95,0,0,0.013,0,0,0.0774
"FC","24","2015","All",291,43,6.76,0,0,0.0135798816568047,0,0,0.0918
"LV","24","2015","Tarsalis",68,6,11.33,0,0,0.034,0,0,0.3852
"LV","24","2015","All",68,6,11.33,0,0,0.0339982347749338,0,0,0.3852
"NW","25","2015","Pipiens",8,9,0.89,0,0,0.0985,0,0,0.0877
"NW","25","2015","Tarsalis",192,9,21.33,0,0,0.0154,0,0,0.3285
"NW","25","2015","All",200,9,22.22,0,0,0.0187308730873087,0,0,0.4162
"NE","25","2015","Pipiens",36,10,3.6,0,0,0.0381,0,0,0.1372
"NE","25","2015","Tarsalis",577,10,57.7,0,0,0.0058,0,0,0.3347
"NE","25","2015","All",613,10,61.3,0,0,0.00769820554649266,0,0,0.4719
"SE","25","2015","Pipiens",16,15,1.07,0,0,0.0255,0,0,0.0273
"SE","25","2015","Tarsalis",1039,15,69.27,0,0,0.0034,0,0,0.2355
"SE","25","2015","All",1055,15,70.34,0,0,0.00373613875462042,0,0,0.2628
"SW","25","2015","Pipiens",5,9,0.56,0,0,0.2016,0,0,0.1129
"SW","25","2015","Tarsalis",157,9,17.44,0,0,0.019,0,0,0.3314
"SW","25","2015","All",162,9,18,0,0,0.0246833333333333,0,0,0.4443
"FC","25","2015","Pipiens",65,43,1.51,0,0,0.0154,0,0,0.0233
"FC","25","2015","Tarsalis",1965,43,45.7,0,0,0.0019,0,0,0.0868
"FC","25","2015","All",2030,43,47.21,0,0,0.00233213302266469,0,0,0.1101
"LV","25","2015","Tarsalis",1482,6,247,0,0,0.0024,0,0,0.5928
"LV","25","2015","All",1482,6,247,0,0,0.0024,0,0,0.5928
"NW","26","2015","Pipiens",25,9,2.78,0,0,0.0548,0,0,0.1523
"NW","26","2015","Tarsalis",290,9,32.22,0,0,0.0106,0,0,0.3415
"NW","26","2015","All",315,9,35,0,0,0.0141085714285714,0,0,0.4938
"NE","26","2015","Pipiens",20,10,2,0,0,0.0214,0,0,0.0428
"NE","26","2015","Tarsalis",776,10,77.6,0.0013,1e-04,0.0062,0.1009,0.0078,0.4811
"NE","26","2015","All",796,10,79.6,0.00126758793969849,9.79899497487437e-05,0.00658165829145729,0.1009,0.0078,0.5239
"SE","26","2015","Pipiens",52,15,3.47,0.0031,2e-04,0.0154,0.0108,7e-04,0.0534
"SE","26","2015","Tarsalis",1006,15,67.07,0,0,0.0035,0,0,0.2347
"SE","26","2015","All",1058,15,70.54,0.000153104621491352,9.92344768925433e-06,0.00408420754182024,0.0108,7e-04,0.2881
"SW","26","2015","Pipiens",7,9,0.78,0,0,0.0963,0,0,0.0751
"SW","26","2015","Tarsalis",90,9,10,0,0,0.0328,0,0,0.328
"SW","26","2015","All",97,9,10.78,0,0,0.0373933209647495,0,0,0.4031
"FC","26","2015","Pipiens",104,43,2.42,0.0019,1e-04,0.0094,0.0046,2e-04,0.0227
"FC","26","2015","Tarsalis",2162,43,50.28,5e-04,0,0.0022,0.0251,0,0.1106
"FC","26","2015","All",2266,43,52.7,0.000563567362428843,3.79506641366224e-06,0.00252941176470588,0.0297,2e-04,0.1333
"LV","26","2015","Pipiens",14,6,2.33,0,0,0.1742,0,0,0.4059
"LV","26","2015","Tarsalis",587,6,97.83,0,0,0.0057,0,0,0.5576
"LV","26","2015","All",601,6,100.16,0,0,0.00961960862619808,0,0,0.9635
"NW","27","2015","Pipiens",51,9,5.67,0,0,0.0403,0,0,0.2285
"NW","27","2015","Tarsalis",107,9,11.89,0,0,0.0244,0,0,0.2901
"NW","27","2015","All",158,9,17.56,0,0,0.0295330296127563,0,0,0.5186
"NE","27","2015","Pipiens",92,10,9.2,0,0,0.021,0,0,0.1932
"NE","27","2015","Tarsalis",482,10,48.2,0.0021,1e-04,0.0102,0.1012,0.0048,0.4916
"NE","27","2015","All",574,10,57.4,0.00176306620209059,8.36236933797909e-05,0.0119303135888502,0.1012,0.0048,0.6848
"SE","27","2015","Pipiens",38,15,2.53,0,0,0.0124,0,0,0.0314
"SE","27","2015","Tarsalis",747,15,49.8,0,0,0.0046,0,0,0.2291
"SE","27","2015","All",785,15,52.33,0,0,0.00497802407796675,0,0,0.2605
"SW","27","2015","Pipiens",10,9,1.11,0,0,0.062,0,0,0.0688
"SW","27","2015","Tarsalis",61,9,6.78,0,0,0.0473,0,0,0.3207
"SW","27","2015","All",71,9,7.89,0,0,0.0493662864385298,0,0,0.3895
"FC","27","2015","Pipiens",191,43,4.44,0,0,0.0072,0,0,0.032
