"zone","year","week","spp","n_trap","mosq","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"SW",2015,34,"Pipiens",16,120,7.5,0.0235632243834601,0.00403425321459862,0.104342870634618,0.1767,0.0303,0.7826
"SW",2015,34,"Tarsalis",16,79,4.9,0,0,0.0381005679186451,0,0,0.1867
"SW",2015,35,"Tarsalis",11,45,4.1,0,0,0.0495180086667428,0,0,0.203
"SW",2015,35,"Pipiens",11,160,14.5,0.015822608233211,0.00294837594521727,0.0622596333006169,0.2294,0.0428,0.9028
"LV",2015,34,"Tarsalis",6,146,24.3,0,0,0.0182126540720116,0,0,0.4426
"LV",2015,34,"Pipiens",6,37,6.2,0,0,0.0691148663547753,0,0,0.4285
"SE",2015,34,"Tarsalis",18,164,9.1,0.00608568414745094,0.00035895985430947,0.0295013799131888,0.0554,0.0033,0.2685
"SE",2015,34,"Pipiens",18,874,48.6,0.0157609517543551,0.00802499846941609,0.0292548236574042,0.766,0.39,1.4218
"NE",2015,34,"Tarsalis",14,72,5.1,0,0,0.0405192850907395,0,0,0.2066
"NE",2015,34,"Pipiens",14,235,16.8,0.0158618386119551,0.00417887769359878,0.0469296618967924,0.2665,0.0702,0.7884
"NW",2015,34,"Tarsalis",11,96,8.7,0,0,0.0300276990911414,0,0,0.2612
"NW",2015,34,"Pipiens",11,538,48.9,0.0180402352970139,0.00806980390689163,0.0376801407479175,0.8822,0.3946,1.8426
"LV",2015,35,"Tarsalis",6,118,19.7,0.0192878992312181,0.00389350867771185,0.0669372797903356,0.38,0.0767,1.3187
"LV",2015,35,"Pipiens",6,4,0.7,0,0,0.391791600007225,0,0,0.2743
"NE",2015,35,"Tarsalis",14,113,8.1,0.00855946293227772,0.000521341065512694,0.0407053156669317,0.0693,0.0042,0.3297
"NE",2015,35,"Pipiens",14,398,28.4,0.020972802043205,0.00861382429812386,0.0466918182878343,0.5956,0.2446,1.326
"SE",2015,35,"Tarsalis",18,72,4,0.0290810718848688,0.00529321668516619,0.0939536374904267,0.1163,0.0212,0.3758
"SE",2015,35,"Pipiens",18,458,25.4,0.0217510497783691,0.0095332848642989,0.0461656841124182,0.5525,0.2421,1.1726
"NW",2015,35,"Tarsalis",11,22,2,0,0,0.111656066006641,0,0,0.2233
"NW",2015,35,"Pipiens",11,156,14.2,0.0459829402364362,0.0146394366589087,0.152176361422842,0.653,0.2079,2.1609
"SE",2015,37,"Pipiens",14,260,18.6,0.0037692866425796,0.000226739698357863,0.0182966479041056,0.0701,0.0042,0.3403
"SE",2015,37,"Tarsalis",14,4,0.3,0,0,0.450747963896551,0,0,0.1352
"NE",2015,37,"Pipiens",13,194,14.9,0.00548776468196495,0.000310986557366094,0.0289497914658898,0.0818,0.0046,0.4314
"NE",2015,37,"Tarsalis",13,17,1.3,0,0,0.159522441023208,0,0,0.2074
"NW",2015,37,"Tarsalis",8,12,1.5,0,0,0.213153871339103,0,0,0.3197
"NW",2015,37,"Pipiens",8,35,4.4,0,0,0.0795277464429074,0,0,0.3499
"SW",2015,37,"Tarsalis",4,8,2,0,0,0.252655110255979,0,0,0.5053
"SW",2015,37,"Pipiens",4,5,1.2,0,0,0.270534508830767,0,0,0.3246
"SW",2016,34,"Tarsalis",9,68,7.6,0,0,0.0385057748855131,0,0,0.2926
"SW",2016,34,"Pipiens",9,9,1,0,0,0.0298108435743749,0,0,0.0298
"SE",2016,34,"Tarsalis",15,124,8.3,0.0167191874165907,0.00310564874078415,0.0542660569282391,0.1388,0.0258,0.4504
"SE",2016,34,"Pipiens",15,49,3.3,0.0163081018108092,0.00447981184931712,0.0461124413865572,0.0538,0.0148,0.1522
"LV",2016,34,"Tarsalis",8,153,19.1,0.0137369961874953,0.0026510612160801,0.0448294327288037,0.2624,0.0506,0.8562
"LV",2016,34,"Pipiens",8,32,4,0.0163711350215797,0.00426974359673375,0.0507718492237446,0.0655,0.0171,0.2031
"NW",2016,34,"Pipiens",9,60,6.7,0.01747710471519,0.00556367613932076,0.0478751304012324,0.1171,0.0373,0.3208
"NW",2016,34,"Tarsalis",9,87,9.7,0,0,0.0285618313990618,0,0,0.277
"NE",2016,34,"Pipiens",8,68,8.5,0.0129295858958531,0.00244617588457789,0.0423794443556821,0.1099,0.0208,0.3602
"NE",2016,34,"Tarsalis",8,27,3.4,0,0,0.0987262657023558,0,0,0.3357
"SE",2016,35,"Tarsalis",15,108,7.2,0.0180897085200269,0.00345735086702621,0.0568716329006527,0.1302,0.0249,0.4095
"SE",2016,35,"Pipiens",15,64,4.3,0.0281632499401958,0.00778424415312296,0.0811652341561218,0.1211,0.0335,0.349
"LV",2016,35,"Tarsalis",6,53,8.8,0,0,0.0511048218176184,0,0,0.4497
"LV",2016,35,"Pipiens",6,8,1.3,0,0,0.220122830188825,0,0,0.2862
"NE",2016,35,"Tarsalis",10,28,2.8,0,0,0.0951443362285126,0,0,0.2664
"NE",2016,35,"Pipiens",10,128,12.8,0.0116006191976427,0.00220725885205407,0.0382067975436809,0.1485,0.0283,0.489
"NW",2016,35,"Tarsalis",8,25,3.1,0,0,0.10755553779633,0,0,0.3334
"NW",2016,35,"Pipiens",8,111,13.9,0.00670713698942995,0.000439913676921948,0.0311743905070883,0.0932,0.0061,0.4333
"SW",2016,35,"Pipiens",8,8,1,0,0,0.182823721366448,0,0,0.1828
"SW",2016,35,"Tarsalis",8,15,1.9,0,0,0.173424634159504,0,0,0.3295
"SE",2016,36,"Tarsalis",11,35,3.2,0,0,0.085022601809519,0,0,0.2721
"SE",2016,36,"Pipiens",11,33,3,0,0,0.0583623922040841,0,0,0.1751
"NE",2016,36,"Tarsalis",9,38,4.2,0,0,0.0709524759472815,0,0,0.298
"NE",2016,36,"Pipiens",9,218,24.2,0,0,0.0116452344665003,0,0,0.2818
"NW",2016,36,"Tarsalis",9,57,6.3,0,0,0.0494409799323276,0,0,0.3115
"NW",2016,36,"Pipiens",9,124,13.8,0,0,0.0190960610603033,0,0,0.2635
"SW",2016,36,"Tarsalis",7,29,4.1,0,0,0.0932494899665856,0,0,0.3823
"SW",2016,36,"Pipiens",7,12,1.7,0,0,0.0907089134565634,0,0,0.1542
"SW",2016,37,"Pipiens",6,4,0.7,0,0,0.450747963896551,0,0,0.3155
"SW",2016,37,"Tarsalis",6,6,1,0,0,0.325952064677518,0,0,0.326
"SE",2016,37,"Pipiens",10,15,1.5,0,0,0.107642301894248,0,0,0.1615
"SE",2016,37,"Tarsalis",10,17,1.7,0,0,0.165523017805912,0,0,0.2814
"NE",2016,37,"Tarsalis",9,25,2.8,0,0,0.112972660385253,0,0,0.3163
"NE",2016,37,"Pipiens",9,79,8.8,0,0,0.0246915169851017,0,0,0.2173
"NW",2016,37,"Tarsalis",8,18,2.2,0,0,0.152274373280255,0,0,0.335
"NW",2016,37,"Pipiens",8,179,22.4,0.00477878623462784,0.000305378826713358,0.0229455286624095,0.107,0.0068,0.514
"LV",2017,34,"Tarsalis",6,185,30.8,0,0,0.015844366511852,0,0,0.488
"LV",2017,34,"Pipiens",6,14,2.3,0,0,0.138843618889328,0,0,0.3193
"NE",2017,34,"Tarsalis",10,77,7.7,0,0,0.0374718177713404,0,0,0.2885
"NE",2017,34,"Pipiens",10,66,6.6,0,0,0.0226980967527291,0,0,0.1498
"NW",2017,34,"Tarsalis",9,67,7.4,0.0161073594354588,0.00092074169498302,0.0851900811521267,0.1192,0.0068,0.6304
"NW",2017,34,"Pipiens",9,66,7.3,0,0,0.0262317239185878,0,0,0.1915
"SE",2017,34,"Tarsalis",15,218,14.5,0.00444171219226042,0.000267934726750551,0.0212049509699383,0.0644,0.0039,0.3075
"SE",2017,34,"Pipiens",15,90,6,0.00357745481467823,0.000215550588905597,0.0172745326797527,0.0215,0.0013,0.1036
"LC",2017,34,"Tarsalis",4,95,23.8,0.0530611286097637,0.0144888584615361,0.235946090105999,1.2629,0.3448,5.6155
"LC",2017,34,"Pipiens",4,28,7,0,0,0.0711265819859996,0,0,0.4979
"SW",2017,34,"Pipiens",8,7,0.9,0,0,0.0889773081846102,0,0,0.0801
"SW",2017,34,"Tarsalis",8,56,7,0,0,0.046281199847249,0,0,0.324
"LV",2017,35,"Tarsalis",6,55,9.2,0,0,0.0463528022311405,0,0,0.4264
"LV",2017,35,"Pipiens",6,6,1,0,0,0.337804433535712,0,0,0.3378
"NE",2017,35,"Tarsalis",10,98,9.8,0,0,0.0301974936658235,0,0,0.2959
"NE",2017,35,"Pipiens",10,116,11.6,0,0,0.0140718493767283,0,0,0.1632
"NW",2017,35,"Tarsalis",7,60,8.6,0,0,0.0448726408318875,0,0,0.3859
"SE",2017,35,"Tarsalis",13,85,6.5,0,0,0.0379842426436188,0,0,0.2469
"SE",2017,35,"Pipiens",13,48,3.7,0.00763441282551704,0.000464514719669059,0.0373209118696444,0.0282,0.0017,0.1381
"NW",2017,35,"Pipiens",7,24,3.4,0,0,0.0387550682520662,0,0,0.1318
"SW",2017,35,"Tarsalis",6,16,2.7,0,0,0.158571692100425,0,0,0.4281
"SW",2017,35,"Pipiens",6,3,0.5,0,0,0.143439332078965,0,0,0.0717
"LC",2017,35,"Tarsalis",2,6,3,0,0,0.292288355751339,0,0,0.8769
"LV",2017,36,"Tarsalis",4,38,9.5,0,0,0.0569103024524816,0,0,0.5406
"LV",2017,36,"Pipiens",4,12,3,0,0,0.123163446256193,0,0,0.3695
"NE",2017,36,"Pipiens",8,47,5.9,0,0,0.0253511149620915,0,0,0.1496
"NE",2017,36,"Tarsalis",8,14,1.8,0,0,0.17503409293735,0,0,0.3151
"NW",2017,36,"Tarsalis",6,24,4,0,0,0.0997755573302403,0,0,0.3991
"SE",2017,36,"Pipiens",11,51,4.6,0.0160878216288658,0.000970527491375791,0.0759950050643122,0.074,0.0045,0.3496
"NW",2017,36,"Pipiens",6,16,2.7,0,0,0.0770247169212446,0,0,0.208
"SE",2017,36,"Tarsalis",11,13,1.2,0,0,0.198591838671274,0,0,0.2383
"SW",2017,36,"Pipiens",5,4,0.8,0,0,0.450747963896551,0,0,0.3606
"SW",2017,36,"Tarsalis",5,16,3.2,0,0,0.127024757108257,0,0,0.4065
"NE",2018,34,"Tarsalis",10,133,13.3,0,0,0.022963610310885,0,0,0.3054
"NE",2018,34,"Pipiens",10,240,24,0.010355331711977,0.00291842128839574,0.0274197068449619,0.2485,0.07,0.6581
"NW",2018,34,"Tarsalis",9,99,11,0,0,0.027181952777693,0,0,0.299
"NW",2018,34,"Pipiens",9,90,10,0.0151358144246586,0.00446401735733386,0.0393892079963897,0.1514,0.0446,0.3939
"LV",2018,34,"Tarsalis",6,43,7.2,0,0,0.0621605254460321,0,0,0.4476
"LV",2018,34,"Pipiens",6,45,7.5,0,0,0.0482353654775803,0,0,0.3618
"SE",2018,34,"Tarsalis",15,167,11.1,0,0,0.019050439076613,0,0,0.2115
"SE",2018,34,"Pipiens",15,178,11.9,0.016309867661056,0.00644433717245381,0.0359570684444775,0.1941,0.0767,0.4279
"LC",2018,34,"Pipiens",4,1,0.2,0,0,0.793450685622763,0,0,0.1587
"LC",2018,34,"Tarsalis",4,40,10,0,0,0.0575894648091369,0,0,0.5759
"SW",2018,34,"Tarsalis",9,49,5.4,0,0,0.0617045288869739,0,0,0.3332
"SW",2018,34,"Pipiens",9,18,2,0.0118266720564935,0.000930812936382051,0.0517234419585832,0.0237,0.0019,0.1034
"LV",2018,35,"Pipiens",6,23,3.8,0,0,0.108569736568256,0,0,0.4126
"LV",2018,35,"Tarsalis",6,86,14.3,0,0,0.0277018864686648,0,0,0.3961
"SW",2018,35,"Tarsalis",8,19,2.4,0,0,0.144304487731357,0,0,0.3463
"SW",2018,35,"Pipiens",8,9,1.1,0.0547287405762414,0.00311429623020804,0.303598785081214,0.0602,0.0034,0.334
"LC",2018,35,"Tarsalis",3,19,6.3,0,0,0.110078643469187,0,0,0.6935
"LC",2018,35,"Pipiens",3,15,5,0,0,0.1142406735407,0,0,0.5712
"NW",2018,35,"Tarsalis",9,46,5.1,0,0,0.0617248424984906,0,0,0.3148
"NW",2018,35,"Pipiens",9,69,7.7,0.00976037858728704,0.000562332212897337,0.0522821463631061,0.0752,0.0043,0.4026
"SE",2018,35,"Pipiens",13,79,6.1,0.047986887367272,0.0170199235903616,0.143173154207189,0.2927,0.1038,0.8734
"SE",2018,35,"Tarsalis",13,150,11.5,0.0229191890906832,0.00623109661196363,0.0635207214591023,0.2636,0.0717,0.7305
"NE",2018,35,"Tarsalis",9,142,15.8,0.00774271107044428,0.000433113593070382,0.042549058961907,0.1223,0.0068,0.6723
"NE",2018,35,"Pipiens",9,352,39.1,0.00921864750440497,0.00318075622343097,0.0217024587065646,0.3604,0.1244,0.8486
"NE",2018,36,"Tarsalis",9,98,10.9,0.0110409091148145,0.000609797798658268,0.0599422505439823,0.1203,0.0066,0.6534
"NE",2018,36,"Pipiens",9,438,48.7,0.00184937440178446,0.000110365155379988,0.00889206467023859,0.0901,0.0054,0.433
"NW",2018,36,"Tarsalis",7,38,5.4,0,0,0.072753244053548,0,0,0.3929
"NW",2018,36,"Pipiens",7,88,12.6,0.00538137602220587,0.000341229622750784,0.0256253472639198,0.0678,0.0043,0.3229
"SW",2018,36,"Tarsalis",7,10,1.4,0,0,0.226580155397529,0,0,0.3172
"SW",2018,36,"Pipiens",7,13,1.9,0.0485112091895887,0.00301425590421353,0.214396001150567,0.0922,0.0057,0.4074
"SE",2018,36,"Tarsalis",14,50,3.6,0,0,0.0627498572676841,0,0,0.2259
"SE",2018,36,"Pipiens",14,51,3.6,0,0,0.0391549500451554,0,0,0.141
"NE",2018,37,"Tarsalis",8,21,2.6,0,0,0.119669633034673,0,0,0.3111
"NE",2018,37,"Pipiens",8,181,22.6,0.0076359941951156,0.00142360495919631,0.0255966157428269,0.1726,0.0322,0.5785
"NW",2018,37,"Tarsalis",8,21,2.6,0,0,0.120366264674715,0,0,0.313
"NW",2018,37,"Pipiens",8,33,4.1,0.0149094863286682,0.00277135370973981,0.0540367741185244,0.0611,0.0114,0.2216
"SE",2018,37,"Pipiens",6,21,3.5,0.00894002159541533,0.00171093860661841,0.0299909062687038,0.0313,0.006,0.105
"SW",2018,37,"Tarsalis",1,5,5,0,0,0.270534508830767,0,0,1.3527
"NE",2019,34,"Tarsalis",10,361,36.1,0,0,0.00891575310516283,0,0,0.3219
"NE",2019,34,"Pipiens",10,132,13.2,0.00947310905386359,0.00169296077592554,0.032718710866993,0.125,0.0223,0.4319
"LV",2019,34,"Tarsalis",6,249,41.5,0.00399075843178203,0.000239859539372742,0.0199054858051913,0.1656,0.01,0.8261
"LV",2019,34,"Pipiens",6,45,7.5,0,0,0.0559229254114632,0,0,0.4194
"NW",2019,34,"Tarsalis",9,210,23.3,0.00499553923369207,0.000287029080317351,0.025966777192961,0.1164,0.0067,0.605
"NW",2019,34,"Pipiens",9,53,5.9,0,0,0.0156889337711777,0,0,0.0926
"SE",2019,34,"Tarsalis",15,426,28.4,0.0023877188537977,0.000138031557293455,0.0119139300920664,0.0678,0.0039,0.3384
"SE",2019,34,"Pipiens",15,111,7.4,0.00721591322084348,0.00191896512916397,0.0202460733713359,0.0534,0.0142,0.1498
"SW",2019,34,"Tarsalis",9,133,14.8,0,0,0.0223798923784907,0,0,0.3312
"SW",2019,34,"Pipiens",9,11,1.2,0.0174372363174414,0.00101949916956252,0.139950782194926,0.0209,0.0012,0.1679
"LC",2019,34,"Tarsalis",3,77,25.7,0,0,0.0295267348089509,0,0,0.7588
"LC",2019,34,"Pipiens",3,12,4,0,0,0.123163446256193,0,0,0.4927
"NE",2019,35,"Tarsalis",10,502,50.2,0.0127052469516977,0.00471306095858801,0.0297389775973477,0.6378,0.2366,1.4929
"NE",2019,35,"Pipiens",10,129,12.9,0.00457379046013046,0.000276969951711625,0.0219916918795227,0.059,0.0036,0.2837
"LV",2019,35,"Tarsalis",6,94,15.7,0.0258116292299271,0.00473413649625672,0.0952894394186888,0.4052,0.0743,1.496
"NW",2019,35,"Tarsalis",8,136,17,0.0074861167268178,0.00043947690767492,0.0376674645081216,0.1273,0.0075,0.6403
