"year","week","zone","spp","pools_G","pools_L","n_pools","pos_pools_G","pos_pools_L","n_pos_pools","trap_G","trap_L","n_trap","mosq_G","mosq_L","mosq","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"2024","24","NW","Pipiens",2,3,5,0,0,0,2,4,6,20,7,27,1.75,0,0,0.08,0,0,0.14
"2024","24","NW","Tarsalis",0,3,3,0,0,0,2,4,6,0,7,7,1.75,0,0,0.3,0,0,0.52
"2024","24","NE","Pipiens",3,1,4,0,0,0,3,6,9,9,1,10,0.17,0,0,0.21,0,0,0.04
"2024","24","NE","Tarsalis",0,6,6,0,0,0,3,6,9,0,18,18,3,0,0,0.13,0,0,0.39
"2024","24","SE","Pipiens",3,2,5,0,0,0,3,8,11,63,4,67,0.5,0,0,0.03,0,0,0.01
"2024","24","SE","Tarsalis",0,8,8,0,0,0,3,8,11,0,29,29,3.62,0,0,0.09,0,0,0.33
"2024","24","SW","Pipiens",1,2,3,0,0,0,1,5,6,12,5,17,1,0,0,0.12,0,0,0.12
"2024","24","SW","Tarsalis",0,5,5,0,0,0,1,5,6,0,8,8,1.6,0,0,0.29,0,0,0.46
"2024","24","FC","Pipiens",9,10,19,0,0,0,9,23,32,104,19,123,0.83,0,0,0.11,0,0,0.09
"2024","24","FC","Tarsalis",0,35,35,0,NA,NA,9,23,32,0,168,168,7.3,0,0,0.2025,0,0,1.48
"2024","24","LV","Pipiens",0,1,1,0,0,0,0,4,4,0,1,1,0.25,0,0,0.79,0,0,0.2
"2024","24","LV","Tarsalis",0,4,4,0,0,0,0,4,4,0,31,31,7.75,0,0,0.07,0,0,0.54
"2024","24","BE","Pipiens",0,1,1,0,0,0,0,8,8,0,1,1,0.12,0,0,0.79,0,0,0.09
"2024","24","BE","Tarsalis",0,9,9,0,NA,NA,0,8,8,0,75,75,9.38,0,0,0.08,0,0,0.75
