"","plate","target","csu_id","sample_type","cq","copies"
"1","plate_1","SLEV","wnv_std_1e6","std 1e6",55.55,0
"2","plate_1","WNV","wnv_std_1e6","std 1e6",18.35,1e+06
"3","plate_1","SLEV","wnv_std_1e4","std 1e4",55.55,0
"4","plate_1","WNV","wnv_std_1e4","std 1e4",24.58,10000
"5","plate_1","SLEV","wnv_std_1e2","std 1e2",35.35,3.96
"6","plate_1","WNV","wnv_std_1e2","std 1e2",30.98,100
"7","plate_1","SLEV","slev_std_1e6","std 1e6",18.61,1e+06
"8","plate_1","WNV","slev_std_1e6","std 1e6",35.46,3.74
"9","plate_1","SLEV","slev_std_1e4","std 1e4",24.99,10000
"10","plate_1","WNV","slev_std_1e4","std 1e4",37.06,1.17
"11","plate_1","SLEV","slev_std_1e2","std 1e2",30.96,100
"12","plate_1","WNV","slev_std_1e2","std 1e2",36.74,1.48
"13","plate_1","SLEV","pos rna ctrl","pos ctrl",18.29,1340019.25
"14","plate_1","WNV","pos rna ctrl","pos ctrl",15.06,10780554
"15","plate_2","SLEV","wnv_std_1e6","std 1e6",55.55,0
"16","plate_2","WNV","wnv_std_1e6","std 1e6",19.15,1e+06
"17","plate_2","SLEV","wnv_std_1e4","std 1e4",55.55,0
"18","plate_2","WNV","wnv_std_1e4","std 1e4",25.4,10000
"19","plate_2","SLEV","wnv_std_1e2","std 1e2",33.63,23.16
"20","plate_2","WNV","wnv_std_1e2","std 1e2",31.92,100
"21","plate_2","SLEV","slev_std_1e6","std 1e6",18.77,1e+06
"22","plate_2","WNV","slev_std_1e6","std 1e6",34.7,12.97
"23","plate_2","SLEV","pos rna ctrl","pos ctrl",19.2,731581.62
"24","plate_2","WNV","pos rna ctrl","pos ctrl",15.62,12388739
"25","plate_2","SLEV","slev_std_1e4","std 1e4",25.17,10000
"26","plate_2","WNV","slev_std_1e4","std 1e4",35.8,5.87
"27","plate_2","SLEV","slev_std_1e2","std 1e2",31.59,100
"28","plate_2","WNV","slev_std_1e2","std 1e2",35.59,6.83
