"csu_id","test_code","ct_threshold","plate","copies_SLEV","copies_WNV","cq_SLEV","cq"
"BOU-00206",0,34000,"plate_2",0.26,28.5,39.32,32.75
"BOU-00207",0,34000,"plate_2",0.56,17.39,38.27,33.41
"BOU-00208",0,34000,"plate_2",2.49,18.94,36.23,33.29
"BOU-00209",0,34000,"plate_2",0,10.12,55.55,34.13
"BOU-00210",0,34000,"plate_2",0,0,55.55,55.55
"CDC-023",0,34000,"plate_2",25.86,22.4,33.04,33.07
"CDC-024",0,34000,"plate_2",2.45,13.42,36.25,33.75
"CDC-025",0,34000,"plate_2",0,2.18,55.55,36.16
"CDC-026",0,34000,"plate_2",0.9,21.21,37.62,33.14
"CDC-027",0,34000,"plate_2",0,8.62,55.55,34.34
"CDC-028",0,34000,"plate_2",0,0,55.55,55.55
"CDC-029",0,34000,"plate_2",0,0,55.55,55.55
"CDC-030",0,34000,"plate_2",0,0,55.55,55.55
"CDC-031",0,34000,"plate_2",0,0,55.55,55.55
"CDC-032",0,34000,"plate_2",0,15.47,55.55,33.56
"CDC-033",0,34000,"plate_2",0,3.51,55.55,35.53
"CDC-034",0,34000,"plate_2",0.6,20.6,38.18,33.18
"CDC-035",0,34000,"plate_2",0,0,55.55,55.55
"CDC-019",0,34000,"plate_2",0,0,55.55,55.55
"CDC-020",0,34000,"plate_2",0,0,55.55,55.55
"CDC-021",0,34000,"plate_2",5.37,23.61,35.18,33
"CDC-022",0,34000,"plate_2",0,12.15,55.55,33.88
"CSU-21921",0,34000,"plate_1",4.79,38.3,36.35,32.97
"CSU-21922",0,34000,"plate_1",37.85,27.08,33.5,33.42
"CSU-21923",0,34000,"plate_1",0,0,55.55,55.55
"CSU-21924",0,34000,"plate_1",0,0,55.55,55.55
"CSU-21925",0,34000,"plate_1",9.92,15.59,35.35,34.14
"CSU-21926",0,34000,"plate_1",0,0.29,55.55,39.35
"CSU-21927",0,34000,"plate_1",6.63,42.38,35.9,32.84
"CSU-21928",0,34000,"plate_1",0,0,55.55,55.55
