"week","vi_NW","vi_hx_NW","vi_NE","vi_hx_NE","vi_SE","vi_hx_SE","vi_SW","vi_hx_SW","vi_FC","vi_hx_FC","vi_LV","vi_hx_LV","vi_BE","vi_hx_BC"
23,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0",""
24,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0"
25,"0",0,"0",0,"0",0,"0",0,"0",0,"0.155","0","0","0"
26,"",0,"",0,"",0.0121,"",0,"",0,"","0","","0"
27,"",0,"",0,"",0.0556,"",0,"",0.0017,"","0.0654","","0"
28,"",0.0186,"",0.0198,"",0.1972,"",0.0876,"",0.019,"","0.0359","","0.1266"
29,"",0.1592,"",0.2522,"",0.2559,"",0.1465,"",0.0581,"","0.1323","","0.2173"
30,"",0.0577,"",0.1871,"",0.2048,"",0.1597,"",0.0419,"","0.5115","","0.0606"
31,"",0.1396,"",0.089,"",0.4422,"",0.1263,"",0.064,"","0.3126","","0.0644"
32,"",0.1792,"",0.2229,"",0.2439,"",0.2371,"",0.0705,"","0.3653","","0.1411"
33,"",0.1574,"",0.4383,"",0.2533,"",0.23,"",0.0738,"","0.3722","","0.0666"
34,"",0.1761,"",0.346,"",0.329,"",0.2903,"",0.0819,"","0.244","","0.0683"
35,"",0.0967,"",0.2794,"",0.302,"",0.1184,"",0.0534,"","0.3002","","0"
36,"",0.0542,"",0.0847,"",0.0838,"",0.0314,"",0.0208,"","0.1316","","0"
37,"",0,"",0.1885,"",0.0379,"",0,"",0.0071,"","","","0"
