"week","pir_NW","pir_hx_NW","pir_NE","pir_hx_NE","pir_SE","pir_hx_SE","pir_SW","pir_hx_SW","pir_FC","pir_hx_FC","pir_LV","pir_hx_LV","pir_BE","pir_hx_BE","pir_BC","pir_hx_BC"
23,"0","","0","","0","","0","","0","","0","0","0","0","",""
24,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
25,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","","0"
26,"0","0","0","0.5","0","0.2","0","0","0","0.2","0","0.4","0","0","0","0"
27,"0","0","0","0.3","0","0.4","0","0","0","0.2","0","0.2","0","0.8","0","0"
28,"","0","","0.5","","0.6","","0.8","","0.5","","0","","1.6","","7.7"
29,"","1.1","","0.3","","0.6","","0.5","","0.6","","1.5","","2.1","","0"
30,"","1","","0.6","","2.2","","0.7","","1.4","","2.2","","1.8","","0"
31,"","2.2","","2.3","","4.8","","4.3","","3.5","","1.4","","2.5","","4.3"
32,"","4.1","","2.9","","5.3","","8.7","","4.5","","4.7","","3.2","","8"
33,"","5.3","","5.6","","7.7","","7.5","","6.6","","5.8","","1.6","","0"
34,"","8.9","","5.4","","10.5","","6.3","","8.2","","5.6","","13.6","","0"
35,"","8.4","","7.5","","13.2","","9","","9.9","","9.9","","4.2","","0"
36,"","2.9","","2.4","","4.3","","5.2","","3.2","","18.1","","","","0"
37,"","5.8","","4.4","","4.9","","0","","4.8","","","","","",""
