"week","vi_NW","hx_vi_NW","vi_NE","hx_vi_NE","vi_SE","hx_vi_SE","vi_SW","hx_vi_SW","vi_FC","hx_vi_FC","vi_LV","hx_vi_LV","vi_BE","hx_vi_BC"
23,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0
24,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0
25,"0",0,"0",0,"0",0,"0",0,"0",0,"0.08184",0,"0",0
26,"",0,"",0,"",0.00824,"",0,"",0.00206,"",0,"",0
27,"",0,"",0,"",0.02755,"",0,"",0.0068875,"",0.01743,"",0
28,"",0.00894,"",0.02026,"",0.06804,"",0.04464,"",0.03547,"",0.01426,"",0.10438
29,"",0.06783,"",0.13846,"",0.14944,"",0.05258,"",0.1020775,"",0.12738,"",0.29886
30,"",0.05904,"",0.18704,"",0.20482,"",0.17523,"",0.1565325,"",0.52922,"",0.06062
31,"",0.3868,"",0.15894,"",0.768,"",0.41472,"",0.432115,"",0.33588,"",0.04686
32,"",0.42777,"",0.22264,"",0.70649,"",0.5474,"",0.476075,"",0.86112,"",0.17112
33,"",0.16936,"",0.4676,"",0.54004,"",0.15247,"",0.3323675,"",1.35098,"",0.14198
34,"",0.2666,"",0.19229,"",0.53874,"",0.36359,"",0.340305,"",0.476,"",0.07104
35,"",0.06633,"",0.09045,"",0.21518,"",0.065,"",0.10924,"",0.5184,"",0
36,"",0.03584,"",0.01302,"",0.03619,"",0.02958,"",0.0286575,"",0.25944,"",0
37,"",0,"",0.02415,"",0.01408,"",0,"",0.0095575,"",0,"",0
