"week","abund_NW","hx_abund_NW","abund_NE","hx_abund_NE","abund_SE","hx_abund_SE","abund_SW","hx_abund_SW","abund_FC","hx_abund_FC","abund_LV","hx_abund_LV","abund_BE","hx_abund_BC"
23,"3.8",5.7,"5",6.9,"2.8",6.4,"4",6.8,"3.9",6.45,"8.8","20.5","2",""
24,"3.8",6.4,"3.2",6.2,"4.1",7.7,"2.4",5.8,"3.375",6.525,"8","27.6","9.5","17.1"
25,"7.6",9.9,"14.9",13.5,"6.9",20.3,"3.8",6.5,"8.3",12.55,"16.7","54","21.2","17.5"
26,"",43,"",46.9,"",65.7,"",35.3,"",47.725,"","119","","22.2"
27,"",29.2,"",83.5,"",117.4,"",19.3,"",62.35,"","217.9","","45.8"
28,"",67.9,"",101.2,"",164.3,"",78.2,"",102.9,"","179.4","","37.2"
29,"",96.7,"",176.6,"",160,"",76.8,"",127.525,"","124.4","","42.6"
30,"",49.2,"",133.6,"",93.1,"",53.1,"",82.25,"","112.6","","43.3"
31,"",35.7,"",98.9,"",93.4,"",23.9,"",62.975,"","115.8","","58.6"
32,"",29.8,"",101.3,"",56.7,"",37.2,"",56.25,"","71.3","","30.7"
33,"",27.1,"",78.3,"",55.1,"",29.8,"",47.575,"","58.1","","21.5"
34,"",29,"",86.1,"",41.2,"",28.2,"",46.125,"","61","","21.3"
35,"",16.2,"",43.4,"",29.3,"",13.3,"",25.55,"","31.3","","8.3"
36,"",13.2,"",53.1,"",23.1,"",7.7,"",24.275,"","21","","4.2"
37,"",4.9,"",64.6,"",18,"",5.7,"",23.3,"","","","6"
