"year","week","zone","spp","pools_G","pools_L","n_pools","pos_pools_G","pos_pools_L","n_pos_pools","n_trap","trap_G","trap_L","mosq_G","mosq_L","mosq","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"2024","25","NW","Pipiens",1,6,7,0,0,0,10,2,8,3,19,22,2.38,0,0,0.11,0,0,0.26
"2024","25","NW","Tarsalis",0,5,5,0,0,0,10,2,8,0,34,34,4.25,0,0,0.07,0,0,0.3
"2024","25","NE","Pipiens",3,5,8,0,0,0,13,4,9,23,14,37,1.56,0,0,0.07,0,0,0.11
"2024","25","NE","Tarsalis",0,8,8,0,0,0,13,4,9,0,120,120,13.33,0,0,0.02,0,0,0.27
"2024","25","SE","Pipiens",3,1,4,0,0,0,18,3,15,31,1,32,0.07,0,0,0.07,0,0,0
"2024","25","SE","Tarsalis",2,14,16,0,0,0,18,3,15,3,96,99,6.4,0,0,0.03,0,0,0.19
"2024","25","SW","Pipiens",1,1,2,0,0,0,10,1,9,3,4,7,0.44,0,0,0.26,0,0,0.11
"2024","25","SW","Tarsalis",0,4,4,0,0,0,10,1,9,0,11,11,1.22,0,0,0.2,0,0,0.24
"2024","25","FC","Pipiens",8,20,28,0,0,0,42,8,34,60,45,105,1.32,0,0,0.1275,0,0,0.17
"2024","25","FC","Tarsalis",2,49,51,0,1,1,42,8,34,3,524,527,15.41,0,0,0.08,0,0,1.23
"2024","25","LV","Pipiens",0,2,2,0,0,0,6,0,6,0,2,2,0.33,0,0,0.66,0,0,0.22
"2024","25","LV","Tarsalis",0,7,7,0,1,1,6,0,6,0,98,98,16.33,0.01,0,0.04,0.16,0,0.65
"2024","25","BE","Pipiens",0,5,5,0,0,0,8,0,8,0,5,5,0.62,0,0,0.43,0,0,0.27
"2024","25","BE","Tarsalis",0,11,11,0,0,0,8,0,8,0,165,165,20.62,0,0,0.02,0,0,0.41
