"zone","year","week","spp","n_trap","mosq","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"LV",2014,30,"Tarsalis",10,1255,125.5,0.00162849219198238,0.000292532280401448,0.00537538106062771,0.2044,0.0367,0.6746
"SE",2014,30,"Tarsalis",15,3077,205.1,0.000990117373511935,0.000260965058515567,0.00268366835176326,0.2031,0.0535,0.5504
"SE",2014,30,"Pipiens",15,287,19.1,0,0,0.0110604858620636,0,0,0.2113
"NE",2014,30,"Pipiens",10,189,18.9,0,0,0.0160438006265583,0,0,0.3032
"NE",2014,30,"Tarsalis",10,2196,219.6,0,0,0.00167782752406494,0,0,0.3685
"LV",2014,30,"Pipiens",10,57,5.7,0,0,0.0391083793164819,0,0,0.2229
"FC",2014,30,"Pipiens",5,278,55.6,0,0,0.01071262724546,0,0,0.5956
"FC",2014,30,"Tarsalis",5,4,0.8,0,0,0.450747963896551,0,0,0.3606
"NW",2014,30,"Tarsalis",9,824,91.6,0,0,0.00421899250526925,0,0,0.3865
"NW",2014,30,"Pipiens",9,64,7.1,0,0,0.0438820138238625,0,0,0.3116
"SW",2014,30,"Tarsalis",9,431,47.9,0,0,0.00751773982147609,0,0,0.3601
"SW",2014,30,"Pipiens",9,24,2.7,0,0,0.108832760694139,0,0,0.2938
"SE",2015,25,"Tarsalis",17,1040,61.2,0,0,0.003414087349982,0,0,0.2089
"SE",2015,25,"Pipiens",17,100,5.9,0,0,0.0255009215724792,0,0,0.1505
"NE",2015,25,"Tarsalis",14,578,41.3,0,0,0.00584569870575431,0,0,0.2414
"LV",2015,25,"Tarsalis",6,1482,247,0,0,0.00243918083075242,0,0,0.6025
"NE",2015,25,"Pipiens",14,77,5.5,0,0,0.0381068755425336,0,0,0.2096
"NW",2015,25,"Tarsalis",11,192,17.5,0,0,0.0153516849978064,0,0,0.2687
"NW",2015,25,"Pipiens",11,23,2.1,0,0,0.0984544841555647,0,0,0.2068
"SW",2015,25,"Tarsalis",10,157,15.7,0,0,0.0190365692907828,0,0,0.2989
"SW",2015,25,"Pipiens",10,11,1.1,0,0,0.201596591442857,0,0,0.2218
"LV",2015,26,"Tarsalis",6,587,97.8,0,0,0.00570383771155957,0,0,0.5578
"LV",2015,26,"Pipiens",6,14,2.3,0,0,0.174201161824887,0,0,0.4007
"SE",2015,26,"Tarsalis",17,1006,59.2,0,0,0.00352069436657818,0,0,0.2084
"SE",2015,26,"Pipiens",17,317,18.6,0.00313501554311417,0.000186285646106405,0.0153933771834421,0.0583,0.0035,0.2863
"NE",2015,26,"Tarsalis",14,800,57.1,0.00125602410917136,7.26960262064226e-05,0.00616508243817991,0.0717,0.0042,0.352
"NE",2015,26,"Pipiens",14,128,9.1,0,0,0.0214077677313931,0,0,0.1948
"NW",2015,26,"Tarsalis",11,290,26.4,0,0,0.0106041225164271,0,0,0.2799
"NW",2015,26,"Pipiens",11,49,4.5,0,0,0.0548067096832259,0,0,0.2466
"SW",2015,26,"Tarsalis",9,90,10,0,0,0.0327685810604362,0,0,0.3277
"SW",2015,26,"Pipiens",9,24,2.7,0,0,0.0963123436152543,0,0,0.26
"SE",2015,27,"Tarsalis",17,748,44,0,0,0.00463125998348139,0,0,0.2038
"SE",2015,27,"Pipiens",17,245,14.4,0,0,0.0123775856310582,0,0,0.1782
"NE",2015,27,"Tarsalis",14,482,34.4,0.00207298068070231,0.000121699082654321,0.0102087835163972,0.0713,0.0042,0.3512
"NE",2015,27,"Pipiens",14,147,10.5,0,0,0.0210057607554481,0,0,0.2206
"LV",2015,27,"Tarsalis",6,1224,204,0,0,0.00292076514939596,0,0,0.5958
"LV",2015,27,"Pipiens",6,15,2.5,0,0,0.144025950589268,0,0,0.3601
"NW",2015,27,"Pipiens",10,58,5.8,0,0,0.0402720887662723,0,0,0.2336
"NW",2015,27,"Tarsalis",10,107,10.7,0,0,0.024408780849755,0,0,0.2612
"SW",2015,27,"Tarsalis",10,61,6.1,0,0,0.0473021197658252,0,0,0.2885
"SW",2015,27,"Pipiens",10,33,3.3,0,0,0.0619990129276153,0,0,0.2046
"NE",2015,28,"Tarsalis",14,1137,81.2,0.000881032923918795,5.09470407004618e-05,0.00430292759053192,0.0715,0.0041,0.3494
"SE",2015,28,"Tarsalis",18,1887,104.8,0.00163470544668231,0.000431189520566715,0.0044472841155975,0.1713,0.0452,0.4661
"SE",2015,28,"Pipiens",18,258,14.3,0,0,0.0120190863780789,0,0,0.1719
"NE",2015,28,"Pipiens",14,403,28.8,0,0,0.008121632458067,0,0,0.2339
"LV",2015,28,"Tarsalis",6,1370,228.3,0,0,0.00262861228017822,0,0,0.6001
"LV",2015,28,"Pipiens",6,24,4,0,0,0.0763941264559443,0,0,0.3056
"NW",2015,28,"Tarsalis",11,237,21.5,0,0,0.0125814354669694,0,0,0.2705
"NW",2015,28,"Pipiens",11,139,12.6,0,0,0.0198506284846725,0,0,0.2501
"SW",2015,28,"Pipiens",10,50,5,0,0,0.0503118640661295,0,0,0.2516
"SW",2015,28,"Tarsalis",10,83,8.3,0,0,0.0357920416253343,0,0,0.2971
"NE",2015,29,"Tarsalis",14,927,66.2,0,0,0.00379181325860318,0,0,0.251
"NE",2015,29,"Pipiens",14,458,32.7,0,0,0.00710731142781498,0,0,0.2324
