"year","week","zone","spp","abund","pir","pir_lci","pir_uci","vector_index"
2020,24,"LC","Pipiens",0.3,0,0,0.0299,0
2020,24,"LC","Tarsalis",0.7,0,0,0.0273,0
2020,24,"LV","Tarsalis",3.2,0,0,0.1004,0
2020,24,"NE","Pipiens",2,0,0,0.0172,0
2020,24,"NE","Tarsalis",0.9,0.0087,5e-04,0.038,0.0078
2020,24,"NW","Pipiens",2,0,0,0.0154,0
2020,24,"NW","Tarsalis",2.6,0,0,0.0112,0
2020,24,"SE","Pipiens",11.7,0.0047,3e-04,0.022,0.055
2020,24,"SE","Tarsalis",0.7,0.0095,5e-04,0.0437,0.0066
2020,24,"SW","Pipiens",1,0,0,0.0256,0
2020,24,"SW","Tarsalis",2,0,0,0.0355,0
2020,25,"LC","Tarsalis",2.8,0,0,0.0934,0
2020,25,"LV","Pipiens",3,0,0,0.1007,0
2020,25,"LV","Tarsalis",10.4,0,0,0.0336,0
2020,25,"NE","Pipiens",2.8,0,0,0.0337,0
2020,25,"NE","Tarsalis",2.5,0,0,0.0299,0
2020,25,"NW","Pipiens",4.8,0,0,0.0147,0
2020,25,"NW","Tarsalis",7.9,0.0067,3e-04,0.0318,0.0529
2020,25,"SE","Pipiens",7.6,0,0,0.0161,0
2020,25,"SE","Tarsalis",4,0,0,0.0186,0
2020,25,"SW","Pipiens",2.2,0,0,0.0197,0
2020,25,"SW","Tarsalis",5.2,0,0,0.0285,0
2020,26,"LC","Pipiens",1.5,0,0,0.0706,0
2020,26,"LC","Tarsalis",3.5,0,0,0.0692,0
2020,26,"LV","Pipiens",0.6,0,0,0.0819,0
2020,26,"LV","Tarsalis",16.2,0,0,0.1309,0
2020,26,"NE","Pipiens",2.1,0,0,0.1095,0
2020,26,"NE","Tarsalis",2.7,0,0,0.0221,0
2020,26,"NW","Pipiens",2.3,0,0,0.0125,0
2020,26,"NW","Tarsalis",1.1,0,0,0.0089,0
2020,26,"SE","Pipiens",16.6,0,0,0.01,0
2020,26,"SE","Tarsalis",8.1,0.014,0.0034,0.0373,0.1134
2020,26,"SW","Pipiens",3.1,0.0037,2e-04,0.0173,0.0115
2020,26,"SW","Tarsalis",6.4,0,0,0.0059,0
2020,27,"LC","Pipiens",1.5,0.0046,3e-04,0.0211,0.0069
2020,27,"LC","Tarsalis",10.8,0.006,3e-04,0.0271,0.0648
2020,27,"LV","Pipiens",1.9,0.0054,3e-04,0.0251,0.0103
2020,27,"LV","Tarsalis",26.7,0,0,0.0495,0
2020,27,"NE","Pipiens",4.2,0,0,0.1875,0
2020,27,"NE","Tarsalis",6.4,0,0,0.1607,0
2020,27,"NW","Pipiens",4.4,0,0,0.5455,0
2020,27,"NW","Tarsalis",5.2,0,0,0.033,0
2020,27,"SE","Pipiens",4.9,0,0,0.3259,0
2020,27,"SE","Tarsalis",18.6,0,0,0.2017,0
2020,27,"SW","Pipiens",3,0,0,0.1607,0
2020,27,"SW","Tarsalis",6.4,0,0,0.7935,0
2020,28,"FC","Pipiens",9,0,0,0.6576,0
2020,28,"LC","Pipiens",0.2,0,0,0.2049,0
2020,28,"LC","Tarsalis",6.5,0,0,0.4089,0
