"zone","year","week","spp","n_trap","mosq","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"NE",2022,23,"Tarsalis",5,59,11.8,0,0,0.034,0,0,0.4012
"LV",2022,23,"Tarsalis",5,51,10.2,0,0,0.034,0,0,0.3468
"NW",2022,23,"Tarsalis",5,14,2.8,0,0,0.03,0,0,0.084
"LV",2022,23,"Pipiens",5,2,0.4,0,0,0.015,0,0,0.006
"SE",2022,23,"Tarsalis",12,83,6.9,0.007,0,0.032,0.0483,0,0.2208
"SE",2022,23,"Pipiens",12,4,0.3,0,0,0.016,0,0,0.0048
"LC",2022,23,"Tarsalis",2,42,21,0,0,0.019,0,0,0.399
"NW",2022,23,"Pipiens",5,2,0.4,0,0,0.02,0,0,0.008
"SW",2022,23,"Pipiens",5,2,0.4,0,0,0.029,0,0,0.0116
"SW",2022,23,"Tarsalis",5,19,3.8,0,0,0.071,0,0,0.2698
"NE",2022,24,"Tarsalis",10,127,12.7,0,0,0.069,0,0,0.8763
"NE",2022,24,"Pipiens",10,7,0.7,0,0,0.102,0,0,0.0714
"LV",2022,24,"Tarsalis",4,118,29.5,0,0,0.191,0,0,5.6345
"LV",2022,24,"Pipiens",4,3,0.8,0,0,0.262,0,0,0.2096
"NW",2022,24,"Tarsalis",8,69,8.6,0,0,0.17,0,0,1.462
"SE",2022,24,"Pipiens",12,4,0.3,0,0,0.185,0,0,0.0555
"SE",2022,24,"Tarsalis",12,81,6.8,0,0,0.159,0,0,1.0812
"LC",2022,24,"Tarsalis",4,52,13,0,0,0.045,0,0,0.585
"LC",2022,24,"Pipiens",4,3,0.8,0,0,0.409,0,0,0.3272
"WC",2022,24,"Tarsalis",1,5,5,0,0,0.048,0,0,0.24
"NW",2022,24,"Pipiens",8,13,1.6,0,0,0.793,0,0,1.2688
"SW",2022,24,"Tarsalis",6,24,4,0,0,0.065,0,0,0.26
"SW",2022,24,"Pipiens",6,5,0.8,0,0,0.134,0,0,0.1072
"BC",2022,24,"Tarsalis",5,73,14.6,0,0,0.012,0,0,0.1752
"BC",2022,25,"Tarsalis",5,73,14.6,0,0,0.409,0,0,5.9714
"LV",2022,25,"Tarsalis",4,82,20.5,0,0,0.016,0,0,0.328
"NE",2022,25,"Tarsalis",9,171,19,0,0,0.319,0,0,6.061
"NE",2022,25,"Pipiens",9,39,4.3,0,0,0.018,0,0,0.0774
"NW",2022,25,"Tarsalis",6,18,3,0,0,0.173,0,0,0.519
"SE",2022,25,"Tarsalis",14,138,9.9,0,0,0.007,0,0,0.0693
"SE",2022,25,"Pipiens",14,8,0.6,0.087,0.005,0.326,0.0522,0.003,0.1956
"NW",2022,25,"Pipiens",6,7,1.2,0,0,0.019,0,0,0.0228
"LC",2022,25,"Tarsalis",4,33,8.2,0,0,0.067,0,0,0.5494
"LC",2022,25,"Pipiens",4,1,0.2,0.004,0,0.019,8e-04,0,0.0038
"SW",2022,25,"Tarsalis",6,20,3.3,0.026,0.001,0.13,0.0858,0.0033,0.429
"SW",2022,25,"Pipiens",6,2,0.3,0.013,0.004,0.031,0.0039,0.0012,0.0093
"LV",2022,26,"Tarsalis",6,305,50.8,0,0,0.065,0,0,3.302
"LV",2022,26,"Pipiens",6,26,4.3,0,0,0.029,0,0,0.1247
"NE",2022,26,"Tarsalis",10,85,8.5,0,0,0.057,0,0,0.4845
"NE",2022,26,"Pipiens",10,32,3.2,0,0,0.019,0,0,0.0608
"NW",2022,26,"Tarsalis",8,34,4.2,0.02,0.001,0.072,0.084,0.0042,0.3024
"SE",2022,26,"Tarsalis",15,371,24.7,0,0,0.025,0,0,0.6175
"SE",2022,26,"Pipiens",15,50,3.3,0,0,0.546,0,0,1.8018
"NW",2022,26,"Pipiens",8,31,3.9,0,0,0.045,0,0,0.1755
"LC",2022,26,"Tarsalis",4,237,59.2,0,0,0.499,0,0,29.5408
"WC",2022,26,"Tarsalis",1,1,1,0,0,0.022,0,0,0.022
"LC",2022,26,"Pipiens",4,11,2.8,0,0,0.028,0,0,0.0784
"SW",2022,26,"Tarsalis",6,12,2,0,0,0.086,0,0,0.172
"SW",2022,26,"Pipiens",6,1,0.2,0,0,0.01,0,0,0.002
