zone,year,week,spp,n_trap,mosq,abund,pir,pir_lci,pir_uci,vi,vi_lci,vi_uci
LV,2024,23,Tarsalis,6,53,8.8,0,0,0.045595941,0,0,0.4012
NE,2024,23,Tarsalis,6,25,4.2,0,0,0.098231572,0,0,0.4126
NE,2024,23,Pipiens,6,5,0.8,0,0,0.204509563,0,0,0.1636
NW,2024,23,Tarsalis,5,11,2.2,0,0,0.207171344,0,0,0.4558
NW,2024,23,Pipiens,5,5,1,0,0,0.22510415,0,0,0.2251
SE,2024,23,Tarsalis,9,24,2.7,0,0,0.117507772,0,0,0.3173
SE,2024,23,Pipiens,9,1,0.1,0,0,0.150919408,0,0,0.0151
BE,2024,23,Tarsalis,3,5,1.7,0,0,0.367003169,0,0,0.6239
BE,2024,23,Pipiens,3,1,0.3,0,0,0.793450686,0,0,0.238
SW,2024,23,Pipiens,5,2,0.4,0,0,0.561497032,0,0,0.2246
SW,2024,23,Tarsalis,5,21,4.2,0,0,0.084821275,0,0,0.3562
